Absolute performance profile for SolverTime
Filter: within 0.102% of known optimal value and not failed
            sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
7.922748       97            72           79      116      60        91     104           104           45        67          95       71          134         189            3
8.013757       97            72           80      117      60        91     104           105           45        67          96       71          134         189            3
8.104765       97            72           80      118      60        91     104           105           45        67          97       71          134         189            3
8.195774       97            72           80      118      61        92     104           105           45        67          97       71          134         189            3
8.286783       97            73           80      119      61        93     104           105           45        67          97       71          134         189            3
8.377791       97            73           81      119      61        93     104           105           45        67          97       71          134         189            3
8.468800       97            73           81      119      61        93     104           105           45        67          97       71          134         189            3
8.559808       97            73           81      119      61        93     104           106           45        67          97       71          134         189            3
8.650817       97            73           81      119      61        93     104           106           45        67          97       71          134         189            3
8.741826       97            73           81      120      61        94     104           106           45        67          97       71          134         190            3
8.832834       97            73           81      122      61        94     104           106           45        67          97       71          134         190            3
8.923843       97            73           81      123      61        94     104           106           45        67          97       71          134         190            3
9.014851       97            73           81      124      61        94     104           106           46        67         100       71          134         190            3
9.105860       97            73           81      125      61        94     105           107           46        67         100       71          134         191            3
9.196869       97            73           81      125      61        94     105           107           47        67         100       71          134         191            3
9.287877       97            73           81      125      61        94     105           108           47        67         100       71          134         191            3
9.378886       97            73           81      125      61        94     105           108           47        67         100       71          134         191            3
9.469894       97            73           81      125      61        94     105           108           47        67         100       71          134         191            3
9.560903       97            73           82      125      61        94     105           108           47        67         100       71          134         191            3
9.651912       97            73           82      127      61        94     105           108           47        67         100       71          135         191            3
9.742920       97            73           82      127      61        94     105           109           47        67         100       71          136         191            3
9.833929       97            73           82      127      61        94     105           109           47        67         100       71          136         191            3
9.924937       97            73           83      127      62        94     105           109           48        67         100       72          136         191            3
10.015946      97            73           83      127      62        94     105           109           48        67         100       72          136         191            3
10.106955      97            74           83      128      62        94     105           109           48        67         100       72          136         191            3
10.197963      97            74           84      129      62        94     105           109           48        67         100       72          136         192            3
10.288972      97            74           85      129      62        94     105           109           48        67         100       72          136         192            3
10.379980      97            74           85      129      62        94     105           109           48        67         100       72          136         192            3
10.470989      97            74           85      129      62        94     105           109           48        67         100       72          136         192            3
10.561998      97            74           85      129      62        94     105           109           48        67         100       72          136         192            3
10.653006      97            74           85      129      62        94     105           109           48        67         100       72          136         192            3
10.744015      97            74           85      129      63        94     105           109           49        67         100       72          136         192            3
10.835024      97            74           85      130      63        94     105           109           50        67         100       72          136         192            3
10.926032      97            74           85      130      63        94     105           109           54        67         100       72          136         192            3
11.017041      97            74           85      131      63        94     105           109           54        67         101       72          136         192            3
11.108049      97            74           85      132      63        94     105           109           60        67         102       72          137         192            3
11.199058      97            74           85      132      65        94     105           109           65        67         102       72          137         192            3
11.290067      97            74           85      132      65        95     105           109           69        67         102       72          137         192            3
11.381075      97            74           85      132      65        95     105           109           74        67         102       72          137         192            3
11.472084      97            74           85      132      65        95     105           109           74        67         102       72          137         192            3
11.563092      97            75           85      132      65        95     105           109           76        67         102       72          137         192            3
11.654101      97            75           85      132      65        96     105           109           77        67         102       72          137         192            3
11.745110      97            75           85      133      65        97     105           110           77        67         102       73          137         192            3
11.836118      97            75           85      133      65        97     105           110           77        67         102       73          137         192            3
11.927127      97            75           85      133      65        97     105           110           77        67         102       73          137         192            3
12.018135      97            75           85      133      65        97     105           111           77        67         102       73          137         192            3
12.109144      97            75           85      133      65        97     105           111           77        67         102       73          137         192            3
12.200153      97            75           85      134      65        97     105           111           77        67         102       73          137         192            3
12.291161      97            75           86      134      65        97     105           111           77        67         102       73          137         192            3
12.382170      97            75           86      134      65        97     105           111           77        67         102       73          137         192            3
12.473178      97            75           86      134      66        97     105           111           77        67         102       73          137         192            3
12.564187      97            75           86      135      66        97     105           111           77        67         102       74          137         192            3
12.655196      97            75           87      135      66        97     105           113           77        67         102       74          137         192            3
12.746204      97            75           88      135      66        97     105           113           77        67         102       74          137         192            3
12.837213      97            75           88      135      66        97     105           113           78        67         102       74          137         192            3
12.928221      97            75           88      135      66        97     105           114           78        67         102       74          137         192            3
13.019230      97            75           89      135      66        97     105           114           78        67         102       74          137         192            3
13.110239      97            75           89      135      66        97     105           114           78        67         102       74          137         192            3
13.201247      97            75           89      135      66        97     105           115           78        67         102       74          137         192            3
13.292256      97            75           90      135      66        97     105           115           78        67         102       74          137         192            3
13.383264      97            75           90      135      66        97     105           116           78        67         102       74          137         192            3
13.474273      97            75           90      135      67        97     105           116           78        67         102       74          137         192            3
13.565282      97            75           90      135      68        97     105           117           78        67         102       74          137         192            3
13.656290      97            75           90      135      68        97     105           117           78        67         102       74          137         192            3
13.747299      97            75           90      135      68        97     105           117           78        67         102       74          137         192            3
13.838307      97            75           90      136      68        97     105           117           78        67         102       74          137         192            3
13.929316      97            75           90      136      68        97     105           117           78        67         102       74          138         193            3
14.020325      97            75           91      138      68        97     106           117           78        67         104       75          138         194            3
14.111333      97            76           91      138      69        97     106           118           78        67         104       75          138         194            3
14.202342      97            76           91      138      69        97     106           118           78        68         104       75          138         194            3
14.293350      97            76           91      138      69        97     106           118           78        68         104       75          138         194            3
14.384359      97            76           91      138      69        97     106           118           78        68         104       75          138         194            3
14.475368      97            76           91      138      69        97     106           118           78        68         104       75          138         194            3
14.566376      97            76           92      138      69        97     106           119           78        68         104       75          138         194            3
14.657385      97            76           92      138      70        97     106           119           78        68         104       75          138         194            3
14.748393      97            76           92      139      70        97     106           119           78        68         104       75          138         194            3
14.839402      97            76           92      139      70        97     106           119           78        68         104       75          138         194            3
14.930411      97            76           92      139      70        97     106           119           78        68         104       76          138         194            3
