Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
7.922748       67             6           44       28      58        48      61            20           11        75          19        8           58          77            0
8.013757       67             6           45       28      58        48      61            20           11        75          20        8           58          77            0
8.104765       67             6           45       28      58        48      61            20           11        75          20        8           58          77            0
8.195774       67             6           45       28      58        49      61            20           11        75          20        8           58          77            0
8.286783       67             6           45       28      58        50      61            20           11        75          20        8           58          77            0
8.377791       67             6           46       28      58        50      61            20           11        75          20        8           58          77            0
8.468800       67             6           47       28      58        50      61            20           11        75          20        8           58          77            0
8.559808       67             6           47       28      58        50      61            20           11        75          20        8           58          77            0
8.650817       67             6           47       28      58        50      61            20           12        75          20        8           58          77            0
8.741826       67             6           47       28      58        51      61            20           12        75          20        8           58          77            0
8.832834       67             6           47       29      58        51      61            20           12        75          20        8           58          77            0
8.923843       67             6           47       30      58        51      61            20           12        75          20        8           58          77            0
9.014851       67             6           47       30      58        51      61            20           13        75          20        8           58          77            0
9.105860       67             6           47       30      58        51      62            20           13        75          20        8           58          77            0
9.196869       67             6           47       30      58        51      62            20           14        75          20        8           58          77            0
9.287877       67             6           47       30      58        51      63            20           14        75          20        8           58          77            0
9.378886       67             6           47       30      58        51      63            20           14        75          20        8           58          77            0
9.469894       67             6           47       30      58        51      63            20           14        75          20        8           58          77            0
9.560903       67             6           48       30      58        51      63            20           14        75          20        8           58          77            0
9.651912       67             6           48       31      58        51      63            20           14        75          20        8           58          77            0
9.742920       67             6           48       31      58        51      63            21           14        75          20        8           58          77            0
9.833929       67             6           48       31      58        51      63            21           14        75          20        8           58          77            0
9.924937       67             6           49       31      58        51      63            21           14        75          20        9           58          77            0
10.015946      67             6           49       31      58        51      63            21           14        75          21        9           58          77            1
10.106955      67             6           49       32      58        51      63            21           14        75          21        9           58          77            1
10.197963      67             6           49       32      58        51      63            22           14        76          21        9           58          77            1
10.288972      67             6           50       32      58        51      63            22           14        76          21        9           58          77            1
10.379980      67             6           51       32      58        51      63            22           14        76          21        9           58          77            1
10.470989      67             6           51       32      58        51      63            22           14        76          21        9           58          77            1
10.561998      67             6           51       32      58        51      63            22           14        76          21        9           58          77            1
10.653006      67             6           51       32      58        51      63            22           14        76          21        9           58          77            1
10.744015      67             6           51       32      58        51      63            22           15        76          21        9           58          77            1
10.835024      67             6           51       33      58        51      63            22           16        76          21        9           58          77            1
10.926032      67             6           51       33      58        51      63            22           20        76          21        9           58          77            1
11.017041      67             6           51       34      58        51      63            22           20        76          21        9           58          77            1
11.108049      67             6           51       35      58        51      63            22           26        76          21        9           58          77            1
11.199058      67             6           51       35      58        51      63            22           31        76          21        9           58          77            1
11.290067      67             6           51       35      58        52      63            22           35        76          21        9           58          77            1
11.381075      67             6           51       35      58        52      63            22           40        76          21        9           58          77            1
11.472084      67             6           51       36      58        52      63            22           40        76          21        9           58          77            1
11.563092      67             7           51       36      58        52      63            22           42        76          21        9           58          77            2
11.654101      67             7           51       36      58        52      63            22           43        76          21        9           58          77            2
11.745110      67             7           51       36      58        52      63            22           43        76          21        9           58          77            2
11.836118      67             7           51       36      58        52      63            22           43        76          21        9           58          77            2
11.927127      67             7           51       36      58        52      63            22           43        76          21        9           58          77            2
12.018135      67             7           51       36      58        52      63            23           43        76          21        9           58          77            2
12.109144      67             7           51       36      58        52      63            23           43        76          21        9           58          77            2
12.200153      67             7           51       37      58        52      63            23           43        76          21        9           58          77            2
12.291161      67             7           51       37      58        52      63            23           43        76          21        9           58          77            2
12.382170      67             7           51       37      58        52      63            23           43        76          21        9           58          77            2
12.473178      67             7           51       37      58        52      63            23           43        76          21        9           58          77            2
12.564187      67             7           51       37      58        52      63            23           43        76          21        9           58          77            2
12.655196      67             7           51       37      58        52      63            24           43        76          21        9           58          77            2
12.746204      67             7           52       37      58        52      63            24           43        76          21        9           58          77            2
12.837213      67             7           52       37      58        52      63            24           44        76          21        9           58          77            2
12.928221      67             7           52       37      58        52      63            25           44        76          21        9           58          77            2
13.019230      67             7           53       37      58        52      63            25           44        76          21        9           58          77            2
13.110239      67             7           53       37      58        52      63            25           44        76          21        9           58          77            2
13.201247      67             7           53       37      58        52      63            25           44        76          21        9           58          77            2
13.292256      67             7           53       37      58        52      63            25           44        76          21        9           58          77            2
13.383264      67             7           53       38      58        52      63            25           44        76          21        9           58          77            2
13.474273      67             7           53       38      58        52      63            25           44        76          21        9           58          77            2
13.565282      67             7           53       38      59        52      63            25           44        76          21        9           58          77            2
13.656290      67             7           53       38      59        52      63            25           44        76          21        9           58          77            2
13.747299      67             7           53       38      59        52      63            25           44        76          21        9           58          77            2
13.838307      67             7           53       39      59        52      63            25           44        76          21        9           58          77            2
13.929316      67             7           54       39      59        52      63            25           44        76          21        9           58          77            2
14.020325      67             7           55       41      59        52      64            25           44        76          21        9           58          77            2
14.111333      67             7           55       41      59        52      64            26           44        76          21        9           58          77            2
14.202342      67             7           55       41      59        52      64            26           44        76          21        9           58          77            2
