Relative performance profile for SolverTime
Filter: gap <= 10.0% and not failed
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
1.093646                111                63           47                  51         121           17
1.094222                111                63           47                  51         121           17
1.094798                111                63           47                  51         121           17
1.095375                111                63           47                  51         121           17
1.095952                111                63           47                  51         121           17
1.096529                111                63           47                  51         121           17
1.097107                111                63           48                  51         121           18
1.097685                111                63           48                  51         121           18
1.098263                111                63           48                  51         121           18
1.098841                111                63           48                  51         121           18
1.099420                111                63           48                  51         121           18
1.099999                111                63           48                  51         121           18
1.100579                111                63           48                  51         121           18
1.101158                111                63           48                  51         121           18
1.101738                111                63           48                  51         121           18
1.102319                111                63           48                  51         121           18
1.102899                111                63           48                  51         121           18
1.103480                111                63           48                  51         121           18
1.104061                111                63           48                  51         121           18
1.104643                111                63           49                  51         121           19
1.105225                111                63           49                  51         121           19
1.105807                111                63           51                  51         121           20
1.106389                111                63           51                  51         121           20
1.106972                111                63           51                  51         121           20
1.107555                111                63           51                  51         121           20
1.108138                111                63           51                  52         121           20
1.108722                111                63           51                  52         121           20
1.109306                111                63           51                  52         121           20
1.109890                111                63           51                  52         121           20
1.110475                111                63           51                  52         121           20
1.111060                111                63           51                  52         121           20
1.111645                111                63           51                  52         121           20
1.112230                111                63           51                  52         121           20
1.112816                111                63           51                  52         121           20
1.113402                111                63           51                  52         121           20
1.113989                111                63           51                  52         121           20
1.114576                111                63           51                  52         121           20
1.115163                111                63           51                  52         121           20
1.115750                111                63           51                  52         121           20
1.116338                111                63           51                  52         121           20
1.116926                111                63           51                  52         121           20
1.117514                111                63           51                  52         121           20
1.118103                111                63           51                  52         121           20
1.118692                111                63           51                  52         121           20
1.119281                111                63           52                  52         121           21
1.119870                111                63           53                  52         121           22
1.120460                111                63           53                  52         121           22
1.121050                111                63           53                  52         121           22
1.121641                111                63           53                  52         121           22
1.122232                111                63           53                  52         121           22
1.122823                111                63           53                  52         121           22
1.123414                111                63           53                  52         121           22
1.124006                111                63           53                  52         121           22
1.124598                111                63           53                  52         121           22
1.125190                111                63           53                  52         121           22
1.125783                111                63           54                  52         121           22
1.126376                111                63           54                  52         121           22
1.126969                111                63           54                  52         121           22
1.127563                111                63           54                  52         121           22
1.128157                111                63           54                  52         121           22
1.128751                111                63           54                  52         121           22
1.129345                111                63           54                  52         121           22
1.129940                111                63           54                  52         121           22
1.130535                111                63           54                  52         121           22
1.131131                111                63           54                  52         121           22
1.131726                111                63           54                  52         121           22
1.132323                111                63           54                  52         121           22
1.132919                111                63           54                  52         121           22
1.133516                111                63           55                  52         121           22
1.134113                111                63           55                  52         121           22
1.134710                111                63           55                  52         121           22
1.135308                111                63           55                  52         121           22
1.135906                111                63           56                  52         121           22
1.136504                111                63           56                  52         121           22
1.137103                111                63           56                  52         121           22
1.137702                111                63           56                  52         121           22
1.138301                111                63           56                  52         121           22
1.138900                111                63           56                  52         121           22
1.139500                111                63           56                  52         121           22
1.140100                111                63           56                  52         121           22
1.140701                111                63           56                  52         121           22
1.141302                111                63           56                  52         121           22
1.141903                111                63           56                  52         121           22
1.142504                111                63           56                  52         121           22
1.143106                111                63           56                  52         121           22
1.143708                111                63           56                  52         121           22
1.144311                111                63           56                  52         121           22
1.144913                111                63           56                  52         121           22
1.145516                111                63           56                  52         121           22
1.146120                111                63           56                  52         121           22
1.146723                111                63           56                  52         121           22
1.147327                111                63           56                  52         121           22
1.147932                111                63           56                  52         121           22
1.148536                111                63           56                  52         121           22
1.149141                111                63           56                  52         121           22
1.149746                111                63           56                  52         121           22
1.150352                111                63           56                  52         121           22
1.150958                111                63           56                  52         121           22
1.151564                111                63           56                  52         121           22
1.152171                111                63           56                  52         121           22
1.152778                111                63           56                  52         121           22
1.153385                111                63           56                  52         121           22
1.153992                111                63           56                  52         121           22
1.154600                111                63           56                  52         121           22
1.155208                111                63           56                  52         121           22
1.155817                111                63           56                  52         121           22
1.156425                111                63           56                  52         121           22
1.157035                111                63           56                  52         121           22
1.157644                111                63           56                  53         121           22
1.158254                111                63           57                  53         121           23
1.158864                111                63           57                  53         121           23
1.159474                111                63           57                  53         121           23
1.160085                111                63           57                  53         121           23
1.160696                111                63           57                  53         121           23
1.161307                111                63           57                  53         121           23
1.161919                111                63           57                  53         121           23
1.162531                111                63           57                  53         121           23
1.163143                111                63           57                  53         121           23
1.163756                111                63           57                  53         121           23
1.164369                111                63           57                  53         121           23
1.164982                111                63           57                  53         121           23
1.165596                111                63           57                  54         121           23
1.166210                111                63           57                  54         121           23
1.166824                111                63           57                  54         121           23
1.167439                111                63           57                  54         121           23
1.168053                111                63           57                  54         121           23
1.168669                111                63           57                  54         121           23
1.169284                111                63           57                  54         121           23
1.169900                111                63           57                  54         121           23
1.170516                111                63           57                  54         121           23
1.171133                111                63           57                  54         121           23
1.171750                111                63           57                  54         121           23
1.172367                111                63           57                  54         121           23
1.172984                111                63           57                  54         121           23
1.173602                111                63           57                  54         121           23
1.174220                111                63           57                  54         121           23
1.174839                111                63           57                  54         121           23
1.175458                111                63           57                  54         121           23
1.176077                111                63           57                  54         121           23
1.176696                111                63           57                  54         121           23
1.177316                111                63           57                  54         121           23
1.177936                111                63           57                  54         121           23
1.178556                111                63           57                  54         121           23
1.179177                111                63           57                  54         121           23
1.179798                111                63           57                  54         121           23
1.180420                111                63           57                  54         121           23
1.181041                111                63           57                  54         121           23
1.181663                111                63           57                  54         121           23
1.182286                111                63           57                  54         121           23
1.182909                111                63           57                  54         121           23
1.183532                111                63           58                  54         121           24
1.184155                111                63           58                  54         121           24
1.184779                111                63           58                  54         121           24
1.185403                111                63           58                  54         121           24
1.186027                111                63           58                  54         121           24
1.186652                111                63           58                  54         121           24
1.187277                111                63           58                  54         121           24
1.187902                111                63           58                  54         121           24
1.188528                111                63           58                  54         121           24
1.189154                111                63           59                  54         121           25
1.189780                111                63           59                  54         121           25
1.190407                111                63           59                  54         121           25
1.191034                111                63           59                  54         121           25
1.191661                111                63           59                  54         121           25
1.192289                111                63           60                  54         121           25
1.192917                111                63           60                  54         121           25
1.193545                111                63           60                  54         121           25
1.194174                111                63           61                  54         121           25
1.194803                111                63           61                  54         121           25
1.195432                111                63           62                  54         121           25
1.196062                111                63           62                  54         121           25
1.196692                111                63           62                  54         121           25
1.197322                111                63           62                  54         121           25
1.197953                111                63           62                  54         121           25
1.198584                111                63           62                  54         121           25
1.199215                111                63           62                  54         121           25
1.199847                111                63           62                  54         121           25
1.200479                111                63           62                  54         121           25
1.201111                111                63           62                  54         121           25
1.201744                111                63           62                  54         121           25
1.202377                111                63           62                  54         121           25
1.203010                111                63           62                  54         121           25
1.203643                111                63           62                  54         121           25
1.204277                111                63           62                  54         121           25
1.204912                111                63           62                  54         121           25
1.205546                111                63           62                  54         121           25
1.206181                111                63           62                  54         121           25
1.206817                111                63           62                  54         121           25
1.207452                111                63           62                  54         121           25
1.208088                111                63           62                  54         121           25
1.208725                111                63           62                  54         121           25
1.209361                111                63           62                  54         121           25
1.209998                111                63           62                  54         121           25
1.210636                111                63           62                  54         121           25
1.211273                111                63           62                  54         121           25
1.211911                111                63           62                  54         121           25
1.212550                111                63           62                  54         121           25
1.213188                111                63           62                  54         121           25
1.213827                111                63           62                  54         121           25
1.214467                111                63           62                  54         121           25
1.215106                111                63           62                  54         121           25
1.215746                111                63           62                  54         121           25
1.216387                111                63           62                  54         121           25
1.217027                111                63           62                  54         121           25
1.217668                111                63           62                  54         121           25
1.218310                111                63           63                  54         121           25
1.218951                111                63           63                  54         121           25
1.219593                111                63           63                  54         121           25
1.220236                111                63           63                  54         121           25
1.220878                111                63           63                  54         121           25
1.221521                111                63           63                  54         121           25
1.222165                111                63           63                  54         121           25
1.222809                111                63           63                  54         121           25
1.223453                111                63           63                  54         121           25
1.224097                111                63           63                  54         121           25
1.224742                111                63           63                  54         121           25
1.225387                111                63           63                  54         121           25
1.226032                111                63           63                  54         121           25
1.226678                111                63           63                  54         121           25
1.227324                111                63           63                  54         121           25
1.227971                112                63           63                  54         121           25
1.228617                112                63           63                  54         121           25
1.229265                112                63           63                  54         121           25
1.229912                112                63           63                  54         121           25
1.230560                112                63           63                  54         121           25
1.231208                112                63           63                  54         121           25
1.231856                112                63           63                  54         121           25
1.232505                112                63           63                  54         121           25
1.233154                112                63           63                  54         121           25
1.233804                112                63           63                  54         121           25
1.234454                112                63           63                  54         121           25
1.235104                112                63           63                  54         121           25
1.235755                112                63           63                  54         121           25
1.236405                112                63           63                  54         121           25
1.237057                112                63           63                  54         121           25
1.237708                112                63           63                  54         121           25
1.238360                112                63           63                  54         121           25
1.239012                112                63           63                  54         121           25
1.239665                112                63           63                  55         121           25
1.240318                112                63           63                  55         121           25
1.240971                112                63           63                  55         121           25
1.241625                112                63           63                  55         121           25
1.242279                112                63           63                  55         121           25
1.242933                112                63           63                  55         121           25
1.243588                112                63           63                  55         121           25
1.244243                112                63           63                  55         121           25
1.244898                112                63           63                  55         121           25
1.245554                112                63           63                  55         121           25
1.246210                112                63           63                  55         121           25
1.246866                112                63           63                  55         121           25
1.247523                112                63           63                  55         121           25
1.248180                112                63           63                  55         121           25
1.248838                112                63           63                  55         121           25
1.249495                112                63           63                  55         121           25
1.250153                112                63           63                  55         121           25
1.250812                112                63           63                  55         121           25
1.251471                112                63           63                  55         121           25
1.252130                112                63           63                  55         121           25
1.252789                112                63           63                  55         121           25
1.253449                112                63           63                  55         121           25
1.254110                112                63           63                  55         121           25
1.254770                112                63           63                  56         121           25
