                            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
smallinvSNPr3b020-022              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr3b050-055              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr3b100-110              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr3b150-165              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr3b200-220              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr4b010-011              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr4b020-022              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr4b050-055              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr4b200-220              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr5b010-011              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr5b020-022              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr5b050-055              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr5b100-110              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
smallinvSNPr5b200-220              0.000000          0.000000     0.000000            0.000000    0.000000     0.000000
sonet17v4                          0.000000                 -     0.000000                   -    0.000000            -
sonet18v6                          0.000000                 -     0.000000                   -    0.000000            -
sonet20v6                          0.000000                 -     0.000000                   -    0.000000            -
sonet21v6                          0.087001                 -     0.087001                   -    0.087001            -
sonet22v4                          0.092532                 -     0.090168                   -    0.090168            -
sonet24v2                          0.000000                 -     0.000000                   -    0.000000            -
spectra2                           0.089480          0.089480     0.000000            0.000000    0.000000     0.089480
sporttournament06                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament08                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament10                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament12                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament16                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament18                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament20                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament22                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament24                  0.000000                 -     0.000000                   -    0.000000            -
sporttournament26                  0.074957                 -     0.074957                   -    0.074957            -
sporttournament28                  0.000000                 -     0.000000                   -    0.000000            -
telecomsp_njlata                   0.066733                 -     0.066150                   -    0.066150            -
telecomsp_pacbell                  0.021285                 -     0.021285                   -    0.021285            -
tln2                               0.000000                 -     0.000000                   -    0.000000            -
tln4                               0.000000                 -     0.000000                   -    0.000000            -
tloss                              0.000000          0.042945     0.000000            0.018405    0.000000     0.042945
tltr                               0.000000                 -     0.000000                   -    0.000000            -
unitcommit_200_100_2_mod_7                -          0.088911            -            0.088702    0.088702            -
