Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
             SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
1.126170                 118                94           37                  62         146           20
1.126991                 118                94           37                  62         146           20
1.127813                 118                94           37                  62         146           20
1.128635                 118                94           37                  62         146           20
1.129458                 118                94           37                  62         146           20
1.130282                 118                94           37                  62         146           20
1.131106                 118                94           37                  62         146           20
1.131931                 118                94           37                  62         146           20
1.132756                 118                94           37                  62         146           20
1.133583                 118                94           38                  62         146           20
1.134409                 118                94           38                  62         146           20
1.135236                 118                94           38                  62         146           20
1.136064                 118                94           39                  62         146           20
1.136893                 118                94           39                  62         146           20
1.137722                 118                94           39                  62         146           20
1.138551                 118                94           39                  62         146           20
1.139382                 118                94           39                  62         146           20
1.140213                 118                94           39                  62         146           20
1.141044                 118                94           39                  62         146           20
1.141876                 118                94           39                  62         146           20
1.142709                 118                94           39                  62         146           20
1.143542                 119                94           39                  62         146           20
1.144376                 119                94           39                  62         146           20
1.145211                 119                94           39                  62         146           20
1.146046                 119                94           39                  62         146           20
1.146881                 119                94           39                  62         146           20
1.147718                 119                94           39                  63         146           20
1.148555                 119                94           39                  63         146           20
1.149392                 119                94           39                  63         146           20
1.150231                 119                94           39                  63         146           20
1.151069                 119                94           39                  63         146           20
1.151909                 119                94           39                  64         146           20
1.152749                 119                94           39                  64         146           20
1.153589                 119                94           39                  64         146           20
1.154431                 119                94           39                  64         146           20
1.155272                 119                94           39                  64         146           20
1.156115                 119                94           39                  64         146           20
1.156958                 119                94           39                  64         146           20
1.157802                 119                94           39                  64         146           20
1.158646                 119                94           40                  64         146           21
1.159491                 119                94           40                  64         146           21
1.160336                 119                94           40                  64         146           21
1.161183                 119                94           40                  64         146           21
1.162029                 119                94           40                  64         146           21
1.162877                 119                94           40                  64         146           21
1.163725                 119                94           40                  64         146           21
1.164573                 119                94           40                  64         146           21
1.165423                 119                94           40                  65         146           21
1.166273                 119                94           40                  65         146           21
1.167123                 119                94           40                  65         146           21
1.167974                 119                94           40                  65         146           21
1.168826                 119                94           40                  66         146           21
1.169678                 119                94           40                  66         146           21
1.170531                 119                94           40                  66         146           21
1.171385                 119                94           40                  66         146           21
1.172239                 119                94           40                  66         146           21
1.173094                 119                94           40                  66         146           21
1.173949                 119                94           40                  66         146           21
1.174805                 119                94           40                  66         146           21
1.175662                 119                94           40                  66         146           21
1.176519                 119                94           40                  66         146           21
1.177377                 119                94           40                  66         146           21
1.178236                 119                94           41                  66         146           22
1.179095                 119                94           41                  66         146           22
1.179955                 119                94           41                  66         146           22
1.180816                 119                94           41                  66         146           22
1.181677                 119                94           41                  66         146           22
1.182538                 119                94           41                  66         146           22
1.183401                 119                94           41                  66         146           22
1.184264                 119                94           42                  66         146           23
1.185127                 119                94           42                  66         146           23
1.185992                 119                94           42                  66         146           23
1.186856                 119                94           42                  66         146           23
1.187722                 119                94           42                  66         146           23
1.188588                 119                94           42                  66         146           23
1.189455                 119                94           43                  66         146           24
1.190322                 119                94           43                  66         146           24
1.191190                 119                94           43                  66         146           24
1.192059                 119                94           44                  66         146           24
1.192928                 119                94           44                  66         146           24
1.193798                 119                94           44                  66         146           24
1.194669                 119                94           44                  66         146           24
1.195540                 119                94           45                  66         146           24
1.196412                 119                94           45                  66         146           24
1.197284                 119                94           45                  66         146           24
1.198157                 119                94           45                  66         146           24
1.199031                 119                94           45                  66         146           24
1.199905                 119                94           45                  66         146           24
1.200780                 119                94           45                  66         146           24
1.201656                 119                94           45                  66         146           24
1.202532                 119                94           45                  67         146           24
1.203409                 119                94           45                  67         146           24
1.204287                 119                94           45                  67         146           24
1.205165                 119                94           45                  67         146           24
1.206044                 119                94           45                  67         146           24
1.206923                 119                94           45                  67         146           24
1.207804                 119                94           45                  67         146           24
1.208684                 119                94           45                  67         146           24
1.209566                 119                94           45                  67         146           24
1.210448                 119                94           45                  67         146           24
1.211330                 119                94           45                  67         146           24
1.212214                 120                94           45                  67         146           24
1.213098                 120                94           45                  67         146           24
1.213982                 120                94           45                  67         146           24
1.214868                 120                94           45                  67         146           24
1.215754                 120                94           45                  67         146           24
1.216640                 120                94           45                  67         146           24
1.217527                 120                94           45                  67         146           24
1.218415                 120                94           46                  67         146           24
