                            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
4stufen                                  12                 1           12                   1           1           12
autocorr_bern20-05                     1558               109         1558                 109         109         1558
autocorr_bern20-10                     8711                31         8711                  31          31         8711
autocorr_bern20-15                   124401                 1       124401                   1           1       124401
autocorr_bern25-06                      715                 1          715                   1           1          715
autocorr_bern25-13                    35035                35        35035                  35          35        35035
autocorr_bern30-04                    19572               682        19572                 682         682        19572
autocorr_bern30-08                   906551               144       906551                 144         144       906551
autocorr_bern35-04                   134665             10225       134665               10225       10225       134665
autocorr_bern40-05                  4591184              1256      4591184                1256        1256      4591184
batch0812_nc                              1                 1            1                   1           1            1
batch_nc                                  1                 1            1                   1           1            1
bchoco05                                  1                 1            1                   1           1            1
bchoco06                                  1                 1            1                   1           1            1
bchoco07                                  1                 1            1                   1           1            1
blend029                                  1                 1            1                   1           1            1
blend146                                207               207         2928                2928         207         2928
blend480                                611               611         4887                4887         611         4887
blend531                                145               145          591                 591         145          591
blend721                                737               737         1001                1001         737         1001
blend852                                803               803        10579               10579         803        10579
carton7                                   1                 1            1                   1           1            1
casctanks                                 1                 1            4                   1           1            4
cecil_13                              18355             18355        40648               19987       18355        40648
chp_shorttermplan1a                 3091406           3179898      3121391             3185981     3091406      3185981
chp_shorttermplan1b                 1735298           1860367      1724139             1874885     1724139      1874885
chp_shorttermplan2a                 1725044           1737309      1721491             1737309     1721491      1737309
chp_shorttermplan2b                   61482                 1        66225               11273           1        66225
chp_shorttermplan2d                  697636            714240      1083066              714794      697636      1083066
crudeoil_lee1_05                         29                29           29                  29          29           29
crudeoil_lee1_06                          1                 1            1                   1           1            1
crudeoil_lee1_07                          1                 1            1                   1           1            1
crudeoil_lee1_08                        419               419          419                 419         419          419
crudeoil_lee1_09                        117               117          117                 117         117          117
crudeoil_lee1_10                        212               212          212                 212         212          212
crudeoil_lee2_05                          1                 1            1                   1           1            1
crudeoil_lee2_06                        122               122          122                 122         122          122
crudeoil_lee2_07                        135               135          135                 135         135          135
crudeoil_lee2_08                          1                 1            1                   1           1            1
crudeoil_lee2_09                        238               238          230                 238         230          238
crudeoil_lee2_10                        312               312          304                 312         304          312
crudeoil_lee3_05                          1                 1            1                   1           1            1
crudeoil_lee3_06                       1344              1344         1344                1344        1344         1344
crudeoil_lee3_07                       1676              1676         1676                1676        1676         1676
crudeoil_lee3_08                       1083              1083         5462                1083        1083         5462
crudeoil_lee3_09                       1983              1983         1628                1983        1628         1983
crudeoil_lee3_10                       1107              1107          929                1107         929         1107
crudeoil_lee4_05                          1                 1            1                   1           1            1
crudeoil_lee4_06                          1                 1            1                   1           1            1
crudeoil_lee4_07                          1                 1            1                   1           1            1
crudeoil_lee4_08                          1                 1            1                   1           1            1
crudeoil_lee4_09                          1                 1          127                   1           1          127
crudeoil_lee4_10                         72                72            1                  72           1           72
crudeoil_li01                           158               158          158                 158         158          158
crudeoil_li02                          8707              8707        13069               13069        8707        13069
crudeoil_li03                         14786             14786        17490               16507       14786        17490
crudeoil_li05                          7004              7004         7162                7162        7004         7162
crudeoil_li06                          3963              3963        25053               25053        3963        25053
crudeoil_li11                         26637             26637        69618              145098       26637       145098
crudeoil_li21                         56335             56335       166252              164250       56335       166252
crudeoil_pooling_ct2                    592               592          682                 682         592          682
crudeoil_pooling_ct4                   1058              1058         1058                1058        1058         1058
crudeoil_pooling_dt1                  43584             43584        47842               45880       43584        47842
crudeoil_pooling_dt4                 167012            167794       173615              166817      166817       173615
csched1                                   1                 1            1                   1           1            1
edgecross10-010                           1                 1            1                   1           1            1
edgecross10-020                           1                 1            1                   1           1            1
edgecross10-030                           1                 1            1                   1           1            1
edgecross10-040                           1                 1            1                   1           1            1
edgecross10-050                           1                 1            1                   1           1            1
edgecross10-060                           1                 1            1                   1           1            1
edgecross10-070                           1                 1            1                   1           1            1
edgecross10-080                           1                 1            1                   1           1            1
edgecross10-090                           1                 1            1                   1           1            1
edgecross14-019                           1                 1            1                   1           1            1
edgecross14-039                           1                 1            1                   1           1            1
edgecross14-058                           1                 1            1                   1           1            1
edgecross14-078                           1                 1            1                   1           1            1
edgecross14-137                           1                 1            1                   1           1            1
edgecross14-156                           1                 1            1                   1           1            1
edgecross14-176                           1                 1            1                   1           1            1
edgecross20-040                           1                 1            1                   1           1            1
