Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcpx1910nrnc  SHOTcpx1910noref  SHOTcpx1910  SHOTcpx1910rcnoref  virt. best  virt. worst
5.046951                 46                17           47                  20          50           14
5.078463                 46                17           47                  20          50           14
5.109975                 46                17           47                  20          50           14
5.141486                 46                17           47                  20          50           14
5.172998                 46                17           47                  20          50           14
5.204509                 46                17           47                  20          50           14
5.236021                 46                17           47                  20          50           14
5.267533                 46                17           47                  20          50           14
5.299044                 46                17           47                  20          50           14
5.330556                 46                17           47                  20          50           14
5.362068                 46                17           47                  20          50           14
5.393579                 46                17           47                  20          50           14
5.425091                 46                17           47                  20          50           14
5.456603                 46                17           47                  20          50           14
5.488114                 47                17           47                  21          51           14
5.519626                 47                17           47                  21          51           14
5.551138                 47                17           47                  21          51           14
5.582649                 47                17           47                  21          51           14
5.614161                 47                17           47                  21          51           14
5.645673                 47                18           47                  21          51           14
5.677184                 47                18           47                  21          51           14
5.708696                 47                18           47                  21          51           14
5.740207                 47                18           47                  21          51           14
5.771719                 47                18           47                  21          51           14
5.803231                 47                18           47                  21          51           14
5.834742                 47                18           47                  21          51           14
5.866254                 47                18           47                  21          51           14
5.897766                 47                18           47                  21          51           14
5.929277                 47                18           47                  21          51           14
5.960789                 47                18           47                  21          51           14
5.992301                 47                18           47                  21          51           14
6.023812                 47                18           48                  21          51           15
6.055324                 47                18           48                  21          51           15
6.086836                 47                18           48                  21          51           15
6.118347                 47                18           48                  21          51           15
6.149859                 47                18           48                  21          51           15
6.181371                 47                18           48                  21          51           15
6.212882                 47                19           48                  21          52           15
6.244394                 47                19           48                  21          52           15
6.275906                 47                19           48                  21          52           15
6.307417                 47                19           48                  22          52           15
6.338929                 48                19           48                  22          52           15
6.370440                 48                19           48                  22          52           15
6.401952                 48                19           48                  22          52           15
6.433464                 48                19           48                  22          52           15
6.464975                 48                19           48                  22          52           15
6.496487                 48                19           48                  22          52           15
6.527999                 48                19           48                  22          52           15
6.559510                 48                19           48                  22          52           15
6.591022                 48                19           49                  22          52           16
6.622534                 49                19           49                  22          53           16
6.654045                 49                19           49                  22          53           16
6.685557                 49                19           50                  22          53           16
6.717069                 49                19           50                  22          53           16
6.748580                 49                19           50                  22          53           16
6.780092                 49                19           50                  22          53           16
6.811604                 49                19           50                  22          53           16
6.843115                 49                19           50                  22          53           16
6.874627                 49                19           50                  22          53           16
6.906138                 49                19           50                  22          53           16
6.937650                 49                19           50                  22          53           16
6.969162                 50                19           50                  22          54           16
7.000673                 50                19           50                  22          54           16
7.032185                 50                19           50                  22          54           16
7.063697                 50                19           50                  23          54           16
7.095208                 50                20           50                  23          54           16
7.126720                 50                20           50                  23          54           16
7.158232                 50                20           50                  23          54           16
7.189743                 50                20           50                  23          54           16
7.221255                 50                20           50                  23          54           16
7.252767                 50                20           50                  23          54           16
7.284278                 51                20           50                  23          55           16
7.315790                 51                20           50                  24          56           16
7.347302                 51                21           50                  24          56           16
7.378813                 51                21           50                  25          56           16
7.410325                 51                21           51                  25          56           17
7.441836                 51                22           51                  26          57           17
7.473348                 51                23           51                  26          57           17
7.504860                 52                23           51                  26          57           17
7.536371                 53                23           51                  26          57           17
7.567883                 53                23           51                  26          57           17
7.599395                 53                23           51                  26          57           17
7.630906                 53                23           51                  26          57           17
7.662418                 53                23           51                  26          57           17
7.693930                 53                23           52                  26          57           18
7.725441                 53                23           52                  26          57           18
7.756953                 53                24           52                  26          58           18
7.788465                 54                24           52                  26          58           18
7.819976                 55                24           52                  26          59           18
7.851488                 55                24           52                  26          59           18
