                           SHOTcpx1910nrnc SHOTcpx1910noref SHOTcpx1910 SHOTcpx1910rcnoref virt. worst
ex1224                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1225                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1226                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1233                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1243                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1244                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1252a                              1.00=            1.00=       1.00=              1.00=       1.00=
ex1252                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1263a                              1.00=            1.00=       1.00=              1.00=       1.00=
ex1263                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1264a                              1.00=            1.00=       1.00=              1.00=       1.00=
ex1264                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1265a                              1.00=          104.00-       1.00=           2349.00-    2349.00-
ex1265                               1.00=            1.00=       1.00=              1.00=       1.00=
ex1266a                              1.00=         1441.00-       1.00=         183638.00-  183638.00-
ex1266                               1.00=            1.00=       1.00=              1.00=       1.00=
ex3pb                                1.00=            1.00=       1.00=              1.00=       1.00=
feedtray2                            1.00=            1.00=       1.00=              1.00=       1.00=
fin2bb                               1.00=            1.00=       1.00=              1.00=       1.00=
gabriel01                            1.00=            1.00=     419.00-            419.00-     419.00-
gabriel04                            1.00=            1.00=       1.14-              1.14-       1.14-
gasnet_al1                           1.00=            1.00=       1.00=              1.00=       1.00=
gasnet_al2                           1.00=            1.00=       1.00=              1.00=       1.00=
gasnet_al3                           1.00=            1.00=       1.00=              1.00=       1.00=
gasnet_al4                           1.00=            1.00=       1.00=              1.00=       1.00=
gasnet_al5                           1.00=            1.00=       1.00=              1.00=       1.00=
gasprod_sarawak01                    1.00=            1.00=       1.00=              1.00=       1.00=
gasprod_sarawak16                    1.00=            1.00=       1.00=              1.00=       1.00=
gasprod_sarawak81                    1.00=            1.00=      84.00-              1.00=      84.00-
gastrans040                          1.00=            1.00=       1.00=              1.00=       1.00=
gastrans135                          1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cold13_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cold13                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cold17_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cold17                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cool12_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cool12                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cool14_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_cool14                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_freezing30_95            1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_freezing30               1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_mild10_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_mild10                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_mild11_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_mild11                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_warm15_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_warm15                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_warm31_95                1.00=            1.00=       1.00=              1.00=       1.00=
gastrans582_warm31                   1.00=            1.00=       1.00=              1.00=       1.00=
gastrans                             1.00=            1.00=       1.00=              1.00=       1.00=
gear4                                1.00=            1.00=       1.00=              1.00=       1.00=
genpooling_lee1                      1.00=            1.00=       1.00=              1.00=       1.00=
genpooling_lee2                      1.00=            1.00=       1.00=              1.00=       1.00=
genpooling_meyer04                   1.00=            1.00=       1.00=              1.00=       1.00=
ghg_1veh                             1.00=            1.00=       1.00=              1.00=       1.00=
ghg_2veh                             1.00=            1.00=       1.00=              1.00=       1.00=
gkocis                               1.00=            1.00=       1.00=              1.00=       1.00=
hadamard_4                          39.00-            1.00=      39.00-              1.00=      39.00-
hadamard_5                        2183.00-            1.00=    2183.00-              1.00=    2183.00-
heatexch_gen2                        1.00=            1.00=       1.00=              1.00=       1.00=
heatexch_spec1                       1.00=            1.00=       1.00=              1.00=       1.00=
heatexch_spec2                       1.00=            1.00=       1.00=              1.00=       1.00=
heatexch_spec3                       1.00=            1.00=       1.00=              1.00=       1.00=
heatexch_trigen                      1.00=            1.00=       1.00=              1.00=       1.00=
hmittelman                           1.00=            1.00=       1.00=              1.00=       1.00=
hybriddynamic_var                    1.00=            1.00=       1.00=              1.00=       1.00=
hydroenergy1                         1.00=            1.00=      11.76-             11.76-      11.76-
hydroenergy2                         1.00=            1.00=       1.00=              1.00=       1.00=
hydroenergy3                         1.00=            1.00=       2.06-              2.06-       2.06-
johnall                              1.00=            1.00=       1.00=              1.00=       1.00=
kport20                              1.00=            1.00=       1.00=              1.00=       1.00=
lip                                  1.00=            1.00=       1.00=              1.00=       1.00=
milinfract                           1.00=            1.00=       1.00=              1.00=       1.00=
minlphix                             1.00=            1.00=       1.00=              1.00=       1.00=
multiplants_stg5                     1.00=            1.00=       1.00=              1.00=       1.00=
nvs01                                1.00=            1.00=       1.00=           5742.00-    5742.00-
nvs05                                1.00=            1.00=       1.00=              1.00=       1.00=
nvs16                                1.00=            1.00=       1.00=              1.00=       1.00=
nvs21                                1.00=            1.00=       1.00=              1.00=       1.00=
nvs22                                1.00=            1.00=       1.00=              1.00=       1.00=
oaer                                 1.00=            1.00=       1.00=              1.00=       1.00=
oil2                                 1.00=            1.00=       1.00=              1.00=       1.00=
oil                                  1.00=            1.00=       1.00=              1.00=       1.00=
ortez                                1.00=            1.00=       1.00=              1.00=       1.00=
parallel                             1.00=            1.00=       1.00=              1.00=       1.00=
portfol_robust050_34                 1.00=            1.00=       2.20-              2.20-       2.20-
portfol_robust100_09                 1.00=            1.00=       2.60-              2.76-       2.76-
portfol_robust200_03                 1.15-            1.00=       1.04=              1.15-       1.15-
portfol_shortfall050_68              1.00=            1.00=       1.10=              1.10=       1.10=
portfol_shortfall100_04              1.19-            1.18-       1.00=              1.18-       1.19-
portfol_shortfall200_05              1.00=            1.00=       1.03=              1.01=       1.03=
prob02                               1.00=            1.00=       1.00=              1.00=       1.00=
prob03                               1.00=            1.00=       1.00=              1.00=       1.00=
procsel                              1.00=            1.00=       1.00=              1.00=       1.00=
product2                             1.00=            1.00=     147.94-            147.94-     147.94-
product                              1.00=            1.00=       1.00=              1.00=       1.00=
radar-3000-10-a-8_lat_7              1.00=            1.00=       1.00=              1.00=       1.00=
ringpack_10_1                        1.00=            1.00=       1.52-              1.52-       1.52-
ringpack_10_2                        1.00=            1.00=       1.08=              1.08=       1.08=
sep1                                 1.00=            1.00=       1.00=              1.00=       1.00=
sepasequ_convent                     1.00=            1.00=       6.33-              6.33-       6.33-
sfacloc2_2_80                        1.00=            1.00=       1.00=              1.00=       1.00=
sfacloc2_2_90                        1.00=            1.00=       1.00=              1.00=       1.00=
sfacloc2_2_95                       62.00-            1.00=     200.00-              1.00=     200.00-
sfacloc2_3_80                        1.00=            1.00=       5.36-              5.36-       5.36-
sfacloc2_3_90                        1.00=            1.00=       7.74-              7.74-       7.74-
sfacloc2_3_95                        9.28-            1.00=      28.02-             17.02-      28.02-
sfacloc2_4_80                        1.00=            1.00=       9.13-              9.13-       9.13-
sfacloc2_4_90                        1.00=            1.00=    1129.00-           1129.00-    1129.00-
sfacloc2_4_95                     3445.00-            1.00=    8435.00-            358.00-    8435.00-
sjup2                                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr1b100-110                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr1b200-220                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr2b010-011                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr2b020-022                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr2b050-055                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr2b100-110                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr2b200-220                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr3b010-011                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr3b020-022                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr3b050-055                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr3b100-110                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr3b150-165                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr3b200-220                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr4b010-011                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr4b020-022                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr4b050-055                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr4b200-220                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr5b010-011                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr5b020-022                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr5b050-055                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr5b100-110                1.00=            1.00=       1.00=              1.00=       1.00=
smallinvSNPr5b200-220                1.00=            1.00=       1.00=              1.00=       1.00=
sonet17v4                            1.00=            1.00=       1.00=              1.00=       1.00=
sonet18v6                            1.00=            1.00=       1.00=              1.00=       1.00=
sonet20v6                            1.00=            1.00=       1.00=              1.00=       1.00=
sonet21v6                            1.00=            1.00=       1.00=              1.00=       1.00=
sonet22v4                            1.00=            1.00=       1.00=              1.00=       1.00=
sonet24v2                            1.00=            1.00=       1.00=              1.00=       1.00=
sonet25v5                            1.00=            1.00=       1.00=              1.00=       1.00=
spectra2                             1.00=            1.00=       1.37-              1.37-       1.37-
spring                               1.00=            1.00=       1.00=              1.00=       1.00=
squfl010-025persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl010-040persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl010-080persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl015-060persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl015-080persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl020-040persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl020-050persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl020-150persp                    1.00=            1.00=       2.07-              1.67-       2.07-
squfl025-025persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl025-030persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl025-040persp                    1.00=            1.00=       1.00=              1.00=       1.00=
squfl030-100persp                    1.00=            1.00=       1.18-              1.18-       1.18-
squfl030-150persp                    1.46-            1.90-       1.00=              1.46-       1.90-
squfl040-080persp                    1.00=            1.00=       1.03=              1.03=       1.03=
sssd08-04persp                       1.00=            1.00=       4.20-              4.20-       4.20-
sssd12-05persp                       1.00=            1.00=       1.68-              1.68-       1.68-
sssd15-04persp                       1.00=            1.00=       7.61-              7.61-       7.61-
sssd20-04persp                       1.00=            1.00=     277.37-            294.89-     294.89-
sssd25-04persp                       1.00=            1.00=       1.04=              1.03=       1.04=
st_e13                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e15                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e29                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e31                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e32                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e35                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e36                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e38                               1.00=            1.00=       1.00=              1.00=       1.00=
st_e40                             146.00-            1.00=     146.00-              1.00=     146.00-
