                       aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0    sbb.1   scip.1  shot.1  virt. best  virt. worst
smallinvDAXr2b020-022      57      1      1      6   1292936           1      564      811       1           1      1292936
smallinvDAXr2b050-055      83      1      1     13    656972           1     1057      764       1           1       656972
smallinvDAXr2b100-110     105      1      1     20   1657350           1      959      134       1           1      1657350
smallinvDAXr2b150-165     127      1      1     13    329698           1     2773      115       1           1       329698
smallinvDAXr2b200-220      96      1      1     15    251538           1     1381      101       1           1       251538
smallinvDAXr3b020-022      60      1      1      8    836430           1      565      817       1           1       836430
smallinvDAXr3b050-055      85      1      1     13    881360           1     1059     1363       1           1       881360
smallinvDAXr3b100-110      77      1      1     12    812876           1      960      116       1           1       812876
smallinvDAXr3b150-165     124      1      1     11    430944           1     2778      156       1           1       430944
smallinvDAXr3b200-220     104      1      1     15    249169           1     1379      113       1           1       249169
smallinvDAXr4b020-022      73      1      1      8    729465           1      565      754       1           1       729465
smallinvDAXr4b050-055      94      1      1      6    655489           1     1059     1421       1           1       655489
smallinvDAXr4b100-110      81      1      1      9   1392423           1      958      116       1           1      1392423
smallinvDAXr4b150-165     121      1      1      5    252247           1     2774      156       1           1       252247
smallinvDAXr4b200-220     101      1      1     10    159846           1     1381      113       1           1       159846
smallinvDAXr5b020-022      71      1      1      7   1275289           1      562     1051       1           1      1275289
smallinvDAXr5b050-055      82      1      1     10    601387           1     1062     1364       1           1       601387
smallinvDAXr5b100-110      84      1      1     14   1488164           1      960      116       1           1      1488164
smallinvDAXr5b150-165     122      1      1     15    178076           1     2773      156       1           1       178076
smallinvDAXr5b200-220     107      1      1     15    280854           1     1380      113       1           1       280854
smallinvSNPr3b050-055      35      1      1      1       711           1      594  2681159       1           1      2681159
smallinvSNPr4b050-055      36      1      1      1       361           1     1157   422661       1           1       422661
smallinvSNPr4b100-110      38      1      1      1       361           1      905   987529       1           1       987529
smallinvSNPr4b200-220      33      1      1      1       288           1      224   711210       1           1       711210
smallinvSNPr5b050-055      29      1      1      1        99           1      590   211634       1           1       211634
smallinvSNPr5b100-110      35      1      1      1       453           1     1305   148699       1           1       148699
smallinvSNPr5b150-165      31      1      1      1       338           1     1213   946918       1           1       946918
st_e14                     33      1      1      3       181           1       98      117       1           1          181
st_miqp1                   10      1      1      1        30           1       51        1       1           1           51
st_miqp3                   10      1      1      1         4           1        4        1       1           1           10
st_miqp5                   30      1      1      1        11           1       11       20       1           1           30
st_test6                    9      1      1     46        26           1      275        1       1           1          275
st_test8                   20      1      1      1        42           1       17       17       1           1           42
st_testgr1                 43      1      1      6      2938           1      415      104       1           1         2938
st_testgr3                 24      1      1      1       161           1     1074       24       1           1         1074
st_testph4                  9      1      1      4        15           1       34        6       1           1           34
syn05h                     17      1      1      1        45           1       38       16       1           1           45
syn05m02h                  45      1      1      3       139           1       76       44       1           1          139
syn05m02m                  45      1      1      1       178           1      258      248       1           1          258
syn05m03h                  58      1      1      2       164           1       70       83       1           1          164
syn05m03m                  58      1      1      5       239           1      573      393       1           1          573
syn05m04h                  73      1      1      4       187           1       83      100       1           1          187
syn05m04m                  72      1      1      4       257           1      779      642       1           1          779
syn05m                     19      1      1      3        61           1       86       78       1           1           86
syn10h                     16      1      1      3        51           1       26       72       1           1           72
syn10m02h                  66      1      1      9       643           1      277      333       1           1          643
syn10m02m                  66      1      1      4       647           1     7209      928       1           1         7209
syn10m03h                  88      1      1     15       862           1      429      485       1           1          862
syn10m03m                  88      1      1      2      1121           1    28037     1592       1           1        28037
syn10m04h                 109      1      1      9      1522           1      506      325       1           1         1522
syn10m04m                 109      1      1      3      1749           1    94138     4428       1           1        94138
syn10m                     12      1      1      2        48           1      183       72       1           1          183
syn15h                     20      1      1      6        84           1       71      223       1           1          223
syn15m02h                  56      1      1      6       529           1      224      506       1           1          529
syn15m02m                  56      1      1      2       514           1     7860      366       1           1         7860
syn15m03h                  74      1      1     10       877           1      525      926       1           1          926
syn15m03m                  74      1      1      5       812           1    28882     1523       1           1        28882
syn15m04h                  91      1      1     14      1379           1      438     1334       1           1         1379
syn15m04m                  89      1      1      6      1221           1   164886     2952       1           1       164886
syn15m                     20      1      1      4       153           1      517      365       1           1          517
syn20m02h                  66      1      1     10      1685           1      704     1083       1           1         1685
syn20m02m                  66      1      1      2      1377           1   919940     2475       1           1       919940
syn20m03h                  88      1      1     19      1927           1      846     1853       1           1         1927
syn20m04h                 109      1      1     24      3717           1     1304     2364       1           1         3717
synthes1                   18      1      1      1        66           1       68      112       1           1          112
synthes2                   32      1      1      1       141           1      148      218       1           1          218
synthes3                   35      1      1      1       373           1      425      301       1           1          425
tls2                       18      1      1      1       273           1     9827      277       1           1         9827
