                         aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0   sbb.1  scip.1   shot.1  virt. best  virt. worst
slay06h                       -      -      5      1         -           1   32576     117        1         1.0            -
slay06m                       -      -      5      1         -           1     248      74        1         1.0            -
slay07m                       -      -      5      1         -           1    2752      30        1         1.0            -
slay08m                       -      -     51      1         -           1     395     299        1         1.0            -
slay09h                       -      -      5      1         -           1   57545    1686        1         1.0            -
slay09m                       -      -      5      1         -           1   19600    1072        1         1.0            -
smallinvDAXr1b020-022         -      -     57      1         -           1      67      74      972         1.0            -
smallinvDAXr1b050-055         -      -    227      1         -           1     152      63     1269         1.0            -
smallinvDAXr1b100-110         -      -     29      1         -           1     140       1      945         1.0            -
smallinvDAXr1b150-165         -      -     20      1         -           1     417       1      241         1.0            -
smallinvDAXr1b200-220         -      -    715      1         -           1     175       1      113         1.0            -
smallinvDAXr2b020-022         -      -     47      1         -           1      67      74     1136         1.0            -
smallinvDAXr2b050-055         -      -     48      1         -           1     152      63      727         1.0            -
smallinvDAXr2b100-110         -      -     35      1         -           1     140       1      787         1.0            -
smallinvDAXr2b150-165         -      -     16      1         -           1     417       1      109         1.0            -
smallinvDAXr2b200-220         -      -    249      1         -           1     175       1      120         1.0            -
smallinvDAXr3b020-022         -      -     56      1         -           1      67      74     1346         1.0            -
smallinvDAXr3b050-055         -      -     52      1         -           1     152     151     2016         1.0            -
smallinvDAXr3b100-110         -      -     93      1         -           1     140       1      786         1.0            -
smallinvDAXr3b150-165         -      -     24      1         -           1     417       1      347         1.0            -
smallinvDAXr3b200-220         -      -     18      1         -           1     175       1      103         1.0            -
smallinvDAXr4b020-022         -      -     52      1         -           1      67      41      863         1.0            -
smallinvDAXr4b050-055         -      -     84      1         -           1     152     186     1538         1.0            -
smallinvDAXr4b100-110         -      -     77      1         -           1     140       1      407         1.0            -
smallinvDAXr4b150-165         -      -     14      1         -           1     417       1      352         1.0            -
smallinvDAXr4b200-220         -      -    291      1         -           1     175       1       57         1.0            -
smallinvDAXr5b020-022         -      -     52      1         -           1      67     113     1108         1.0            -
smallinvDAXr5b050-055         -      -     75      1         -           1     152     186     1383         1.0            -
smallinvDAXr5b100-110         -      -     44      1         -           1     140       1     1013         1.0            -
smallinvDAXr5b150-165         -      -     26      1         -           1     417       1      372         1.0            -
