Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
              aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
1.155475           2    182     34      5        19          87     16      57     109         358            0
1.156941           2    182     34      5        19          87     16      57     109         358            0
1.158409           2    182     34      5        19          87     16      57     109         358            0
1.159878           2    182     34      5        19          88     17      57     109         358            0
1.161349           2    182     34      5        19          89     17      57     109         358            0
1.162822           2    182     34      5        19          89     17      57     109         358            0
1.164297           2    184     34      5        19          89     17      57     109         358            0
1.165774           2    185     34      5        19          89     17      57     109         358            0
1.167253           2    185     35      5        19          89     17      57     109         358            0
1.168734           2    186     35      5        19          90     17      57     109         358            0
1.170216           2    186     35      5        19          90     17      57     109         358            0
1.171700           2    187     35      5        19          90     17      57     109         358            0
1.173187           2    187     35      5        19          90     17      57     109         358            0
1.174675           2    187     35      5        19          90     17      57     109         358            0
1.176165           2    187     35      5        19          90     17      57     109         358            0
1.177657           2    188     35      5        19          90     17      57     109         358            0
1.179150           2    189     35      5        19          90     17      57     110         358            0
1.180646           2    189     35      5        19          90     17      57     110         358            0
1.182144           2    190     35      5        19          90     17      58     110         358            0
1.183643           2    190     35      5        19          90     17      58     110         358            0
1.185145           2    191     35      5        19          90     17      58     110         358            0
1.186648           2    191     35      5        19          90     17      58     110         358            0
1.188153           2    191     35      5        19          90     17      58     110         358            0
1.189660           2    192     35      5        19          90     17      58     110         358            0
1.191169           2    192     35      5        19          90     17      58     110         358            0
1.192680           2    192     35      5        19          90     17      58     111         358            0
1.194193           2    192     35      5        19          90     17      58     111         358            0
1.195708           2    192     35      5        19          90     17      58     111         358            0
1.197225           2    192     35      5        19          90     17      58     111         358            0
1.198743           2    192     35      5        19          90     17      58     112         358            0
1.200264           2    192     35      6        19          90     17      59     112         358            0
1.201786           2    192     35      6        19          90     17      59     112         358            0
1.203311           2    192     35      6        19          90     17      59     112         358            0
1.204837           2    192     35      6        19          90     17      59     112         358            0
1.206365           2    192     35      6        19          90     17      59     112         358            0
1.207895           2    192     35      6        19          90     17      59     112         358            0
1.209428           2    192     35      6        19          91     17      59     112         358            0
1.210962           2    192     35      6        19          92     17      59     112         358            0
1.212498           2    192     35      6        19          92     17      59     112         358            0
1.214036           2    192     35      6        19          92     17      60     112         358            0
1.215576           2    192     35      6        19          92     17      60     112         358            0
1.217118           2    192     35      6        20          92     17      60     112         358            0
1.218661           2    192     35      6        20          92     18      60     112         358            0
1.220207           2    192     35      6        20          92     18      60     112         358            0
1.221755           2    192     35      6        20          92     18      60     112         358            0
1.223305           2    192     35      6        20          92     18      60     112         358            0
1.224856           2    192     35      6        20          92     18      60     112         358            0
1.226410           2    193     35      6        20          92     18      60     112         358            0
1.227966           2    193     35      6        21          92     18      60     114         358            0
1.229523           2    193     35      6        21          92     18      61     114         358            0
1.231083           2    193     35      6        21          92     18      61     114         358            0
1.232645           2    193     35      6        21          92     18      61     114         358            0
1.234208           2    194     35      6        21          92     18      61     114         358            0
1.235774           2    195     35      6        21          92     18      61     114         358            0
1.237341           2    195     35      6        21          92     18      61     114         358            0
1.238911           2    195     35      6        21          92     18      61     114         358            0
1.240482           2    195     35      6        21          92     18      61     115         358            0
1.242056           2    195     35      6        21          92     18      61     115         358            0
1.243631           2    195     35      6        21          93     18      61     116         358            0
1.245209           2    196     35      6        21          93     18      61     116         358            0
1.246788           2    196     35      6        21          93     18      61     117         358            0
1.248370           2    196     35      6        21          93     18      61     117         358            0
1.249953           2    196     35      6        21          93     18      61     117         358            0
1.251539           2    197     36      6        21          93     18      61     117         358            0
1.253126           2    197     36      6        21          94     18      61     118         358            0
1.254716           2    198     36      6        21          94     18      62     118         358            0
1.256307           2    198     36      6        21          94     18      62     118         358            0
1.257901           2    198     36      6        21          94     18      62     118         358            0
1.259496           2    198     37      6        21          94     18      62     118         358            0
1.261094           2    198     37      6        21          94     18      62     118         358            0
1.262694           2    198     37      6        21          95     18      62     118         358            0
1.264295           2    199     37      6        21          95     18      62     118         358            0
1.265899           2    199     37      6        21          95     18      62     118         358            0
1.267505           2    199     37      6        21          95     18      62     119         358            0
1.269112           2    199     37      6        21          95     18      62     119         358            0
1.270722           2    199     37      6        21          95     18      62     119         358            0
1.272334           2    199     37      6        21          96     18      62     119         358            0
1.273948           2    199     37      6        21          97     18      62     119         358            0
1.275564           2    199     37      6        21          98     18      62     119         358            0
1.277182           2    199     37      6        21          98     18      62     120         358            0
1.278802           2    199     37      6        21          98     18      62     121         358            0
1.280424           2    200     37      6        21          98     18      62     121         358            0
1.282048           2    200     37      6        21          98     18      62     122         358            0
1.283675           2    200     37      6        21          98     18      63     123         358            0
1.285303           2    200     37      6        21          98     18      64     123         358            0
1.286933           2    200     38      6        21          98     18      64     124         358            0
1.288566           2    200     38      6        21          98     18      64     124         358            0
1.290200           2    200     38      6        21          98     18      64     124         358            0
1.291837           2    200     38      6        21          98     18      64     124         358            0
1.293475           2    200     38      6        21          98     18      64     125         358            0
1.295116           2    200     38      6        21          98     18      64     125         358            0
1.296759           2    200     38      6        21          98     18      64     125         358            0
1.298404           2    201     38      6        21          98     18      64     125         358            0
1.300051           2    201     38      6        21          99     18      64     125         358            0
1.301700           2    202     38      6        21          99     18      65     125         358            0
1.303351           2    203     38      6        21          99     18      65     125         358            0
1.305004           2    203     38      6        21         100     18      65     125         358            0
1.306659           2    204     38      6        21         100     18      65     126         358            0
1.308317           2    204     38      6        21         100     18      65     126         358            0
1.309976           2    204     38      6        21         100     18      65     126         358            0
1.311638           2    204     38      6        21         100     18      65     126         358            0
1.313302           2    204     38      6        22         100     18      65     126         358            0
1.314968           2    204     38      6        22         101     18      65     126         358            0
1.316636           2    204     38      6        22         101     18      65     126         358            0
1.318306           2    204     38      6        22         101     18      65     126         358            0
1.319978           2    204     38      6        22         102     18      65     126         358            0
1.321652           2    204     38      6        22         102     18      65     126         358            0
1.323329           2    204     38      6        22         102     18      65     126         358            0
1.325007           2    204     38      6        22         102     18      65     126         358            0
1.326688           2    204     38      6        22         102     18      65     126         358            0
1.328371           2    204     38      6        22         104     18      65     126         358            0
1.330056           2    204     38      6        22         104     18      65     126         358            0
1.331743           2    204     38      6        22         104     18      66     126         358            0
1.333432           2    205     39      6        22         104     18      66     126         358            0
1.335123           2    205     39      6        23         104     18      66     126         358            0
1.336817           2    205     39      6        23         104     18      66     126         358            0
1.338513           2    205     39      6        23         104     18      66     126         358            0
1.340211           2    205     39      6        23         105     18      66     126         358            0
1.341911           2    205     39      6        23         105     18      66     126         358            0
1.343613           2    205     40      6        23         105     18      66     126         358            0
1.345317           2    205     40      6        23         105     18      66     127         358            0
1.347023           2    205     40      6        23         105     18      66     127         358            0
1.348732           2    205     40      6        23         105     18      66     128         358            0
1.350443           2    205     40      6        23         105     19      66     128         358            0
1.352156           2    205     40      6        23         105     20      66     128         358            0
1.353871           2    205     40      6        23         105     20      66     128         358            0
1.355588           2    205     40      6        23         105     20      66     128         358            0
1.357308           2    205     40      6        23         106     20      66     128         358            0
1.359029           2    205     40      6        23         106     20      66     128         358            0
1.360753           2    205     40      6        23         106     20      66     128         358            0
1.362479           2    205     40      6        23         106     20      66     128         358            0
1.364208           2    205     40      6        24         107     20      66     128         358            0
1.365938           2    205     40      6        24         107     20      66     128         358            0
1.367671           2    205     40      6        24         107     20      66     128         358            0
