                          count         mean          std         min  \
Direction                   366     0.469945     0.883904          -1   
NumberOfDiscreteVariables   366      93.2596      135.911           2   
NumberOfEquations           366      1111.28      7962.35           1   
NumberOfNonZeros            366      2913.33        15956           5   
NumberOfNonlinearNonZeros   366      134.986      512.705           1   
NumberOfVariables           366      914.137      7891.56           3   
KnownPrimalBound            365          inf          NaN      -29605   
KnownDualBound              366          inf          NaN      -29605   
JulianDate                 2836      37707.1      14426.3           0   
TerminationStatus          3199     0.123789     0.515846           0   
PrimalBound                3198          inf          NaN      -29605   
DualBound                  3192          NaN          NaN        -inf   
SolverTime                 3195      113.528      273.313           0   
NumberOfIterations         3186  1.50221e+06  3.77983e+07           0   
NumberOfDomainViolations   3195     0.405008      20.1707           0   
NumberOfNodes              2099      87411.8  2.39969e+06           0   
Fail                       3294          NaN          NaN         NaN   
FailReason                 3294          NaN          NaN         NaN   
Gap                        3199          inf          NaN -8.8034e-09   
PrimalGap                  3231          inf          NaN  -0.0152299   
DualGap                    3231          inf          NaN   -0.402098   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           20           42          100         1500  
NumberOfEquations                 5.25          157          575       108218  
NumberOfNonZeros                   121        612.5         1751       213766  
NumberOfNonlinearNonZeros           14           30           80         4521  
NumberOfVariables                36.25          113          383       107223  
KnownPrimalBound               12.9912      143.585      2722.45          inf  
KnownDualBound                 10.9728      141.998      2722.45          inf  
JulianDate                       43204      43208.6      43241.4      43263.7  
TerminationStatus                    0            0            0            8  
PrimalBound                    13.3605      156.647      2832.75          inf  
DualBound                       6.6369      133.782       2647.5          inf  
SolverTime                        0.21         1.58       23.817       999.83  
NumberOfIterations                   0            4       782.75      2.1e+09  
NumberOfDomainViolations             0            0            0         1135  
NumberOfNodes                        0            1          206  1.08602e+08  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0            0  0.000917903          inf  
PrimalGap                 -9.67283e-11            0   1.1238e-10          inf  
DualGap                              0  3.62286e-10  0.000904145          inf  
