                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
alan                           1.0                        4.0                8.0              24.0                        3.0                9.0      2.925000e+00    2.925000e+00  False           
ball_mk2_10                    1.0                       10.0                2.0              21.0                       10.0               11.0      0.000000e+00    0.000000e+00  False           
ball_mk2_30                    1.0                       30.0                2.0              61.0                       30.0               31.0      0.000000e+00    0.000000e+00  False           
ball_mk3_10                    1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk3_20                    1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk3_30                    1.0                       30.0                2.0              61.0                       30.0               31.0               inf             inf  False           
ball_mk4_05                    1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk4_10                    1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk4_15                    1.0                       30.0                2.0              61.0                       30.0               31.0               NaN    5.882886e+01  False           
batch0812                      1.0                       60.0              218.0             545.0                       40.0              101.0      2.687027e+06    2.687027e+06  False           
batchdes                       1.0                        9.0               20.0              53.0                       10.0               20.0      1.674277e+05    1.674277e+05  False           
batchs101006m                  1.0                      129.0             1020.0            2866.0                       49.0              279.0      7.694404e+05    7.694404e+05  False           
batchs121208m                  1.0                      203.0             1512.0            4256.0                       59.0              407.0      1.241126e+06    1.241126e+06  False           
batchs151208m                  1.0                      203.0             1782.0            5069.0                       62.0              446.0      1.543472e+06    1.543472e+06  False           
batchs201210m                  1.0                      251.0             2328.0            6664.0                       67.0              559.0      2.295349e+06    2.295349e+06  False           
batch                          1.0                       24.0               74.0             191.0                       22.0               47.0      2.855065e+05    2.855065e+05  False           
clay0203h                      1.0                       18.0              133.0             367.0                       72.0               91.0      4.157330e+04    4.157330e+04  False           
clay0203m                      1.0                       18.0               55.0             169.0                       48.0               31.0      4.157326e+04    4.157326e+04  False           
clay0204h                      1.0                       32.0              235.0             653.0                       96.0              165.0      6.545000e+03    6.545000e+03  False           
clay0204m                      1.0                       32.0               91.0             285.0                       64.0               53.0      6.545000e+03    6.545000e+03  False           
clay0205h                      1.0                       50.0              366.0            1021.0                      120.0              261.0      8.092500e+03    8.092500e+03  False           
clay0205m                      1.0                       50.0              136.0             431.0                       80.0               81.0      8.092500e+03    8.092500e+03  False           
clay0303h                      1.0                       21.0              151.0             424.0                      108.0              100.0      2.666913e+04    2.666913e+04  False           
clay0303m                      1.0                       21.0               67.0             208.0                       72.0               34.0      2.666911e+04    2.666911e+04  False           
clay0304h                      1.0                       36.0              259.0             729.0                      144.0              177.0      4.026242e+04    4.026242e+04  False           
clay0304m                      1.0                       36.0              107.0             337.0                       96.0               57.0      4.026239e+04    4.026239e+04  False           
