Absolute performance profile for Gap
Filter: no fail
          Scb2804m  Scp2804m  Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref  Scp2804s  Scp2804st1  Scp2804st4  Sgb2804s  virt. best  virt. worst
0.019335       332       392        371         374          373            371              364           370          353       392         388         390       381         397          291
0.019558       332       392        371         374          373            371              364           370          353       392         388         390       381         397          291
0.019780       332       392        371         374          373            371              364           370          353       392         388         390       381         397          291
0.020002       332       392        371         374          373            371              364           370          353       392         388         390       381         397          291
0.020224       332       392        371         374          373            371              364           370          353       392         388         390       381         397          291
0.020447       333       392        371         374          373            371              364           370          353       392         388         391       381         397          291
0.020669       333       392        371         374          373            371              364           370          353       392         388         391       381         397          291
0.020891       333       392        371         374          373            371              364           370          354       392         388         391       381         397          291
0.021113       333       392        371         374          373            371              364           370          354       392         388         391       381         397          291
0.021336       333       392        371         374          373            371              364           370          354       392         388         391       381         397          291
0.021558       333       392        371         374          373            371              364           370          354       392         388         391       381         397          291
0.021780       333       392        371         374          373            371              364           370          354       392         388         391       381         397          291
0.022002       334       392        371         375          373            371              364           370          354       392         388         391       381         397          291
0.022225       334       392        371         375          373            371              364           370          354       392         388         391       381         397          291
0.022447       334       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.022669       335       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.022891       335       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.023114       335       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.023336       335       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.023558       335       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.023780       335       392        371         375          373            371              364           371          354       392         388         391       381         397          291
0.024003       335       392        371         375          373            371              364           371          354       392         389         391       381         397          291
0.024225       335       392        371         375          373            371              364           371          354       392         389         391       381         397          291
0.024447       335       392        371         375          373            371              364           371          354       392         389         391       381         397          291
0.024669       335       392        371         375          373            371              364           372          354       392         389         391       381         397          291
0.024892       335       392        371         375          373            371              364           372          354       392         389         391       381         397          291
0.025114       335       392        371         375          373            371              364           372          354       392         389         391       381         397          291
0.025336       335       392        371         375          373            371              364           372          354       392         389         391       382         397          291
0.025558       335       392        371         375          373            372              364           372          354       392         389         391       382         397          291
0.025781       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.026003       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.026225       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.026447       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.026670       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.026892       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.027114       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.027336       335       392        371         375          374            372              364           372          354       392         389         391       382         397          292
0.027559       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.027781       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.028003       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.028225       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.028448       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.028670       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.028892       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.029114       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.029337       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.029559       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.029781       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.030003       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.030226       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.030448       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.030670       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.030892       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.031115       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.031337       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.031559       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.031781       335       392        371         375          374            372              364           372          354       392         389         391       383         397          292
0.032004       335       392        371         375          374            372              364           372          354       392         390         391       383         397          292
0.032226       335       392        371         375          374            372              364           372          354       392         390         391       383         397          292
0.032448       335       392        371         375          375            372              364           372          354       392         390         391       383         397          293
0.032670       335       392        371         375          375            372              364           372          354       392         390         391       383         397          293
0.032893       335       392        371         375          375            372              364           372          354       392         390         391       383         397          293
0.033115       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.033337       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.033559       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.033782       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.034004       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.034226       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.034448       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.034671       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.034893       335       392        371         375          375            372              364           372          354       392         390         391       384         397          293
0.035115       335       392        371         375          375            372              365           372          354       392         390         391       384         397          293
0.035337       335       392        371         375          375            372              365           372          354       392         390         391       384         397          293
0.035560       335       392        371         375          375            372              365           372          354       392         390         391       384         397          293
0.035782       335       392        371         375          375            372              365           372          354       392         390         391       384         397          293
0.036004       335       392        371         375          375            372              365           372          354       392         390         391       384         397          293
