                          count      mean          std          min  \
Direction                   405  0.283951     0.960025           -1   
NumberOfDiscreteVariables   405   141.027      357.138            2   
NumberOfEquations           405   1535.23      8799.06            0   
NumberOfNonZeros            405   602.995      10657.7            0   
NumberOfNonlinearNonZeros   405   31.4099      327.305            0   
NumberOfVariables           405   1076.95      7701.95            2   
KnownPrimalBound            403       inf          NaN       -29605   
KnownDualBound              403       inf          NaN       -29605   
JulianDate                 1209   43965.4      9.09911      43952.2   
TerminationStatus          1209  0.304384     0.820872            0   
PrimalBound                1209       NaN          NaN         -inf   
DualBound                  1209       NaN          NaN         -inf   
SolverTime                 1203    181.65      337.191        0.001   
NumberOfIterations         1203    218532  1.19242e+06            0   
NumberOfDomainViolations   1203  0.797174      25.3309            0   
NumberOfNodes              1203   42173.9       270112            0   
Fail                       1215       NaN          NaN          NaN   
FailReason                 1215       NaN          NaN          NaN   
Gap                        1209       inf          NaN -7.85798e-10   
PrimalGap                   954       inf          NaN -2.34558e-05   
DualGap                     954       inf          NaN -1.17226e+16   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           20           42          160         4514  
NumberOfEquations                   33          269          867       108218  
NumberOfNonZeros                     0            0            0       213766  
NumberOfNonlinearNonZeros            0            0            0         4521  
NumberOfVariables                   42          164          573       107223  
KnownPrimalBound               24.8277      399.683      3068.93          inf  
KnownDualBound                 24.3628      399.684      3050.83          inf  
JulianDate                     43952.7      43971.3        43972        43973  
TerminationStatus                    0            0            0            7  
PrimalBound                    54.4059      901.757      7174.22          inf  
DualBound                      9.79714      399.685      3410.86          inf  
SolverTime                    0.269967      2.79931      88.9233      975.313  
NumberOfIterations                   0            2        725.5  1.35722e+07  
NumberOfDomainViolations             0            0            0          875  
NumberOfNodes                        0            1        138.5  5.97157e+06  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0            0  0.000895777          inf  
PrimalGap                 -1.13003e-08 -1.54908e-12  1.22364e-05          inf  
DualGap                              0  2.50713e-09  0.000283129          inf  
