                          Scb2804m                boaos     scip          virt. worst
fo7_ar2_1                    1.00=      -9735370940.53-    1.00=      -9735370940.53-
fo7_ar3_1                    1.00=     -10543129620.28-    1.00=     -10543129620.28-
fo7_ar4_1                    1.00=      -2359199208.23-    1.00=      -2359199208.23-
fo7_ar5_1                    1.00=      -9575464513.54-    1.00=      -9575464513.54-
fo7                          1.00=      -7670096338.03-    1.00=      -7670096338.03-
fo8_ar25_1                   1.00=      -5153205963.83-    1.00=      -5153205963.83-
fo8_ar2_1                    1.00=               -0.00-    1.00=               -0.00-
fo8_ar3_1                    1.00=      -6819288314.17-    1.00=      -6819288314.17-
fo8_ar4_1                    1.00=               -0.00-    1.00=               -0.00-
fo8_ar5_1                    1.00=               -0.00-    1.00=               -0.00-
fo8                          1.00=     -12106846097.34-    1.00=     -12106846097.34-
fo9_ar25_1                   0.97=      -5351176154.50-    1.00=      -5351176154.50-
fo9_ar2_1                    0.98=      -4576245843.94-    1.00=      -4576245843.94-
fo9_ar3_1                    1.00=      -6559943681.63-    1.00=      -6559943681.63-
fo9_ar4_1                    1.00=      -4212342178.05-    1.00=      -4212342178.05-
fo9_ar5_1                    1.00=     -10146701522.65-    0.85-     -10146701522.65-
fo9                          0.87-               -0.00-    1.00=               -0.00-
ibs2                         1.00=     -62147347472.18-    1.00=     -62147347472.18-
m6                           1.00=                1.00=    1.00=                1.00=
m7_ar25_1                    1.00=                1.00=    1.00=                1.00=
m7_ar2_1                     1.00=                1.00=    1.00=                1.00=
m7_ar3_1                     1.00=                1.00=    1.00=                1.00=
m7_ar4_1                     1.00=                1.00=    1.00=                1.00=
m7_ar5_1                     1.00=                1.00=    1.00=                1.00=
m7                           1.00=                1.00=    1.00=                1.00=
meanvar-orl400_05_e_8        0.99=                0.98=    1.00=                0.98=
netmod_dol2                  1.00=                1.16=    1.00=                1.16=
no7_ar25_1                   1.00=      -1922567805.45-    1.00=      -1922567805.45-
no7_ar2_1                    1.00=      -1742352293.09-    1.00=      -1742352293.09-
no7_ar3_1                    0.97=      -1850006451.17-    1.00=      -1850006451.17-
no7_ar4_1                    1.00=      -1726125223.09-    1.00=      -1726125223.09-
no7_ar5_1                    1.00=       -567859519.25-    1.00=       -567859519.25-
o7_2                         1.00=       -309169057.89-    0.95=       -309169057.89-
o7_ar25_1                    0.89-      -1885895226.08-    1.00=      -1885895226.08-
o7_ar2_1                     0.92=      -1103558995.18-    1.00=      -1103558995.18-
o7_ar3_1                     0.91=       -839393222.41-    1.00=       -839393222.41-
o7_ar4_1                     1.00=      -2161600722.31-    0.93=      -2161600722.31-
o7_ar5_1                     1.00=               -0.00-    0.91=               -0.00-
o7                           1.00=       -401237603.00-    0.94=       -401237603.00-
o8_ar4_1                     0.96=               -0.00-    1.00=               -0.00-
o9_ar4_1                     1.00=       -446914806.55-    0.99=       -446914806.55-
rsyn0805m02m                 1.00=                1.00=    1.00=                1.00=
rsyn0805m04m                 1.00=                1.00=    1.00=                1.00=
rsyn0810m02m                 1.00=                1.00=    1.00=                1.00=
rsyn0810m03h                 1.00=                1.00=    1.00=                1.00=
rsyn0815m03hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0815m03h                 1.00=                1.00=    1.00=                1.00=
rsyn0820m03hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0820m04hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0820m04h                 1.00=                1.00=    1.00=                1.00=
rsyn0830m03hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0830m03h                 1.00=                1.00=    1.00=                1.00=
rsyn0830m04hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0830m04h                 1.00=                1.00=    1.00=                1.00=
rsyn0830m                    1.00=                1.00=    1.00=                1.00=
rsyn0840m03hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0840m03h                 1.00=                1.00=    1.00=                1.00=
rsyn0840m04hfsg              1.00=                1.00=    1.00=                1.00=
rsyn0840m04h                 1.00=                1.00=    1.00=                1.00=
rsyn0840m                    1.00=                1.00=    1.00=                1.00=
slay05h                      1.00=                1.00=    1.00=                1.00=
slay06h                      1.00=                1.00=    1.00=                1.00=
slay07m                      1.00=                1.00=    1.00=                1.00=
slay08m                      1.00=                1.00=    1.00=                1.00=
slay09m                      1.00=         -3009807.28-    1.00=         -3009807.28-
smallinvDAXr1b010-011        1.00=                1.00=    1.00=                1.00=
smallinvDAXr1b020-022        1.00=                1.00=    1.00=                1.00=
smallinvDAXr1b050-055        1.00=                1.00=    1.00=                1.00=
smallinvDAXr1b100-110        1.00=                1.00=    1.00=                1.00=
smallinvDAXr1b150-165        1.00=                1.00=    1.00=                1.00=
smallinvDAXr1b200-220        1.00=                1.00=    1.00=                1.00=
smallinvDAXr2b010-011        1.00=                1.00=    1.00=                1.00=
smallinvDAXr2b020-022        1.00=                1.00=    1.00=                1.00=
smallinvDAXr2b050-055        1.00=                1.00=    1.00=                1.00=
smallinvDAXr2b100-110        1.00=                1.00=    1.00=                1.00=
smallinvDAXr2b150-165        1.00=                1.00=    1.00=                1.00=
smallinvDAXr2b200-220        1.00=                1.00=    1.00=                1.00=
smallinvDAXr3b010-011        1.00=                1.00=    1.00=                1.00=
smallinvDAXr3b020-022        1.00=                1.00=    1.00=                1.00=
smallinvDAXr3b050-055        1.00=                1.00=    1.00=                1.00=
smallinvDAXr3b100-110        1.00=                1.00=    1.00=                1.00=
smallinvDAXr3b150-165        1.00=                1.00=    1.00=                1.00=
smallinvDAXr4b010-011        1.00=                1.00=    1.00=                1.00=
smallinvDAXr4b020-022        1.00=                1.00=    1.00=                1.00=
smallinvDAXr4b050-055        1.00=                1.00=    1.00=                1.00=
smallinvDAXr4b100-110        1.00=                1.00=    1.00=                1.00=
smallinvDAXr4b150-165        1.00=                1.00=    1.00=                1.00=
smallinvDAXr4b200-220        1.00=                1.00=    1.00=                1.00=
smallinvDAXr5b010-011        1.00=                1.00=    1.00=                1.00=
smallinvDAXr5b020-022        1.00=                1.00=    1.00=                1.00=
smallinvDAXr5b050-055        1.00=                1.00=    1.00=                1.00=
smallinvDAXr5b100-110        1.00=                1.00=    1.00=                1.00=
smallinvDAXr5b150-165        1.00=                1.00=    1.00=                1.00=
smallinvDAXr5b200-220        1.00=                1.00=    1.00=                1.00=
squfl010-025                 1.00=                1.00=    1.00=                1.00=
squfl010-040                 1.00=                1.00=    0.66-                0.66-
sssd18-06                    1.00=                0.37-    1.00=                0.37-
stockcycle                   1.00=       -219950297.76-    1.00=       -219950297.76-
syn40m03hfsg                 1.00=                1.00=    1.00=                1.00=
syn40m03h                    1.00=                1.00=    1.00=                1.00=
syn40m04hfsg                 1.00=                1.00=    1.00=                1.00=
syn40m04h                    1.00=                1.00=    1.00=                1.00=
syn40m04m                    1.00=                1.00=    1.00=                1.00=
tls12                        0.96=                0.16-    1.00=                0.16-
tls4                         1.00=     -24529722142.24-    1.00=     -24529722142.24-
tls5                         1.00=     -67341660420.67-    0.80-     -67341660420.67-
tls6                         1.00=     -10776846073.71-    0.78-     -10776846073.71-
tls7                         1.00=                0.11-    0.28-                0.11-
unitcommit_50_20_2_mod_8     1.00=                0.99=    1.00=                0.99=
watercontamination0202r     -3.14-                1.00=  -29.60-              -29.60-
watercontamination0202    -945.17-                1.00=   -5.40-             -945.17-
watercontamination0303r    -67.52-                1.00=    1.00=              -67.52-
