                          Scb2804m   boaos      scip  virt. best  virt. worst
rsyn0810m04hfsg                  1      12      2748           1         2748
rsyn0810m04h                     1      15      2295           1         2295
rsyn0810m                        1       2      1610           1         1610
rsyn0815hfsg                     1       2       982           1          982
rsyn0815h                        1       9      1233           1         1233
rsyn0815m02hfsg                  1       8      2109           1         2109
rsyn0815m02h                     1      16      2791           1         2791
rsyn0815m03hfsg                  1      21      7848           1         7848
rsyn0815m03h                     1      19      6356           1         6356
rsyn0815m04hfsg                  1     167      6402           1         6402
rsyn0815m04h                     1      35      7508           1         7508
rsyn0815m                        1       4      1570           1         1570
rsyn0820hfsg                     1      32      1428           1         1428
rsyn0820h                        1      10      1284           1         1284
rsyn0820m02hfsg                  1      10      3139           1         3139
rsyn0820m02h                     1      39      2204           1         2204
rsyn0820m03hfsg                  1      16      5837           1         5837
rsyn0820m03h                     1      18      8019           1         8019
rsyn0820m04hfsg                  1      25      8592           1         8592
rsyn0820m04h                     1      40      7563           1         7563
rsyn0820m                        1       3      1994           1         1994
rsyn0830hfsg                     1       5      3481           1         3481
rsyn0830h                        1       8      4728           1         4728
rsyn0830m02hfsg                  1      22      8636           1         8636
rsyn0830m02h                     1      27      9813           1         9813
rsyn0830m03hfsg                  1      27      4850           1         4850
rsyn0830m03h                     1      96      8972           1         8972
rsyn0830m04hfsg                  1      50     18560           1        18560
rsyn0830m04h                     1     150      8381           1         8381
rsyn0830m                        1       2      2040           1         2040
rsyn0840hfsg                     1      11      1218           1         1218
rsyn0840h                        1      18      1168           1         1168
rsyn0840m02hfsg                  1      31      2528           1         2528
rsyn0840m02h                     1      37      2615           1         2615
rsyn0840m03hfsg                  1      63      5008           1         5008
rsyn0840m03h                     1     144     10055           1        10055
rsyn0840m04hfsg                  1     175      4902           1         4902
rsyn0840m04h                     1     278      5556           1         5556
rsyn0840m                        1       1      1978           1         1978
slay04h                          1      42      2520           1         2520
slay04m                          1       5      1493           1         1493
slay05h                          1      15      6430           1         6430
slay05m                          1       3     11855           1        11855
slay06h                          1      20     34512           1        34512
slay06m                          1       4      3150           1         3150
slay07m                          1       1      5593           1         5593
slay08m                          1       1      9255           1         9255
slay09m                          1       1     28450           1        28450
smallinvDAXr1b010-011            1       9       830           1          830
smallinvDAXr1b020-022            1      13       698           1          698
smallinvDAXr1b050-055            1      12       590           1          590
smallinvDAXr1b100-110            1      12       133           1          133
smallinvDAXr1b150-165            1      12       115           1          115
smallinvDAXr1b200-220            1      13       101           1          101
smallinvDAXr2b010-011            1       8       954           1          954
smallinvDAXr2b020-022            1      16       685           1          685
smallinvDAXr2b050-055            1       8       590           1          590
smallinvDAXr2b100-110            1      17       131           1          131
smallinvDAXr2b150-165            1       7       115           1          115
smallinvDAXr2b200-220            1      11       101           1          101
smallinvDAXr3b010-011            1       9       943           1          943
smallinvDAXr3b020-022            1       8       747           1          747
smallinvDAXr3b050-055            1      15      1643           1         1643
smallinvDAXr3b100-110            1      12       116           1          116
smallinvDAXr3b150-165            1      13       156           1          156
smallinvDAXr4b010-011            1      10       881           1          881
smallinvDAXr4b020-022            1       9       775           1          775
smallinvDAXr4b050-055            1       9      2061           1         2061
smallinvDAXr4b100-110            1       9       116           1          116
smallinvDAXr4b150-165            1       7       156           1          156
smallinvDAXr4b200-220            1       7       113           1          113
smallinvDAXr5b010-011            1       9       999           1          999
smallinvDAXr5b020-022            1       7      1574           1         1574
smallinvDAXr5b050-055            1      11      1253           1         1253
smallinvDAXr5b100-110            1      20       116           1          116
smallinvDAXr5b150-165            1      10       156           1          156
smallinvDAXr5b200-220            1      13       113           1          113
squfl010-025                     1     115   1028102           1      1028102
squfl010-040                     1     281   1953919           1      1953919
sssd08-04                        1       1      4618           1         4618
sssd18-06                        1       1     15849           1        15849
st_e14                           1       3       117           1          117
st_miqp1                         1       1         1           1            1
st_miqp3                         1       1         1           1            1
st_miqp4                         1       1         8           1            8
st_miqp5                         1       1        20           1           20
st_test1                         1       1         1           1            1
st_test2                         1       1         1           1            1
st_test3                         1       1         1           1            1
st_test5                         1       1         1           1            1
st_test6                         1       2         1           1            2
st_test8                         1       1        19           1           19
st_testgr1                       1       6       105           1          105
st_testgr3                       1       1        26           1           26
st_testph4                       1       1         6           1            6
stockcycle                       1       1   1052654           1      1052654
syn05hfsg                        1       2        16           1           16
syn05h                           1       1        16           1           16
syn05m02hfsg                     1       3        44           1           44
syn05m02h                        1       3        44           1           44
syn05m02m                        1       1       181           1          181
syn05m03hfsg                     1       4        83           1           83
syn05m03h                        1       3        83           1           83
syn05m03m                        1       3       339           1          339
syn05m04hfsg                     1       5        98           1           98
syn05m04h                        1       5       100           1          100
syn05m04m                        1       4       646           1          646
syn05m                           1       3        66           1           66
syn10hfsg                        1       1        74           1           74
syn10h                           1       3        72           1           72
syn10m02hfsg                     1       8       349           1          349
syn10m02h                        1       9       343           1          343
syn10m02m                        1       4      1054           1         1054
syn10m03hfsg                     1      14       499           1          499
syn10m03h                        1      14       506           1          506
syn10m03m                        1       2      1689           1         1689
syn10m04hfsg                     1      13       299           1          299
syn10m04h                        1       9       296           1          296
syn10m04m                        1       3      4422           1         4422
syn10m                           1       2        90           1           90
syn15hfsg                        1       3       229           1          229
syn15h                           1       6       223           1          223
syn15m02hfsg                     1       3       495           1          495
syn15m02h                        1       6       482           1          482
syn15m02m                        1       2       728           1          728
syn15m03hfsg                     1       7       819           1          819
syn15m03h                        1      10       865           1          865
syn15m03m                        1       6      1879           1         1879
syn15m04hfsg                     1       8      1342           1         1342
syn15m04h                        1      13      1435           1         1435
syn15m04m                        1      12      3962           1         3962
syn15m                           1       4       239           1          239
syn20hfsg                        1       9       613           1          613
