                         AOA.0 Pajarito.0   aecp.1 antigone    baron    bbb.3   bhyb.2    boa.1 couenne.1 dicopt.1 juniper.0   knitro  lindo.1 mtaurbnbcpx.0 mtaurqgcpx.0    sbb.1   scip.1   shot.1 virt. worst
ball_mk2_10              1.14=     73.89-   65.02-    1.00=    1.00=   39.95-    9.94-   69.91-     1.00=  900.00-     7.92-    1.00=    1.00=         1.00=        1.00=    2.44-    1.00=    1.18=     900.00-
ball_mk2_30            900.00-    900.00-  900.00-    1.00=    1.00=  900.00-  900.00-  180.96-     1.00=  900.00-   900.00-  900.00-  900.00-       900.00-      900.00-  900.00-    1.00=  900.00-     900.00-
ball_mk3_10              4.14-    900.00-  900.00-    1.00=    1.91=   47.14-    7.90-  176.95-     1.00=  900.00-   900.00-  900.00-    1.23=         1.00=        5.12-    2.30-    1.00=    1.68=     900.00-
ball_mk3_20            900.00-    900.00-  900.00-    1.10=  900.00-  900.00-  900.00-  900.00-     1.00=  900.00-   900.00-  900.00-  900.00-       297.93-      900.00-  900.00-    1.00=  900.00-     900.00-
ball_mk3_30            900.00-    900.00-  900.00-    2.02-  900.00-  830.12-  900.00-  900.00-     1.00=  900.00-   900.00-  900.00-  900.00-       900.00-      900.00-  900.00-    1.00=  900.00-     900.00-
ball_mk4_05              7.31-    900.00-  900.00-  900.00-    1.00=    6.77-  900.00-  900.00-   900.00-  900.00-   900.00-  900.00-    1.48=         1.00=      900.00-    2.97-    1.00=    1.00=     900.00-
ball_mk4_10            503.07-    503.07-  503.07-  503.07-   69.66-  503.07-    1.00=  503.07-   503.07-  503.07-   503.07-  503.07-  503.07-       208.49-      503.07-  503.07-  487.78-  503.07-     503.07-
ball_mk4_15            392.33-    392.33-  392.33-  392.33-   46.32-  392.33-    1.00=  392.33-   392.33-  392.33-   392.33-  392.33-  392.33-       392.33-      392.33-  392.33-  392.33-  392.33-     392.33-
batchdes                 1.00=    900.00-    1.00=    1.00=    1.00=    1.00=    1.00=    1.00=   900.00-    1.00=     2.92-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_normcon20r     1.00=      1.00=    2.18-    1.00=    1.00=    1.00=    1.00=   10.68-     2.10-    1.00=    26.68-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=      26.68-
cvxnonsep_normcon20      1.16=    900.00-  108.58-    1.00=    1.00=    1.00=  126.94-  350.29-     1.74=   22.98-    27.32-    1.00=    1.00=         1.00=        1.00=    1.00=    1.07=    2.90-     900.00-
cvxnonsep_normcon30r     1.00=      1.00=    3.57-    1.00=    1.00=    1.00=    1.00=   16.23-    53.35-    1.00=    36.67-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=      53.35-
cvxnonsep_normcon30     31.52-    900.00-  900.00-    1.00=    1.00=    1.00=  900.00-  900.00-     5.14-  900.00-    38.40-    1.00=    1.00=         1.00=       27.00-    1.00=   23.49-  483.21-     900.00-
cvxnonsep_normcon40r     1.00=      1.00=    4.57-    1.00=    1.00=    1.55=    1.00=   11.24-   900.00-    1.00=    37.55-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_normcon40    900.00-    900.00-  900.00-    1.00=    1.00=    1.39=  900.00-  900.00-     2.90-  900.00-    40.82-    1.00=    1.00=         1.00=      900.00-    1.00=  900.00-  900.00-     900.00-
cvxnonsep_nsig20r        1.00=      1.00=    1.17=    1.00=    1.00=    1.00=    1.00=   10.20-     4.65-    1.00=    25.48-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=      25.48-
cvxnonsep_nsig20         1.16=    900.00-   81.42-  900.00-    1.00=    1.00=  108.90-  244.74-   900.00-    9.47-    27.69-    1.00=    1.00=         1.00=        1.00=    1.00=   96.10-    7.40-     900.00-
cvxnonsep_nsig30r        1.00=    900.00-    2.69-    1.00=    1.00=    1.00=  900.00-   17.54-    16.42-    1.00=    47.26-    1.00=    1.68=         1.22=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_nsig30        49.04-    900.00-  900.00-  900.00-    1.00=    1.00=  900.00-  900.00-   900.00-  250.04-    48.58-    1.00=    1.00=         1.00=       29.03-    1.00=  900.00-  382.04-     900.00-
cvxnonsep_nsig40r        1.00=    900.00-    2.17-    1.00=    1.00=    1.00=  900.00-   24.34-     8.97-    1.00=    49.67-    1.00=    2.47-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_nsig40        67.24-    900.00-  900.00-  900.00-    1.00=    1.00=  900.00-  900.00-   900.00-  900.00-    48.70-    1.00=    1.00=         1.00=       51.20-    1.00=  900.00-  900.00-     900.00-
cvxnonsep_pcon20r        1.00=    900.00-    2.59-    1.00=    1.00=    1.00=    1.00=   11.63-   900.00-  900.00-    16.77-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_pcon20         1.00=      1.00=   32.16-    1.00=    1.00=    1.00=    1.60=  158.78-     8.39-    3.39-    16.48-    1.00=    1.00=       900.00-        1.00=    1.00=    1.31=    1.00=     900.00-
cvxnonsep_pcon30r        1.00=      1.00=    3.79-    1.00=    1.00=    1.00=    1.00=   11.99-   900.00-    1.00=    24.91-    1.00=    1.98=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_pcon30         1.28=    900.00-  684.60-    1.00=    1.00=    1.00=  900.00-  396.61-    65.06-   28.37-    24.98-    1.00=    1.32=       900.00-      900.00-    1.00=    8.65-    2.11-     900.00-
cvxnonsep_pcon40r        1.00=    900.00-    4.66-    1.00=    1.00=    1.00=  900.00-    7.18-    80.55-    1.00=    28.92-    1.00=    4.54-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
cvxnonsep_pcon40         4.25-    900.00-  900.00-    1.00=    1.00=    1.00=  900.00-  900.00-   117.95-  305.09-    29.48-    1.00=    2.65-       900.00-      900.00-    1.00=   32.68-   20.40-     900.00-
cvxnonsep_psig20r        1.00=    900.00-    2.61-    1.00=    1.00=    1.00=    1.00=   18.19-     3.46-    1.00=    30.61-    1.00=    1.30=       900.00-      900.00-    1.00=    1.00=    1.00=     900.00-
cvxnonsep_psig20         1.56=    900.00-  326.37-  900.00-    1.00=    1.00=  439.01-  347.60-   900.00-    1.00=     1.00=    1.00=    1.00=         1.00=        1.02=    1.00=    5.80-  340.20-     900.00-
cvxnonsep_psig30r        1.00=    900.00-  900.00-  900.00-    1.00=    1.00=    1.00=    6.14-     2.62-    1.00=    39.36-    1.00=    6.25-       900.00-      900.00-    1.00=    1.00=    1.00=     900.00-
cvxnonsep_psig30         4.08-    900.00-  900.00-  900.00-    1.00=    1.00=  900.00-  900.00-   900.00-  257.14-     1.00=    1.00=    1.00=         1.00=        4.42-    1.00=  900.00-  900.00-     900.00-
cvxnonsep_psig40r        1.00=    900.00-    3.88-  900.00-    1.00=    1.00=  900.00-   36.90-     8.50-    1.00=    45.17-    1.00=    5.81-       900.00-      900.00-    1.00=    1.00=    1.00=     900.00-
cvxnonsep_psig40         9.98-    900.00-  900.00-  900.00-    1.00=    1.00=  900.00-  900.00-   900.00-  900.00-     1.00=    1.00=    1.07=         1.00=       27.22-    1.00=  900.00-  900.00-     900.00-
du-opt5                  1.00=      1.00=    5.39-  900.00-    2.48-    1.16=  900.00-   53.23-   900.00-    1.00=    16.22-    1.00=    1.00=         1.00=      900.00-    3.52-    1.00=    1.00=     900.00-
du-opt                   1.00=    900.00-   16.61-  900.00-    1.00=    1.00=   53.92-  214.78-   900.00-    3.70-    12.97-    1.00=   19.60-         1.00=        1.00=    1.00=    1.17=    1.00=     900.00-
