                          count         mean          std          min  \
Direction                    16        0.625     0.806226           -1   
NumberOfDiscreteVariables    16      273.125      729.352           19   
NumberOfEquations            16      2268.69      3654.86            1   
NumberOfNonZeros             16      8864.12      14230.3           26   
NumberOfNonlinearNonZeros    16      1845.56      3876.68           25   
NumberOfVariables            16      1923.44      4142.86           26   
KnownPrimalBound             16       288671       854166      -115656   
KnownDualBound               16       288671       854166      -115656   
JulianDate                   58        44122       3.6392      44117.7   
TerminationStatus            58     0.827586      1.78825            0   
PrimalBound                  58          NaN          NaN         -inf   
DualBound                    58          NaN          NaN         -inf   
SolverTime                   58      696.713       807.31     0.244761   
NumberOfIterations           58  1.74474e+06  4.60524e+06            0   
NumberOfDomainViolations     58            0            0            0   
NumberOfNodes                58       226221  1.32455e+06            0   
Fail                         64          NaN          NaN          NaN   
FailReason                   64          NaN          NaN          NaN   
Gap                          58          inf          NaN            0   
PrimalGap                    64          inf          NaN -5.81448e-06   
DualGap                      64          inf          NaN    -0.228335   

                                   25%         50%      75%          max  
Direction                            1           1        1            1  
NumberOfDiscreteVariables        44.75        92.5    145.5         3000  
NumberOfEquations                   42         391  2639.25        12002  
NumberOfNonZeros                327.75      1943.5   8896.5        42001  
NumberOfNonlinearNonZeros         99.5         185   605.25        13500  
NumberOfVariables                  107       192.5  1014.75        15001  
KnownPrimalBound             -0.230518     50.2245  582.682  3.31106e+06  
KnownDualBound               -0.230518     50.2245  582.682  3.31106e+06  
JulianDate                     44118.8     44119.1  44124.7      44126.8  
TerminationStatus                    0           0        1            7  
PrimalBound                 0.00395758     81.1024   268457          inf  
DualBound                     -1.22962           8  391.242          inf  
SolverTime                     8.38911     134.495  1803.48      1830.76  
NumberOfIterations                   0           0   299502   2.5119e+07  
NumberOfDomainViolations             0           0        0            0  
NumberOfNodes                        0        1008  44408.8  1.01033e+07  
Fail                               NaN         NaN      NaN          NaN  
FailReason                         NaN         NaN      NaN          NaN  
Gap                              0.001     0.30063  51.1202          inf  
PrimalGap                            0  0.00310391  1.37907          inf  
DualGap                    0.000973602    0.425786  114.444          inf  
