Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
            SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
1.028539                   2             6        8              7          14            0
1.029096                   2             6        8              7          14            0
1.029653                   2             6        8              7          14            0
1.030210                   2             6        8              7          14            0
1.030768                   2             6        8              7          14            0
1.031326                   2             6        8              7          14            0
1.031884                   2             6        8              7          14            0
1.032443                   2             6        8              7          14            0
1.033001                   2             6        8              7          14            0
1.033561                   2             6        8              7          14            0
1.034120                   2             6        8              7          14            0
1.034680                   2             6        8              7          14            0
1.035240                   2             6        8              7          14            0
1.035800                   2             6        8              7          14            0
1.036361                   2             6        8              7          14            0
1.036922                   2             6        8              7          14            0
1.037483                   2             6        8              7          14            0
1.038045                   2             6        8              7          14            0
1.038607                   2             6        8              7          14            0
1.039169                   2             6        8              7          14            0
1.039731                   2             6        8              7          14            0
1.040294                   2             6        8              7          14            0
1.040857                   2             6        8              7          14            0
1.041421                   2             6        8              7          14            0
1.041984                   2             6        8              7          14            0
1.042548                   2             6        8              7          14            0
1.043113                   2             6        8              7          14            0
1.043677                   2             6        8              7          14            0
1.044242                   2             6        8              7          14            0
1.044807                   2             6        8              7          14            0
1.045373                   2             6        8              7          14            0
1.045939                   2             6        8              7          14            0
1.046505                   2             6        8              7          14            0
1.047071                   2             6        8              7          14            0
1.047638                   2             6        8              7          14            0
1.048205                   2             6        8              7          14            0
1.048773                   2             6        8              7          14            0
1.049340                   2             6        8              7          14            0
1.049908                   2             6        8              7          14            0
1.050477                   2             6        8              7          14            0
1.051045                   2             6        8              7          14            0
1.051614                   2             6        8              7          14            0
1.052183                   2             6        8              7          14            0
1.052753                   2             6        8              7          14            0
1.053323                   2             6        8              7          14            0
1.053893                   2             6        8              7          14            0
1.054463                   2             6        8              7          14            0
1.055034                   2             6        8              7          14            0
1.055605                   2             6        8              7          14            0
1.056177                   2             6        8              7          14            0
1.056748                   2             6        8              7          14            0
1.057320                   2             6        8              7          14            0
1.057893                   2             6        8              7          14            0
1.058465                   2             6        8              7          14            0
1.059038                   2             6        8              7          14            0
1.059612                   2             6        8              7          14            0
1.060185                   2             6        8              7          14            0
1.060759                   2             6        8              7          14            0
1.061333                   2             6        8              7          14            0
1.061908                   2             6        8              7          14            0
1.062482                   2             6        8              7          14            0
1.063058                   2             6        8              7          14            0
1.063633                   2             6        8              7          14            0
1.064209                   2             6        8              7          14            0
1.064785                   2             6        8              7          14            0
1.065361                   2             6        8              7          14            0
1.065938                   2             6        8              7          14            0
1.066515                   2             6        8              7          14            0
1.067092                   2             6        8              7          14            0
1.067670                   2             6        8              7          14            0
1.068248                   2             6        8              7          14            0
1.068826                   2             6        8              7          14            0
1.069404                   2             6        8              7          14            0
1.069983                   2             6        8              7          14            0
1.070562                   2             6        8              7          14            0
1.071142                   2             6        8              7          14            0
1.071722                   2             6        8              7          14            0
1.072302                   2             6        8              7          14            0
1.072882                   2             6        8              7          14            0
1.073463                   2             6        8              7          14            0
1.074044                   2             6        8              7          14            0
1.074625                   2             6        8              7          14            0
1.075207                   2             6        8              7          14            0
1.075789                   2             6        8              7          14            0
1.076371                   2             6        8              7          14            0
1.076954                   2             6        8              7          14            0
1.077537                   2             6        8              7          14            0
1.078120                   2             6        8              7          14            0
1.078704                   2             6        8              7          14            0
1.079288                   2             6        8              7          14            0
1.079872                   2             6        8              7          14            0
1.080456                   2             6        8              7          14            0
1.081041                   2             6        8              7          14            0
1.081626                   2             6        8              7          14            0
1.082212                   2             6        8              7          14            0
1.082798                   2             6        8              7          14            0
1.083384                   2             6        8              7          14            0
1.083970                   2             6        8              7          14            0
1.084557                   2             6        8              7          14            0
1.085144                   2             6        8              7          14            0
1.085731                   2             6        8              7          14            0
1.086319                   2             6        8              8          14            0
1.086907                   2             6        8              8          14            0
1.087495                   2             6        8              8          14            0
1.088084                   2             6        8              8          14            0
1.088673                   2             6        8              8          14            0
1.089262                   2             6        8              8          14            0
1.089852                   2             6        8              8          14            0
1.090442                   2             6        8              8          14            0
1.091032                   2             6        8              8          14            0
1.091623                   2             6        8              8          14            0
1.092214                   2             6        8              8          14            0
1.092805                   2             6        8              8          14            0
1.093396                   2             6        8              8          14            0
1.093988                   2             6        8              8          14            0
1.094580                   2             6        8              8          14            0
1.095173                   2             6        8              8          14            0
1.095766                   2             6        8              8          14            0
1.096359                   2             6        8              8          14            0
1.096952                   2             6        8              8          14            0
1.097546                   2             6        8              8          14            0
1.098140                   2             6        8              8          14            0
1.098734                   2             6        8              8          14            0
1.099329                   2             6        8              8          14            0
1.099924                   2             6        8              8          14            0
1.100520                   2             6        8              8          14            0
1.101115                   2             6        8              8          14            0
1.101711                   2             6        8              8          14            0
1.102308                   2             6        8              8          14            0
1.102904                   2             6        8              8          14            0
1.103501                   2             6        8              8          14            0
1.104099                   2             6        8              8          14            0
1.104696                   2             6        8              8          14            0
1.105294                   2             6        8              8          14            0
1.105892                   2             6        8              8          14            0
1.106491                   2             6        8              8          14            0
1.107090                   2             6        8              8          14            0
1.107689                   2             6        8              8          14            0
1.108289                   2             6        8              8          14            0
1.108889                   2             6        8              8          14            0
1.109489                   2             6        8              8          14            0
1.110090                   2             6        8              8          14            0
1.110690                   2             6        8              8          14            0
1.111292                   2             6        8              8          14            0
1.111893                   2             6        8              8          14            0
1.112495                   2             6        8              8          14            0
1.113097                   2             6        8              8          14            0
1.113700                   2             6        8              8          14            0
1.114303                   2             6        8              8          14            0
1.114906                   2             6        8              8          14            0
1.115509                   2             6        8              8          14            0
1.116113                   2             6        8              8          14            0
1.116717                   2             6        8              8          14            0
1.117322                   2             6        8              8          14            0
1.117926                   2             6        8              8          14            0
1.118532                   2             6        8              8          14            0
1.119137                   2             6        8              8          14            0
1.119743                   2             6        8              8          14            0
1.120349                   2             6        8              8          14            0
1.120955                   2             6        8              8          14            0
1.121562                   2             6        8              8          14            0
1.122169                   2             6        8              8          14            0
1.122777                   2             6        8              8          14            0
1.123384                   2             6        8              8          14            0
1.123992                   2             6        8              8          14            0
1.124601                   2             6        8              8          14            0
1.125210                   2             6        8              8          14            0
1.125819                   2             6        8              8          14            0
1.126428                   2             6        8              8          14            0
1.127038                   2             6        8              8          14            0
1.127648                   2             6        8              8          14            0
1.128258                   2             6        8              8          14            0
1.128869                   2             6        8              8          14            0
1.129480                   2             6        8              8          14            0
1.130091                   2             6        8              8          14            0
1.130703                   2             6        8              8          14            0
1.131315                   2             6        8              8          14            0
1.131927                   2             6        8              8          14            0
1.132540                   2             6        8              8          14            0
1.133153                   2             6        8              8          14            0
1.133766                   2             6        8              8          14            0
1.134380                   2             6        8              8          14            0
1.134994                   2             6        8              8          14            0
1.135609                   2             6        8              8          14            0
1.136223                   2             6        8              8          14            0
1.136838                   2             6        8              8          14            0
1.137454                   2             6        8              8          14            0
1.138069                   2             6        8              8          14            0
1.138685                   2             6        8              8          14            0
1.139302                   2             6        8              8          14            0
1.139918                   2             6        8              8          14            0
1.140535                   2             6        8              8          14            0
1.141153                   2             6        8              8          14            0
1.141771                   2             6        8              8          14            0
1.142389                   2             6        8              8          14            0
1.143007                   2             6        8              8          14            0
1.143626                   2             6        8              8          14            0
1.144245                   2             6        8              8          14            0
1.144864                   2             6        8              8          14            0
1.145484                   2             6        8              8          14            0
1.146104                   2             6        8              8          14            0
1.146724                   2             6        8              8          14            0
1.147345                   2             6        8              8          14            0
1.147966                   2             6        8              8          14            0
1.148587                   2             6        8              8          14            0
1.149209                   2             6        8              8          14            0
1.149831                   2             6        8              8          14            0
1.150453                   2             6        8              8          14            0
1.151076                   2             6        8              8          14            0
1.151699                   2             6        8              8          14            0
1.152323                   2             6        8              8          14            0
1.152946                   2             6        8              8          14            0
1.153570                   2             6        8              8          14            0
1.154195                   2             6        8              8          14            0
1.154820                   2             6        8              8          14            0
1.155445                   2             6        8              8          14            0
1.156070                   2             6        8              8          14            0
1.156696                   2             6        8              8          14            0
1.157322                   2             6        8              8          14            0
1.157948                   2             6        8              8          14            0
1.158575                   2             6        8              8          14            0
1.159202                   2             6        8              8          14            0
1.159830                   2             6        8              8          14            0
1.160458                   2             6        8              8          14            0
1.161086                   2             6        8              8          14            0
1.161714                   2             6        8              8          14            0
1.162343                   2             6        8              8          14            0
1.162972                   2             6        8              8          14            0
1.163602                   2             6        8              8          14            0
1.164232                   2             6        8              8          14            0
1.164862                   2             6        8              8          14            0
1.165492                   2             6        8              8          14            0
1.166123                   2             6        8              8          14            0
1.166754                   2             6        8              8          14            0
1.167386                   2             6        8              8          14            0
1.168018                   2             6        8              8          14            0
1.168650                   2             6        8              8          14            0
1.169283                   2             6        8              8          14            0
1.169916                   2             6        8              8          14            0
1.170549                   2             6        8              8          14            0
1.171182                   2             6        8              8          14            0
1.171816                   2             6        8              8          14            0
1.172451                   2             6        8              8          14            0
1.173085                   2             6        8              8          14            0
1.173720                   2             6        8              8          14            0
1.174356                   2             6        8              8          14            0
1.174991                   2             6        8              8          14            0
1.175627                   2             6        8              8          14            0
1.176264                   2             6        8              8          14            0
1.176900                   2             6        8              8          14            0
1.177537                   2             6        8              8          14            0
1.178175                   2             6        8              8          14            0
1.178813                   2             6        8              8          14            0
1.179451                   2             6        8              8          14            0
1.180089                   2             6        8              9          14            0
1.180728                   2             6        8              9          14            0
1.181367                   2             6        8              9          14            0
1.182006                   2             6        8              9          14            0
1.182646                   2             6        8              9          14            0
1.183286                   2             6        8              9          14            0
1.183927                   2             6        8              9          14            0
1.184568                   2             6        8              9          14            0
1.185209                   2             6        8              9          14            0
1.185850                   2             6        8              9          14            0
1.186492                   2             6        8              9          14            0
1.187135                   2             6        8              9          14            0
1.187777                   2             6        8              9          14            0
1.188420                   2             6        8              9          14            0
1.189063                   2             6        8              9          14            0
1.189707                   2             6        8              9          14            0
1.190351                   2             6        8              9          14            0
1.190995                   2             6        8              9          14            0
1.191640                   2             6        8              9          14            0
1.192285                   2             6        8              9          14            0
1.192930                   2             6        8              9          14            0
