Relative performance profile for SolverTime
Filter: gap <= 1.0% and not failed
           SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
1.081510                  2             3        5              0          10            0
1.082000                  2             3        5              0          10            0
1.082490                  2             3        5              0          10            0
1.082980                  2             3        5              0          10            0
1.083471                  2             3        5              0          10            0
1.083962                  2             3        5              0          10            0
1.084453                  2             3        5              0          10            0
1.084944                  2             3        5              0          10            0
1.085436                  2             3        5              0          10            0
1.085928                  2             3        5              0          10            0
1.086419                  2             3        5              0          10            0
1.086912                  2             3        5              0          10            0
1.087404                  2             3        5              0          10            0
1.087897                  2             3        5              0          10            0
1.088390                  2             3        5              0          10            0
1.088883                  2             3        5              0          10            0
1.089376                  2             3        5              0          10            0
1.089870                  2             3        5              0          10            0
1.090363                  2             3        5              0          10            0
1.090857                  2             3        5              0          10            0
1.091351                  2             3        5              0          10            0
1.091846                  2             3        5              0          10            0
1.092341                  2             3        5              0          10            0
1.092835                  2             3        5              0          10            0
1.093330                  2             3        5              0          10            0
1.093826                  2             3        5              0          10            0
1.094321                  2             3        5              0          10            0
1.094817                  2             3        5              0          10            0
1.095313                  2             3        5              0          10            0
1.095809                  2             3        5              0          10            0
1.096306                  2             3        5              0          10            0
1.096802                  2             3        5              0          10            0
1.097299                  2             3        5              0          10            0
1.097796                  2             3        5              0          10            0
1.098294                  2             3        5              0          10            0
1.098791                  2             3        5              0          10            0
1.099289                  2             3        5              0          10            0
1.099787                  2             3        5              0          10            0
1.100285                  2             3        5              0          10            0
1.100784                  2             3        5              0          10            0
1.101283                  2             3        5              0          10            0
1.101782                  2             3        5              0          10            0
1.102281                  2             3        5              0          10            0
1.102780                  2             3        5              0          10            0
1.103280                  2             3        5              0          10            0
1.103780                  2             3        5              0          10            0
1.104280                  2             3        5              0          10            0
1.104780                  2             3        5              0          10            0
1.105280                  2             3        5              0          10            0
1.105781                  2             3        5              0          10            0
1.106282                  2             3        5              0          10            0
1.106783                  2             3        5              0          10            0
1.107285                  2             3        5              0          10            0
1.107786                  2             3        5              0          10            0
1.108288                  2             3        5              0          10            0
1.108790                  2             3        5              0          10            0
1.109293                  2             3        5              0          10            0
1.109795                  2             3        5              0          10            0
1.110298                  2             3        5              0          10            0
1.110801                  2             3        5              0          10            0
1.111304                  2             3        5              0          10            0
1.111808                  2             3        5              0          10            0
1.112311                  2             3        5              0          10            0
1.112815                  2             3        5              0          10            0
1.113319                  2             3        5              0          10            0
1.113824                  2             3        5              0          10            0
1.114328                  2             3        5              0          10            0
1.114833                  2             3        5              0          10            0
1.115338                  2             3        5              0          10            0
1.115844                  2             3        5              0          10            0
1.116349                  2             3        5              0          10            0
1.116855                  2             3        5              0          10            0
1.117361                  2             3        5              0          10            0
1.117867                  2             3        5              0          10            0
1.118373                  2             3        5              0          10            0
1.118880                  2             3        5              0          10            0
1.119387                  2             3        5              0          10            0
1.119894                  2             3        5              0          10            0
1.120402                  2             3        5              0          10            0
1.120909                  2             3        5              0          10            0
1.121417                  2             3        5              0          10            0
1.121925                  2             3        5              0          10            0
1.122433                  2             3        5              0          10            0
1.122942                  2             3        5              0          10            0
