Absolute performance profile for SolverTime
Filter: no fail
            SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
16.253904                  5             0        1              6           9            0
16.344861                  5             0        1              6           9            0
16.435818                  5             0        1              6           9            0
16.526776                  5             0        1              6           9            0
16.617733                  5             0        1              6           9            0
16.708690                  5             0        1              6           9            0
16.799647                  5             0        1              6           9            0
16.890605                  5             1        1              6           9            0
16.981562                  5             1        1              6           9            0
17.072519                  5             1        1              6           9            0
17.163477                  5             1        1              6           9            0
17.254434                  5             1        1              6           9            0
17.345391                  5             1        1              6           9            0
17.436348                  5             1        1              6           9            0
17.527306                  5             1        1              6           9            0
17.618263                  5             1        1              6           9            0
17.709220                  5             1        1              6           9            0
17.800177                  5             1        1              6           9            0
17.891135                  5             1        1              6           9            0
17.982092                  5             1        1              6           9            0
18.073049                  5             1        1              6           9            0
18.164006                  5             1        1              6           9            0
18.254964                  5             1        1              6           9            0
18.345921                  5             1        1              6           9            0
18.436878                  5             1        1              6           9            0
18.527836                  5             1        1              6           9            0
18.618793                  5             1        1              6           9            0
18.709750                  5             1        1              6           9            0
18.800707                  5             1        1              6           9            0
18.891665                  5             1        1              6           9            0
18.982622                  5             1        1              6           9            0
19.073579                  5             1        1              6           9            0
19.164536                  5             1        1              6           9            0
19.255494                  5             1        1              6           9            0
19.346451                  5             1        1              6           9            0
19.437408                  5             1        1              6           9            0
19.528365                  5             1        1              6           9            0
19.619323                  5             1        1              6           9            0
19.710280                  5             1        1              6           9            0
19.801237                  5             1        1              6           9            0
19.892195                  5             1        1              6           9            0
19.983152                  5             1        1              6           9            0
20.074109                  5             1        1              6           9            0
20.165066                  5             1        1              6           9            0
20.256024                  5             1        1              6           9            0
20.346981                  5             1        1              6           9            0
20.437938                  5             1        1              6           9            0
20.528895                  5             1        1              6           9            0
20.619853                  5             1        1              6           9            0
20.710810                  5             1        1              6           9            0
20.801767                  5             1        1              6           9            0
20.892724                  5             1        1              6           9            0
20.983682                  5             1        1              6           9            0
21.074639                  5             1        1              6           9            0
21.165596                  5             1        1              6           9            0
21.256554                  5             1        1              6           9            0
21.347511                  5             1        1              6           9            0
21.438468                  5             1        1              6           9            0
21.529425                  5             1        1              6           9            0
21.620383                  5             1        1              6           9            0
21.711340                  5             1        1              6           9            0
21.802297                  5             1        1              6           9            0
21.893254                  5             1        1              6           9            0
21.984212                  5             1        1              6           9            0
22.075169                  5             1        1              6           9            0
22.166126                  5             1        1              6           9            0
22.257083                  5             1        1              6           9            0
22.348041                  5             1        1              6           9            0
22.438998                  5             1        1              6           9            0
22.529955                  5             1        1              6           9            0
22.620913                  5             1        1              6           9            0
22.711870                  5             1        1              6           9            0
22.802827                  5             1        1              6           9            0
22.893784                  5             1        1              6           9            0
22.984742                  5             1        1              6           9            0
23.075699                  5             1        1              6           9            0
23.166656                  5             1        1              6           9            0
23.257613                  5             1        1              6           9            0
23.348571                  5             1        1              6           9            0
23.439528                  5             1        1              6           9            0
23.530485                  5             1        1              6           9            0
23.621442                  5             1        1              6           9            0
23.712400                  5             1        1              6           9            0
23.803357                  5             1        1              6           9            0
23.894314                  5             1        1              6           9            0
23.985271                  5             1        1              6           9            0
24.076229                  5             1        1              6           9            0
24.167186                  5             1        1              6           9            0
24.258143                  5             1        1              6           9            0
24.349101                  5             1        1              6           9            0
24.440058                  5             1        2              6           9            1
24.531015                  5             1        2              6           9            1
24.621972                  5             1        2              6           9            1
24.712930                  5             1        2              6           9            1
24.803887                  5             1        2              6           9            1
24.894844                  5             1        2              6           9            1
24.985801                  5             1        2              6           9            1
25.076759                  5             1        2              6           9            1
25.167716                  5             1        2              6           9            1
25.258673                  5             1        2              6           9            1
25.349630                  5             1        2              6           9            1
25.440588                  5             1        2              6           9            1
25.531545                  5             1        2              6           9            1
25.622502                  5             1        2              6           9            1
25.713460                  5             1        2              6           9            1
25.804417                  5             1        2              6           9            1
25.895374                  5             1        2              6           9            1
25.986331                  5             1        2              6           9            1
26.077289                  5             1        2              6           9            1
26.168246                  5             1        2              6           9            1
26.259203                  5             1        2              6           9            1
26.350160                  5             1        2              6           9            1
26.441118                  5             1        2              6           9            1
26.532075                  5             1        2              6           9            1
26.623032                  5             1        2              6           9            1
26.713989                  5             1        2              6           9            1
26.804947                  5             1        2              6           9            1
26.895904                  5             1        2              6           9            1
26.986861                  5             1        2              6           9            1
27.077819                  5             1        2              6           9            1
27.168776                  5             1        2              6           9            1
27.259733                  5             1        2              6           9            1
27.350690                  5             1        2              6           9            1
27.441648                  5             1        2              6           9            1
27.532605                  5             1        2              6           9            1
27.623562                  5             1        2              6           9            1
27.714519                  5             1        2              6           9            1
27.805477                  5             1        2              6           9            1
27.896434                  5             1        2              6           9            1
27.987391                  5             1        2              6           9            1
28.078348                  5             1        2              6           9            1
28.169306                  5             1        2              6           9            1
28.260263                  5             1        2              6           9            1
28.351220                  5             1        2              6           9            1
28.442178                  5             1        2              6           9            1
28.533135                  5             1        2              6           9            1
28.624092                  5             1        2              6           9            1
28.715049                  5             1        2              6           9            1
28.806007                  5             1        2              6           9            1
28.896964                  5             1        2              6           9            1
28.987921                  5             1        2              6           9            1
29.078878                  5             1        2              6           9            1
29.169836                  5             1        2              6           9            1
29.260793                  5             1        2              6           9            1
29.351750                  5             1        2              6           9            1
29.442707                  5             1        2              6           9            1
29.533665                  5             1        2              6           9            1
29.624622                  5             1        2              6           9            1
29.715579                  5             1        2              6           9            1
29.806537                  5             1        2              6           9            1
29.897494                  5             1        2              6           9            1
29.988451                  5             1        2              6           9            1
30.079408                  5             1        2              6           9            1
30.170366                  5             1        2              6           9            1
30.261323                  5             1        2              6           9            1
30.352280                  5             1        2              6           9            1
30.443237                  5             1        2              6           9            1
30.534195                  5             1        2              6           9            1
30.625152                  5             1        2              6           9            1
30.716109                  5             1        2              6           9            1
30.807066                  5             1        2              6           9            1
30.898024                  5             1        2              6           9            1
30.988981                  5             1        2              6           9            1
31.079938                  5             1        2              6           9            1
31.170896                  5             1        2              6           9            1
31.261853                  5             1        2              6           9            1
31.352810                  5             1        2              6           9            1
31.443767                  5             1        2              6           9            1
31.534725                  5             1        2              6           9            1
31.625682                  5             1        2              6           9            1
31.716639                  5             1        2              6           9            1
31.807596                  5             1        2              6           9            1
31.898554                  5             1        2              6           9            1
31.989511                  5             1        2              6           9            1
32.080468                  5             1        2              6           9            1
32.171425                  5             1        2              6           9            1
32.262383                  5             1        2              6           9            1
32.353340                  5             1        2              6           9            1
32.444297                  5             1        2              6           9            1
32.535255                  5             1        2              6           9            1
32.626212                  5             1        2              6           9            1
32.717169                  5             1        2              6           9            1
32.808126                  5             1        2              6           9            1
32.899084                  5             1        2              6           9            1
32.990041                  5             1        2              6           9            1
33.080998                  5             1        2              6           9            1
33.171955                  5             1        2              7          10            1
33.262913                  5             1        2              7          10            1
33.353870                  5             1        2              7          10            1
33.444827                  5             1        2              7          10            1
33.535784                  5             1        2              7          10            1
33.626742                  5             1        2              7          10            1
33.717699                  5             1        2              7          10            1
33.808656                  5             1        2              7          10            1
33.899613                  5             1        2              7          10            1
33.990571                  5             1        2              7          10            1
34.081528                  5             1        2              7          10            1
34.172485                  5             1        2              7          10            1
34.263443                  5             1        2              7          10            1
34.354400                  5             1        2              7          10            1
34.445357                  5             1        2              7          10            1
34.536314                  5             1        2              7          10            1
34.627272                  5             1        2              7          10            1
34.718229                  5             1        2              7          10            1
34.809186                  5             1        2              7          10            1
34.900143                  5             1        2              7          10            1
34.991101                  5             1        2              7          10            1
35.082058                  5             1        2              7          10            1
35.173015                  5             1        2              7          10            1
35.263972                  5             1        2              7          10            1
35.354930                  5             1        2              7          10            1
35.445887                  5             1        2              7          10            1
35.536844                  5             1        2              7          10            1
35.627802                  5             1        2              7          10            1
35.718759                  5             1        2              7          10            1
35.809716                  5             1        2              7          10            1
35.900673                  5             1        2              7          10            1
35.991631                  5             1        2              7          10            1
36.082588                  5             1        2              7          10            1
36.173545                  5             1        2              7          10            1
36.264502                  5             1        2              7          10            1
36.355460                  5             1        2              7          10            1
36.446417                  5             1        2              7          10            1
36.537374                  5             1        2              7          10            1
36.628331                  5             1        2              7          10            1
36.719289                  5             1        2              7          10            1
36.810246                  5             1        2              7          10            1
36.901203                  5             1        2              7          10            1
36.992161                  5             1        2              7          10            1
37.083118                  5             1        2              7          10            1
37.174075                  5             1        2              7          10            1
37.265032                  5             1        2              7          10            1
37.355990                  5             1        2              7          10            1
37.446947                  5             1        2              7          10            1
37.537904                  5             1        2              7          10            1
37.628861                  5             1        2              7          10            1
37.719819                  5             1        2              7          10            1
37.810776                  5             1        2              7          10            1
37.901733                  5             1        2              7          10            1
37.992690                  5             1        2              7          10            1
38.083648                  5             1        2              7          10            1
38.174605                  5             1        2              7          10            1
38.265562                  5             1        2              7          10            1
38.356520                  5             1        2              7          10            1
38.447477                  5             1        2              7          10            1
38.538434                  5             1        2              7          10            1
38.629391                  5             1        2              7          10            1
38.720349                  5             1        2              7          10            1
38.811306                  5             1        2              7          10            1
38.902263                  5             1        2              7          10            1
38.993220                  5             1        2              7          10            1
39.084178                  5             1        2              7          10            1
39.175135                  5             1        2              7          10            1
39.266092                  5             1        2              7          10            1
39.357049                  5             1        2              7          10            1
39.448007                  5             1        2              7          10            1
39.538964                  5             1        2              7          10            1
39.629921                  5             1        2              7          10            1
39.720879                  5             1        2              7          10            1
39.811836                  5             1        2              7          10            1
39.902793                  5             1        2              7          10            1
39.993750                  5             1        2              7          10            1
40.084708                  5             1        2              7          10            1
40.175665                  5             1        2              7          10            1
40.266622                  5             1        2              7          10            1
40.357579                  5             1        2              7          10            1
40.448537                  5             1        2              7          10            1
40.539494                  5             1        3              7          11            1
40.630451                  5             1        3              7          11            1
40.721408                  5             1        3              7          11            1
40.812366                  5             1        3              7          11            1
40.903323                  5             1        3              7          11            1
40.994280                  5             1        3              7          11            1
41.085238                  5             1        3              7          11            1
41.176195                  5             1        3              7          11            1
41.267152                  5             1        3              7          11            1
41.358109                  5             1        3              7          11            1
41.449067                  5             1        3              7          11            1
41.540024                  5             1        3              7          11            1
41.630981                  5             1        3              7          11            1
41.721938                  5             1        3              7          11            1
41.812896                  5             1        3              7          11            1
41.903853                  5             1        3              7          11            1
41.994810                  5             1        3              7          11            1
42.085767                  5             1        3              7          11            1
42.176725                  5             1        3              7          11            1
42.267682                  5             1        3              7          11            1
42.358639                  5             1        3              7          11            1
42.449597                  5             1        3              7          11            1
42.540554                  5             1        3              7          11            1
42.631511                  5             1        3              7          11            1
42.722468                  5             1        3              7          11            1
42.813426                  5             1        3              7          11            1
42.904383                  5             1        3              7          11            1
42.995340                  5             1        3              7          11            1
43.086297                  5             1        3              7          11            1
43.177255                  5             1        3              7          11            1
43.268212                  5             1        3              7          11            1
43.359169                  5             1        3              7          11            1
43.450126                  5             1        3              7          11            1
43.541084                  5             1        3              7          11            1
43.632041                  5             1        3              7          11            1
43.722998                  5             1        3              7          11            1
43.813955                  5             1        3              7          11            1
43.904913                  5             1        3              7          11            1
43.995870                  5             1        3              8          11            1
44.086827                  5             1        3              8          11            1
44.177785                  5             1        3              8          11            1
44.268742                  5             1        3              8          11            1
44.359699                  5             1        3              8          11            1
44.450656                  5             1        3              8          11            1
44.541614                  5             1        3              8          11            1
44.632571                  5             1        3              8          11            1
44.723528                  5             1        3              8          11            1
44.814485                  5             1        3              8          11            1
44.905443                  5             1        3              8          11            1
