Absolute performance profile for PrimalGap
Filter: no fail
          SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
0.034603                 3            13       12              7          14            3
0.034803                 3            13       12              7          14            3
0.035004                 3            13       12              7          14            3
0.035204                 3            13       12              7          14            3
0.035404                 3            13       12              7          14            3
0.035604                 3            13       12              7          14            3
0.035804                 3            13       12              7          14            3
0.036004                 3            13       12              7          14            3
0.036204                 3            13       12              7          14            3
0.036404                 3            13       12              7          14            3
0.036604                 3            13       12              7          14            3
0.036804                 3            13       12              7          14            3
0.037004                 3            13       12              7          14            3
0.037204                 3            13       12              7          14            3
0.037404                 3            13       12              7          14            3
0.037604                 3            13       12              7          14            3
0.037804                 3            13       12              7          14            3
0.038004                 3            13       12              7          14            3
0.038204                 3            13       12              7          14            3
0.038404                 3            13       12              7          14            3
0.038604                 3            13       12              7          14            3
0.038804                 3            13       12              7          14            3
0.039004                 3            13       12              7          14            3
0.039204                 3            13       12              7          14            3
0.039404                 3            13       12              7          14            3
0.039604                 3            13       12              7          14            3
0.039804                 3            13       12              7          14            3
0.040004                 3            13       12              7          14            3
0.040204                 3            13       12              7          14            3
0.040404                 3            13       12              7          14            3
0.040604                 3            13       12              7          14            3
0.040804                 3            13       12              7          14            3
0.041004                 3            13       12              7          14            3
0.041204                 3            13       12              7          14            3
0.041404                 3            13       12              7          14            3
0.041604                 3            13       12              7          14            3
0.041804                 3            13       12              7          14            3
0.042004                 3            13       12              7          14            3
0.042204                 3            13       12              7          14            3
0.042404                 3            13       12              7          14            3
0.042604                 3            13       12              7          14            3
0.042804                 3            13       12              7          14            3
0.043004                 3            13       12              7          14            3
0.043204                 3            13       12              7          14            3
0.043404                 3            13       12              7          14            3
0.043604                 3            13       12              7          14            3
0.043804                 3            13       12              7          14            3
0.044004                 3            13       12              7          14            3
0.044204                 3            13       12              7          14            3
0.044404                 3            13       12              7          14            3
0.044604                 3            13       12              7          14            3
0.044804                 3            13       12              7          14            3
