                       Scp2804s  aecp  aoa  baron    dicopt      sbb  virt. best  virt. worst
rsyn0830m03h                  1   230    1      1      8363    45876           1        45876
rsyn0830m04hfsg               1   240    1      1     10270   104341           1       104341
rsyn0830m04h                  1   240    1      1      9334   184511           1       184511
rsyn0840hfsg                  1    69    1      1      1695     2191           1         2191
rsyn0840h                     1    69    1      1      1314     2403           1         2403
rsyn0840m02hfsg               1   195    1      1      4776     7766           1         7766
rsyn0840m02h                  1   196    1      1      6016    10989           1        10989
rsyn0840m03hfsg               1   222    1      1      4818    29687           1        29687
rsyn0840m03h                  1   221    1      1      5154    45373           1        45373
rsyn0840m04h                  1   264    1      1      8579   118663           1       118663
slay04h                       1   234    1      1      2726     7028           1         7028
slay05h                       1   495    1      1     14902    44627           1        44627
slay06m                       1   512    1      1      8273     3281           1         8273
slay08m                       1   577    1      1     79248     5603           1        79248
smallinvDAXr1b010-011         1    57    1      1    310017     1190           1       310017
smallinvDAXr1b020-022         1    55    1      1   1095330      567           1      1095330
smallinvDAXr1b050-055         1    86    1      1    660548     1058           1       660548
smallinvDAXr1b100-110         1    95    1      1   1076172      957           1      1076172
smallinvDAXr1b150-165         1   127    1      1    211920     2773           1       211920
smallinvDAXr1b200-220         1   106    1      1    256648     1379           1       256648
smallinvDAXr2b010-011         1    57    1      1    345028     1180           1       345028
smallinvDAXr2b020-022         1    55    1      1   1473476      564           1      1473476
smallinvDAXr2b050-055         1    86    1      1    746222     1057           1       746222
smallinvDAXr2b100-110         1   100    1      1   1304332      959           1      1304332
smallinvDAXr2b150-165         1   127    1      1    339861     2773           1       339861
smallinvDAXr2b200-220         1   106    1      1    246302     1381           1       246302
smallinvDAXr3b010-011         1    69    1      1    276840     1180           1       276840
smallinvDAXr3b020-022         1    56    1      1    865636      565           1       865636
smallinvDAXr3b050-055         1    85    1      1    451200     1059           1       451200
smallinvDAXr3b100-110         1   100    1      1   1146037      960           1      1146037
smallinvDAXr3b150-165         1   124    1      1    227701     2778           1       227701
smallinvDAXr3b200-220         1   104    1      1    251714     1379           1       251714
smallinvDAXr4b010-011         1    74    1      1    282233     1181           1       282233
smallinvDAXr4b020-022         1    73    1      1    935759      565           1       935759
smallinvDAXr4b050-055         1    94    1      1    565676     1059           1       565676
smallinvDAXr4b100-110         1   100    1      1   1461589      958           1      1461589
smallinvDAXr4b150-165         1   121    1      1    282163     2774           1       282163
smallinvDAXr4b200-220         1   109    1      1    252099     1381           1       252099
smallinvDAXr5b010-011         1    68    1      1    310075     1181           1       310075
smallinvDAXr5b020-022         1    71    1      1   1135752      562           1      1135752
smallinvDAXr5b050-055         1    82    1      1    543779     1062           1       543779
smallinvDAXr5b100-110         1   100    1      1   1144544      960           1      1144544
smallinvDAXr5b150-165         1   125    1      1    313945     2773           1       313945
smallinvDAXr5b200-220         1   107    1      1    212698     1380           1       212698
sssd08-04                     1    45    1      1     43578  3400057           1      3400057
st_e14                        1    47    1      1       163       98           1          163
st_miqp1                      1    10    1      1        35       51           1           51
st_miqp2                      1    15    1      1        69       48           1           69
st_miqp3                      1    10    1      1         4        4           1           10
st_miqp5                      1    40    1      1        11       11           1           40
st_test1                      1    14    1      1       109       65           1          109
st_test5                      1     8    1      1        27      158           1          158
st_test6                      1     9    1      1        26      275           1          275
st_test8                      1    19    1      1        34       17           1           34
st_testgr1                    1    38    1      1      4233      415           1         4233
st_testgr3                    1    24    1      1       116     1074           1         1074
st_testph4                    1     9    1      1        15       34           1           34
