                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
fo7_ar25_1                    1.00=    46.00-  1.00=  1.00=     868814.00-  4944055.00-    4944055.00-
fo7_ar2_1                     1.00=    50.00-  1.00=  1.00=     855646.00-  4993822.00-    4993822.00-
fo7_ar3_1                     1.00=    55.00-  1.00=  1.00=    1331498.00-  4813969.00-    4813969.00-
fo7_ar4_1                     1.00=   113.00-  1.00=  1.00=     535646.00-  4657924.00-    4657924.00-
fo7_ar5_1                     1.00=    16.00-  1.00=  1.00=     516525.00-  4610130.00-    4610130.00-
fo7                           1.00=    62.00-  1.00=  1.00=    2951212.00-  5137474.00-    5137474.00-
fo8_ar25_1                    1.00=    60.00-  1.00=  1.00=    4115486.00-  4108488.00-    4115486.00-
fo8_ar2_1                     1.00=    64.00-  1.00=  1.00=    2399102.00-  4160676.00-    4160676.00-
fo8_ar3_1                     1.00=    71.00-  1.00=  1.00=     973763.00-  3939276.00-    3939276.00-
fo8_ar4_1                     1.00=   115.00-  1.00=  1.00=    1552157.00-  3818391.00-    3818391.00-
fo8_ar5_1                     1.00=    44.00-  1.00=  1.00=    1831003.00-  3712829.00-    3712829.00-
fo8                           1.00=   107.00-  1.00=  1.00=    7313763.00-  4271428.00-    7313763.00-
fo9_ar25_1                    1.00=    60.00-  1.00=  1.00=   51110709.00-  3707916.00-   51110709.00-
fo9_ar2_1                     1.00=    40.00-  1.00=  1.00=   34274897.00-  3620167.00-   34274897.00-
fo9_ar3_1                     1.00=    74.00-  1.00=  1.00=    1376060.00-  3315787.00-    3315787.00-
fo9_ar4_1                     1.00=   100.00-  1.00=  1.00=    3825780.00-  3186701.00-    3825780.00-
fo9_ar5_1                     1.00=   142.00-  1.00=  1.00=   11481643.00-  3121171.00-   11481643.00-
fo9                           1.00=    31.00-  1.00=  1.00=   12041754.00-  3747991.00-   12041754.00-
gams01                        1.00=    18.00-  1.00=  1.00=   45473919.00-  1629652.00-   45473919.00-
gbd                           1.00=     9.00-  1.00=  1.00=          5.00-        5.00-          9.00-
