                            Scp2804s  aecp  aoa  baron  dicopt     sbb  virt. best  virt. worst
rsyn0820m02m                    1074     -    -     43       -  107493        43.0            -
rsyn0820m03hfsg                    1     -    -     21       -    4844         1.0            -
rsyn0820m03h                       1     -    -     25       -    2577         1.0            -
rsyn0820m03m                    1793     -    -     69       -   53065        69.0            -
rsyn0820m04hfsg                   33     -    -      9       -    3080         9.0            -
rsyn0820m04h                       1     -    -     41       -    1659         1.0            -
rsyn0820m04m                    4124     -    -     47       -   31752        47.0            -
rsyn0830m02h                       5     -    -     11       -     525         5.0            -
rsyn0830m02m                     918     -    -     31       -  102338        31.0            -
rsyn0830m03hfsg                   18     -    -     40       -     885        18.0            -
rsyn0830m03h                      43     -    -     25       -     841        25.0            -
rsyn0830m03m                    2253     -    -     47       -   59157        47.0            -
rsyn0830m04hfsg                    1     -    -     14       -    2808         1.0            -
rsyn0830m04h                      25     -    -    143       -    2881        25.0            -
rsyn0830m04m                    5497     -    -     97       -   38245        97.0            -
rsyn0840m02h                       1     -    -     40       -     242         1.0            -
rsyn0840m03hfsg                   17     -    -      1       -     800         1.0            -
rsyn0840m03h                       1     -    -     19       -     548         1.0            -
rsyn0840m03m                     711     -    -     47       -   62459        47.0            -
rsyn0840m04h                      38     -    -     35       -    1887        35.0            -
rsyn0840m04m                    9240     -    -     73       -   39197        73.0            -
slay04h                            1     -    -      5       -     279         1.0            -
slay05h                            1     -    -      1       -    1767         1.0            -
slay06m                            1     -    -      5       -     248         1.0            -
slay08h                            1     -    -      3       -  107192         1.0            -
slay08m                            1     -    -      3       -     395         1.0            -
slay09h                            1     -    -      5       -   72509         1.0            -
slay09m                            1     -    -      5       -   19600         1.0            -
slay10h                            1     -    -   4549       -   50406         1.0            -
slay10m                            1     -    -  25151       -   55894         1.0            -
smallinvDAXr1b020-022              1     -    -     67       -      67         1.0            -
smallinvDAXr1b050-055              1     -    -    191       -     152         1.0            -
smallinvDAXr1b100-110              1     -    -      8       -     140         1.0            -
smallinvDAXr1b200-220              1     -    -     13       -     175         1.0            -
smallinvDAXr2b020-022              1     -    -     67       -      67         1.0            -
smallinvDAXr2b050-055              1     -    -    127       -     152         1.0            -
smallinvDAXr2b100-110              1     -    -      8       -     140         1.0            -
smallinvDAXr2b150-165              1     -    -     10       -     417         1.0            -
smallinvDAXr2b200-220              1     -    -     13       -     175         1.0            -
smallinvDAXr3b020-022              1     -    -     67       -      67         1.0            -
smallinvDAXr3b100-110              1     -    -      8       -     140         1.0            -
smallinvDAXr3b200-220              1     -    -     13       -     175         1.0            -
smallinvDAXr4b020-022              1     -    -     65       -      67         1.0            -
smallinvDAXr4b050-055              1     -    -    173       -     152         1.0            -
smallinvDAXr4b100-110              1     -    -      8       -     140         1.0            -
smallinvDAXr4b150-165              1     -    -     10       -     417         1.0            -
smallinvDAXr4b200-220              1     -    -     13       -     175         1.0            -
smallinvDAXr5b020-022              1     -    -     67       -      67         1.0            -
smallinvDAXr5b050-055              1     -    -    193       -     152         1.0            -
smallinvDAXr5b100-110              1     -    -      8       -     140         1.0            -
smallinvDAXr5b150-165              1     -    -     10       -     417         1.0            -
squfl010-025                       1     -    -    366       -     151         1.0            -
squfl010-040                       1     -    -    359       -     114         1.0            -
squfl010-080                       1     -    -    513       -     405         1.0            -
squfl015-060                       1     -    -   2550       -    1936         1.0            -
squfl015-080                       1     -    -     53       -    3202         1.0            -
squfl020-040                       1     -    -   2504       -     751         1.0            -
squfl020-050                       1     -    -     53       -    3701         1.0            -
squfl025-025                       1     -    -   5216       -    1817         1.0            -
squfl025-030                       1     -    -   6324       -    2461         1.0            -
squfl025-040                       1     -    -    231       -    9654         1.0            -
squfl030-150                       1     -    -    172       -    2337         1.0            -
sssd08-04                       1466     -    -     37       -  203807        37.0            -
stockcycle                       292     -    -     53       -  128834        53.0            -
syn10m04m                          1     -    -      1       -    5751         1.0            -
syn15m04m                          1     -    -      1       -   11880         1.0            -
syn20m02m                          1     -    -      1       -   81666         1.0            -
syn20m04m                          1     -    -      1       -  113125         1.0            -
syn30m03m                         60     -    -      7       -   93202         7.0            -
syn30m04h                          1     -    -      9       -      30         1.0            -
syn30m04m                        318     -    -      3       -   52901         3.0            -
syn30m                             8     -    -      5       -  170477         5.0            -
syn40m03hfsg                      49     -    -     11       -     174        11.0            -
syn40m03h                          8     -    -     17       -     104         8.0            -
syn40m03m                        235     -    -     15       -   65782        15.0            -
syn40m04hfsg                      21     -    -     23       -     290        21.0            -
syn40m04h                          4     -    -     40       -     295         4.0            -
syn40m04m                        312     -    -     21       -   71490        21.0            -
tls12                          56457     -    -     41       -   73434        41.0            -
unitcommit1                        1     -    -  11280       -   42465         1.0            -
unitcommit_200_100_1_mod_8         1     -    -      1       -     401         1.0            -
unitcommit_50_20_2_mod_8           1     -    -      1       -    6633         1.0            -
watercontamination0202r            1     -    -     19       -      34         1.0            -
watercontamination0202             1     -    -     13       -      32         1.0            -
watercontamination0303r            1     -    -    257       -     327         1.0            -
watercontamination0303             1     -    -     58       -     373         1.0            -
