                            Scp2804s  aecp  aoa  baron     dicopt      sbb  virt. best  virt. worst
portfol_roundlot                   1    38    1    1.0    2140678    13693         1.0    2140678.0
procurement2mot                    1   112    1    1.0       3220   351646         1.0     351646.0
rsyn0805m04m                       1    55    1    1.0      33027  1873320         1.0    1873320.0
rsyn0805m                          1    33    1    1.0       1969   258004         1.0     258004.0
rsyn0810m02h                       1   121    1    1.0       6085    17624         1.0      17624.0
rsyn0810m03hfsg                    1   107    1    1.0       3519    31883         1.0      31883.0
rsyn0810m03h                       1   107    1    1.0       4984    39353         1.0      39353.0
rsyn0810m03m                       1   105    1    1.0      59425  2202334         1.0    2202334.0
rsyn0810m04h                       1   135    1    1.0       5635    14314         1.0      14314.0
rsyn0810m04m                       1   102    1    1.0      33830  1589041         1.0    1589041.0
rsyn0810m                          1    23    1    1.0       1111  1188445         1.0    1188445.0
rsyn0815m03hfsg                    1    80    1    1.0       5455    43976         1.0      43976.0
rsyn0815m03h                       1    80    1    1.0       6772    54285         1.0      54285.0
rsyn0815m03m                       1    88    1    1.0      49374  1905788         1.0    1905788.0
rsyn0815m04hfsg                    1   122    1    1.0       6953    36652         1.0      36652.0
rsyn0815m04h                       1   124    1    1.0       9353    40976         1.0      40976.0
rsyn0815m04m                       1    90    1    1.0     230057  1333987         1.0    1333987.0
rsyn0815m                          1    30    1    1.0       1235  1084767         1.0    1084767.0
rsyn0820m02hfsg                    1    82    1    1.0       4658    43901         1.0      43901.0
rsyn0820m02h                       1    82    1    1.0       5562    46105         1.0      46105.0
rsyn0820m02m                       1    86    1    1.0      92063  2291067         1.0    2291067.0
rsyn0820m03hfsg                    1    80    1    1.0       5009   191381         1.0     191381.0
rsyn0820m03h                       1    81    1    1.0       6084   161547         1.0     161547.0
rsyn0820m03m                       1   103    1    1.0     570949  1610447         1.0    1610447.0
rsyn0820m04hfsg                    1    83    1    1.0       9144   147406         1.0     147406.0
rsyn0820m04h                       1    83    1    1.0      13818   143580         1.0     143580.0
rsyn0820m04m                       1    85    1    1.0     787014  1146659         1.0    1146659.0
rsyn0830m02h                       1   175    1    1.0       6650    23534         1.0      23534.0
rsyn0830m02m                       1   156    1    1.0      18402  2224113         1.0    2224113.0
rsyn0830m03hfsg                    1   228    1    1.0      10217    28054         1.0      28054.0
rsyn0830m03h                       1   230    1    1.0       8363    45876         1.0      45876.0
rsyn0830m03m                       1   164    1    1.0     102592  1400078         1.0    1400078.0
rsyn0830m04hfsg                    1   240    1    1.0      10270   104341         1.0     104341.0
rsyn0830m04h                       1   240    1    1.0       9334   184511         1.0     184511.0
rsyn0830m04m                       1   233    1    1.0    2806564   983786         1.0    2806564.0
rsyn0840m02h                       1   196    1    1.0       6016    10989         1.0      10989.0
rsyn0840m03hfsg                    1   222    1    1.0       4818    29687         1.0      29687.0
rsyn0840m03h                       1   221    1    1.0       5154    45373         1.0      45373.0
rsyn0840m03m                       1   199    1    1.0      31486  1169178         1.0    1169178.0
rsyn0840m04h                       1   264    1    1.0       8579   118663         1.0     118663.0
rsyn0840m04m                       1   228    1    1.0     570718   807698         1.0     807698.0
slay04h                            1   234    1    1.0       2726     7028         1.0       7028.0
slay05h                            1   495    1    1.0      14902    44627         1.0      44627.0
slay06m                            1   512    1    1.0       8273     3281         1.0       8273.0
slay08h                            1   594    1    1.0     873672  4253161         1.0    4253161.0
slay08m                            1   577    1    1.0      79248     5603         1.0      79248.0
slay09h                            1   317    1    1.0    2704018  3570644         1.0    3570644.0
slay09m                            1  1072    1    1.0     539931   315853         1.0     539931.0
slay10h                            1   264    1    1.0   49863461  3054424         1.0   49863461.0
slay10m                            1   228    1    1.0   16107136   958328         1.0   16107136.0
smallinvDAXr1b020-022              1    55    1    1.0    1095330      567         1.0    1095330.0
smallinvDAXr1b050-055              1    86    1    1.0     660548     1058         1.0     660548.0
smallinvDAXr1b100-110              1    95    1    1.0    1076172      957         1.0    1076172.0
smallinvDAXr1b200-220              1   106    1    1.0     256648     1379         1.0     256648.0
smallinvDAXr2b020-022              1    55    1    1.0    1473476      564         1.0    1473476.0
smallinvDAXr2b050-055              1    86    1    1.0     746222     1057         1.0     746222.0
smallinvDAXr2b100-110              1   100    1    1.0    1304332      959         1.0    1304332.0
smallinvDAXr2b150-165              1   127    1    1.0     339861     2773         1.0     339861.0
smallinvDAXr2b200-220              1   106    1    1.0     246302     1381         1.0     246302.0
smallinvDAXr3b020-022              1    56    1    1.0     865636      565         1.0     865636.0
smallinvDAXr3b100-110              1   100    1    1.0    1146037      960         1.0    1146037.0
smallinvDAXr3b200-220              1   104    1    1.0     251714     1379         1.0     251714.0
smallinvDAXr4b020-022              1    73    1    1.0     935759      565         1.0     935759.0
smallinvDAXr4b050-055              1    94    1    1.0     565676     1059         1.0     565676.0
smallinvDAXr4b100-110              1   100    1    1.0    1461589      958         1.0    1461589.0
smallinvDAXr4b150-165              1   121    1    1.0     282163     2774         1.0     282163.0
smallinvDAXr4b200-220              1   109    1    1.0     252099     1381         1.0     252099.0
smallinvDAXr5b020-022              1    71    1    1.0    1135752      562         1.0    1135752.0
smallinvDAXr5b050-055              1    82    1    1.0     543779     1062         1.0     543779.0
smallinvDAXr5b100-110              1   100    1    1.0    1144544      960         1.0    1144544.0
smallinvDAXr5b150-165              1   125    1    1.0     313945     2773         1.0     313945.0
squfl010-025                       1  1823    1    1.0     456688     2910         1.0     456688.0
squfl010-040                       1  1141    1    1.0    1274981     2253         1.0    1274981.0
squfl010-080                       1   956    1    1.0   16446246     9544         1.0   16446246.0
squfl015-060                       1   640    1    1.0   20755494    42290         1.0   20755494.0
squfl015-080                       1   552    1    1.0   23235646    71762         1.0   23235646.0
squfl020-040                       1   735    1    1.0   18990472    16781         1.0   18990472.0
squfl020-050                       1   738    1    1.0   19541934    76115         1.0   19541934.0
squfl025-025                       1  1121    1    1.0   23393291    37016         1.0   23393291.0
squfl025-030                       1   676    1    1.0   15837186    51076         1.0   15837186.0
squfl025-040                       1  1090    1    1.0   21859429   198196         1.0   21859429.0
squfl030-150                       1   442    1    1.0    8820298    73811         1.0    8820298.0
sssd08-04                          1    45    1    1.0      43578  3400057         1.0    3400057.0
stockcycle                         1   163    1    1.0    1776737  3168592         1.0    3168592.0
syn10m04m                          1   126    1    1.0       1428    94138         1.0      94138.0
syn15m04m                          1   111    1    1.0       1085   164886         1.0     164886.0
syn20m02m                          1    74    1    1.0       1469   919940         1.0     919940.0
syn20m04m                          1   113    1    1.0       3761  2443215         1.0    2443215.0
syn30m03m                          1   167    1    1.0       2545  2305075         1.0    2305075.0
syn30m04h                          1   214    1    1.0       2486     3362         1.0       3362.0
syn30m04m                          1   212    1    1.0       3891  1696714         1.0    1696714.0
syn30m                             1   108    1    1.0        957  1739803         1.0    1739803.0
syn40m03hfsg                       1   278    1    1.0       4114     6767         1.0       6767.0
syn40m03h                          1   277    1    1.0       3967     9378         1.0       9378.0
syn40m03m                          1   248    1    1.0      12128  1767895         1.0    1767895.0
syn40m04hfsg                       1   195    1    1.0       3338    16273         1.0      16273.0
syn40m04h                          1   195    1    1.0       4190    33386         1.0      33386.0
syn40m04m                          1   196    1    1.0       5430  1269237         1.0    1269237.0
tls12                              1   208    1      -   35905947  2419791         1.0            -
unitcommit1                        1   912    1    1.0       1994   787449         1.0     787449.0
unitcommit_200_100_1_mod_8         1    90    1    1.0      26323    19983         1.0      26323.0
unitcommit_50_20_2_mod_8           1   256    1    1.0    2615992   314651         1.0    2615992.0
watercontamination0202r            1  1533    1    1.0       1266      816         1.0       1533.0
watercontamination0202             1   193    1    1.0       2702     2007         1.0       2702.0
watercontamination0303r            1  1129    1    1.0      22510     9743         1.0      22510.0
watercontamination0303             1   222    1    1.0      84434    19739         1.0      84434.0
