                         SHOT_cpx_m.1  SHOT_cpx_m_ecp.1  SHOT_cpx_m_ecp_nonlp.1  SHOT_cpx_m_opt_nosp.1  SHOT_cpx_m_opt_sp.1  SHOT_cpx_m_t1.1  SHOT_cpx_s.1  SHOT_cpx_s_ecp.1  SHOT_cpx_s_nomiqp.1  SHOT_cpx_s_t1.1  SHOT_grb_m.1  SHOT_grb_m_t1.1  SHOT_grb_s.1  SHOT_grb_s_nomiqp.1  SHOT_grb_s_t1.1  virt. best  virt. worst
ex4                                 1                 1                       1                      1                    1               55             1                36                  173                1            23               26             1                  195               20           1          195
fac1                                1                 1                       1                      1                    1                5             1                 1                    1                1             1                1             1                    1                1           1            5
fac2                                1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
fac3                               25                25                      25                     25                   25               25             1                 1                   13                1             4                5             1                    1                1           1           25
flay02h                             1                 1                       1                      1                    1               21             1                 1                    1                1            34               34            12                   12                2           1           34
flay02m                             1                 1                       1                      1                    1               14             1                 2                    1                1            15               15             7                    7                2           1           15
flay03h                             1                 1                       1                      1                    1              262            56                52                   56               94           569              372           164                  164               65           1          569
flay03m                             1                 1                       1                     83                  271              467            59                63                   59               74           203              284            94                   94               44           1          467
flay04h                         10657              9176                   22851                  44150                27942             4312          1782              1895                  777              879          5425             4397          1881                 1881              501         501        44150
flay04m                          2044             15150                    3492                  36452                27769             8564          1514              1861                 1514             1208          2311             8526          1892                 1892              789         789        36452
flay05h                        240011             96930                  102474                2639322              1345999           117560         64977             70841                64977            59596        177663           144358         54630                54630            61065       54630      2639322
flay05m                        251672            232622                   76183                2174940              1239521            76118         43992             55190                54413            42369         89262            82975         54722                54722            37781       37781      2174940
flay06m                       4622251           4340830                 3296449               24274349             22497990          2372593       2453660           1194133              2453660          1568620       6199246          2529344       2038468              2038468          1051126     1051126     24274349
fo7_2                           15924             23241                   36833                 102791               102553            16008         25835              6406                44436             9543         53422            24436         19803                19803            14899        6406       102791
fo7_ar25_1                      49296             64721                  179565                  96624                86064            57463         39879             32989                94550            34997         95464            59208         21994                21994            25243       21994       179565
fo7_ar2_1                       35954             84479                  172757                  73971                52251            43766         34897             47240                56507            23005         27784            34890         17042                17042             8309        8309       172757
fo7_ar3_1                       93088            191198                  386572                 131176                93020            72538         61207             93758                56152            40598         82952            98755         22199                22199            11932       11932       386572
fo7_ar4_1                      130481            145249                  144335                 132197                87395            49040         49355             84053                59855            34374         51733            71702          3352                 3352            24437        3352       145249
fo7_ar5_1                       18063             40271                   58761                  65209                47288            20193          9010              3523                 2886             4430         27462            12124         15418                15418             4685        2886        65209
fo7                            106260            164102                  363174                 280761               300794           121783        135431            144351                88542            62746        105442            85196         40807                40807            28293       28293       363174
fo8_ar25_1                     161606            528047                 1013916                 300589               277898           182671        291664            337097               463601           187569        403354            94104         78014                78014           188313       78014      1013916
fo8_ar2_1                      203128            251018                  766247                 275850               277915           187911         80066             79850               231906           119954        244121           268188        137942               137942           105115       79850       766247
fo8_ar3_1                       84789             49862                  181600                  56226                46104            97093        243238            108730               151265           219780         78984            54340         54071                54071            78790       46104       243238
fo8_ar4_1                       96009            101707                  348856                 109715               112338           103444        116743             54274                83789            48362        112649            80803         39451                39451           114597       39451       348856
fo8_ar5_1                      182570            280782                  866950                 194564               169281           150318        134026            255939               127540           134610        235565           345468        105029               105029            84673       84673       866950
fo8                            115789            344852                  603088                 428930               349008           414578        119574            290896               150128           135350        660370           295592         22871                22871            83005       22871       660370
fo9_ar25_1                    1969635           1952813                 9478673                6005601              2401020          1390354       3770698           5525994              3610385          1500186       1201096          1908481       2076954              2076954           862585      862585      9478673
fo9_ar2_1                      544660           1095439                 2186061                 886622              1002720           912205       1315937           1286624              2485893          1573315        414650           680856        127959               127959           428771      127959      2485893
fo9_ar3_1                      103224            317874                  754876                  59424                39616           171148        975075           1555692               747484           464410         90162           123020        104408               104408           104432       39616      1555692
fo9_ar4_1                      338514            279724                  669020                 192858               133995           336767       1299705            571446               371486          1782900        228593           218960        206871               206871           471743      133995      1782900
fo9_ar5_1                      397751            866353                 3222683                 400797               326961           165085        979017           2115793               657084           273795        222314           390785        509568               509568           481432      165085      3222683
fo9                            209595            533302                 6494721                5074842              2141074          1408407       1232734           1054764              1283598          1234591        246664           497894        431051               431051           374339      209595      6494721
gams01                        1488913           1428546                  805696                1337043              1327808           390243       1252900           1471710              1002608           460100        595659           298498        509667               438535            71870       71870      1488913
gbd                                 1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
hybriddynamic_fixed                 1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
jit1                                1                 1                       1                      1                    1                3             1                 1                    1                1             9               12             1                    1                1           1           12
m3                                  1                 1                       1                      1                    1               28            38                30                   38               38            29               27            33                   33               14           1           38
m6                                517               457                     502                    380                  380              314           339               694                  462              237          3883             2589          1131                 1131              334         237         3883
m7_ar25_1                         978               951                    1849                   2869                 2695              948          1618              1499                 1678              680          3422              926            59                   59              597          59         3422
m7_ar2_1                        22587              9559                   45210                  20281                16343            11914          5603              2665                 5570              473          7419            10967          3024                 3024             2094         473        45210
