                        SHOT_cpx_m.1 SHOT_cpx_m_ecp.1 SHOT_cpx_m_ecp_nonlp.1 SHOT_cpx_m_opt_nosp.1 SHOT_cpx_m_opt_sp.1 SHOT_cpx_m_t1.1 SHOT_cpx_s.1 SHOT_cpx_s_ecp.1 SHOT_cpx_s_nomiqp.1 SHOT_cpx_s_t1.1 SHOT_grb_m.1 SHOT_grb_m_t1.1 SHOT_grb_s.1 SHOT_grb_s_nomiqp.1 SHOT_grb_s_t1.1 virt. worst
cvxnonsep_normcon40            1.00=            1.01=                  1.01=                 1.00=               1.00=           1.00=        1.00=            1.02=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.02=
cvxnonsep_nsig30               1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
cvxnonsep_nsig40               1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            0.99=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       0.99=
cvxnonsep_pcon30               1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
cvxnonsep_psig20               1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
cvxnonsep_psig30               1.00=            1.00=                  1.00=                 0.99=               1.00=           1.00=        0.98=            1.00=               0.99=           0.99=        1.00=           1.00=        0.99=               0.99=           0.99=       0.98=
cvxnonsep_psig40               1.00=            1.00=                  1.00=                 0.94=               0.99=           1.00=        0.92=            0.95=               0.89-           0.97=        0.95=           0.95=        0.94=               0.94=           0.96=       0.89-
fac1                           1.00=          -62.15-                -62.15-                 1.00=               1.00=           1.00=        1.00=          -62.15-               1.00=           1.00=      -62.15-           0.24-        0.24-               0.24-           0.24-     -62.15-
fac2                           1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
flay05h                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
flay05m                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
