                       SHOT_cpx_m.1  SHOT_cpx_m_ecp.1  SHOT_cpx_m_ecp_nonlp.1  SHOT_cpx_m_opt_nosp.1  SHOT_cpx_m_opt_sp.1  SHOT_cpx_m_t1.1  SHOT_cpx_s.1  SHOT_cpx_s_ecp.1  SHOT_cpx_s_nomiqp.1  SHOT_cpx_s_t1.1  SHOT_grb_m.1  SHOT_grb_m_t1.1  SHOT_grb_s.1  SHOT_grb_s_nomiqp.1  SHOT_grb_s_t1.1  virt. best  virt. worst
cvxnonsep_psig20                539              1916                     418                  16325                 2638             4059          6438              6711                 5689             6923          3601             6204        120028               120028             7149         418       120028
cvxnonsep_psig30r                 1                 1                       1                      1                    1                1           179               190                  179               20             9                9             1                    1                1           1          190
du-opt5                          53                53                      53                     53                   53               59             1                 1                  119                1             7                2             1                 4573                1           1         4573
du-opt                           64                64                      64                     64                   64               36             1                 1                  824                1            11                6             1                12464                1           1        12464
enpro48pb                         1                 1                       1                    222                  236              176           105               166                  160              130           330              348           175                  175               77           1          348
enpro56pb                         1                 1                       1                      1                    1             2688             1               296                    1                1         13129             6302          1179                 1179              247           1        13129
ex1223a                           1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
ex1223b                           1                 1                       1                      1                    1                4             1                 1                    1                1             2                2             1                    1                1           1            4
ex1223                            1                 1                       1                      1                    1                5             2                 1                    2                3             9                8             1                    1                1           1            9
ex4                               1                 1                       1                      1                    1               55             1                36                  173                1            23               26             1                  195               20           1          195
fac3                             25                25                      25                     25                   25               25             1                 1                   13                1             4                5             1                    1                1           1           25
flay02h                           1                 1                       1                      1                    1               21             1                 1                    1                1            34               34            12                   12                2           1           34
flay02m                           1                 1                       1                      1                    1               14             1                 2                    1                1            15               15             7                    7                2           1           15
flay03h                           1                 1                       1                      1                    1              262            56                52                   56               94           569              372           164                  164               65           1          569
flay03m                           1                 1                       1                     83                  271              467            59                63                   59               74           203              284            94                   94               44           1          467
flay04h                       10657              9176                   22851                  44150                27942             4312          1782              1895                  777              879          5425             4397          1881                 1881              501         501        44150
