                          count     mean         std          min  \
Direction                   103        1           0            1   
NumberOfDiscreteVariables   103  33.0777     146.305            2   
NumberOfEquations           103      243      745.83            1   
NumberOfNonZeros            103  1039.86     3067.55            5   
NumberOfNonlinearNonZeros   103  258.786     749.965            1   
NumberOfVariables           103  265.408     755.841            3   
KnownPrimalBound            102      inf         NaN       -29605   
KnownDualBound              103      inf         NaN       -29605   
JulianDate                 1843  38553.1     13605.3            0   
TerminationStatus          2049   0.2694     1.00858            0   
PrimalBound                2042      inf         NaN       -29605   
DualBound                  2041      NaN         NaN         -inf   
SolverTime                 2040  151.213     318.449            0   
NumberOfIterations         1821   720145  4.6006e+06            0   
NumberOfDomainViolations   1726  6.09212     180.975            0   
NumberOfNodes              1422  37325.6      213134            0   
Fail                       2060      NaN         NaN          NaN   
FailReason                 2060      NaN         NaN          NaN   
Gap                        2048      inf         NaN -2.91787e-07   
PrimalGap                  2020      inf         NaN -7.80954e-06   
DualGap                    2020      inf         NaN     -24.8761   

                                   25%          50%          75%          max  
Direction                            1            1            1            1  
NumberOfDiscreteVariables           10           20           30         1500  
NumberOfEquations                    3            4         22.5         4651  
NumberOfNonZeros                    44          121          121        18031  
NumberOfNonlinearNonZeros           20           30           39         4500  
NumberOfVariables                   21           31           42         4531  
KnownPrimalBound             0.0996994      39.1621      156.604          inf  
KnownDualBound                0.199399      39.1621      156.604          inf  
JulianDate                     43358.7      43362.3      43382.1        43405  
TerminationStatus                    0            0            0            8  
PrimalBound                          0      39.1735      197.334          inf  
DualBound                        -9.25      9.79617      133.993          inf  
SolverTime                      0.1015     0.801469       20.505      945.967  
NumberOfIterations                   0            4         1062  1.10029e+08  
NumberOfDomainViolations             0            0            0         7255  
NumberOfNodes                        0           24          701  4.19133e+06  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  0.000174754  0.000992253          inf  
PrimalGap                 -4.13274e-11            0  0.000231756          inf  
DualGap                              0  9.38038e-05   0.00097702          inf  
