                      dicopt muriqui       shot    baron aoa      knitro alphaecp  knitrobb      scip       bbb       sbb mtaurbnb juniper      lindo         boa mtaurqg pavito   antigone     couenne        bhyb virt. worst
ball_mk2_10                -       -   1511.00-    1.00=   -    3070.00-        -  2047.00-     1.00=  2046.00-  2046.00-    1.00=       -   2045.00-       1.00=   1.00=      -      1.00=       1.00=       1.00=           -
cvxnonsep_normcon20r       -       -      1.00=   26.00-   -     196.00-        -    25.00-     1.00=    14.00-    22.00-    1.00=       -     32.00-       1.00=   1.00=      -      1.00=       3.00-      57.00-           -
cvxnonsep_normcon20        -       -    849.00-   26.00-   -    5384.00-        -    25.00-   341.00-    14.00-    22.00-    1.00=       -    109.00-       1.00=   1.00=      -      1.00=       4.00-   88501.00-           -
cvxnonsep_normcon30r       -       -      1.00=  138.00-   -     261.00-        -   101.00-    45.00-   101.00-    56.00-    1.00=       -     97.00-       1.00=   1.00=      -      1.00=     122.00-     370.00-           -
cvxnonsep_normcon30        -       -  19035.00-  128.00-   -  104531.00-        -   101.00-  6546.00-   101.00-    56.00-    1.00=       -     98.00-  325455.00-   1.00=      -      1.00=     118.00-  444729.00-           -
cvxnonsep_normcon40r       -       -     23.00-  362.00-   -     641.00-        -   347.00-     1.00=   401.00-   184.00-    1.00=       -    252.00-       1.00=   1.00=      -      1.00=     221.00-     215.00-           -
cvxnonsep_nsig20r          -       -      7.00-    5.00-   -      92.00-        -     7.00-    27.00-    18.00-    20.00-    1.00=       -     80.00-       1.00=   1.00=      -      5.00-     114.00-     487.00-           -
cvxnonsep_nsig30r          -       -     27.00-    9.00-   -     747.00-        -     3.00-    37.00-   101.00-    28.00-    1.00=       -    249.00-       1.00=   1.00=      -      3.00-      96.00-  242184.00-           -
cvxnonsep_nsig40r          -       -     36.00-   25.00-   -     175.00-        -    19.00-    44.00-    70.00-    67.00-    1.00=       -    310.00-       1.00=   1.00=      -      1.00=       2.00-  208245.00-           -
cvxnonsep_nsig40           -       -  16170.00-    9.00-   -  122803.00-        -    19.00-   387.00-    70.00-    67.00-    1.00=       -    324.00-       1.00=   1.00=      -  45282.00-  449624.00-  255663.00-           -
cvxnonsep_pcon30r          -       -      1.00=   99.00-   -     250.00-        -   102.00-   101.00-    58.00-    86.00-    1.00=       -    113.00-       1.00=   1.00=      -      1.00=     201.00-     301.00-           -
smallinvDAXr1b010-011      -       -   1157.00-   50.00-   -    4917.00-        -   119.00-    79.00-   178.00-   156.00-    1.00=       -  58501.00-       1.00=   1.00=      -      5.00-    5612.00-    7701.00-           -
smallinvDAXr1b020-022      -       -   2015.00-   57.00-   -    4394.00-        -    67.00-    57.00-    59.00-    67.00-    1.00=       -  61377.00-       1.00=   1.00=      -      8.00-   24280.00-   54701.00-           -
smallinvDAXr1b050-055      -       -    955.00-  135.00-   -    4669.00-        -   161.00-    81.00-   288.00-   152.00-    1.00=       -  60245.00-       1.00=   1.00=      -      7.00-  103051.00-  420201.00-           -
smallinvDAXr1b100-110      -       -    726.00-  212.00-   -    6934.00-        -   137.00-     1.00=   274.00-   140.00-    1.00=       -  60959.00-       1.00=   1.00=      -     12.00-  187739.00-  722859.00-           -
smallinvDAXr1b150-165      -       -    275.00-   62.00-   -    5940.00-        -   327.00-     1.00=   210.00-   417.00-    1.00=       -  60450.00-       1.00=   1.00=      -      5.00-  181275.00-  425827.00-           -
smallinvDAXr1b200-220      -       -      4.00-   41.00-   -    3376.00-        -   141.00-     1.00=   273.00-   175.00-    1.00=       -  62321.00-       1.00=   1.00=      -     10.00-  152790.00-  395317.00-           -
smallinvDAXr2b010-011      -       -   1209.00-   52.00-   -    5908.00-        -   119.00-    79.00-   178.00-   156.00-    1.00=       -  59247.00-       1.00=   1.00=      -     12.00-    5598.00-   12601.00-           -
smallinvDAXr2b100-110      -       -    509.00-  284.00-   -    5496.00-        -   137.00-     1.00=   274.00-   140.00-    1.00=       -  61159.00-       1.00=   1.00=      -      4.00-  190616.00-  118884.00-           -
smallinvDAXr2b150-165      -       -    262.00-   27.00-   -    4906.00-        -   327.00-     1.00=   507.00-   417.00-    1.00=       -  59855.00-       1.00=   1.00=      -      8.00-  189469.00-  545577.00-           -
smallinvDAXr2b200-220      -       -      3.00-   54.00-   -    3357.00-        -   141.00-     1.00=   273.00-   175.00-    1.00=       -  61199.00-       1.00=   1.00=      -      4.00-  160085.00-   91673.00-           -
smallinvDAXr3b010-011      -       -   1056.00-   52.00-   -    3969.00-        -   119.00-    81.00-   176.00-   156.00-    1.00=       -  61146.00-       1.00=   1.00=      -      4.00-    5300.00-    6599.00-           -
smallinvDAXr3b020-022      -       -    898.00-   83.00-   -    3594.00-        -    67.00-    57.00-    57.00-    67.00-    1.00=       -  60514.00-       1.00=   1.00=      -      5.00-   23798.00-   70701.00-           -
smallinvDAXr3b050-055      -       -   1712.00-  140.00-   -    7403.00-        -   161.00-   174.00-   288.00-   152.00-    1.00=       -  60307.00-       1.00=   1.00=      -     22.00-  102819.00-  599550.00-           -
