                      dicopt muriqui       shot    baron aoa      knitro alphaecp  knitrobb      scip       bbb       sbb mtaurbnb juniper      lindo         boa mtaurqg pavito   antigone     couenne        bhyb virt. worst
ball_mk2_10                -       -   1511.00-    1.00=   -    3070.00-        -  2047.00-     1.00=  2046.00-  2046.00-    1.00=       -   2045.00-       1.00=   1.00=      -      1.00=       1.00=       1.00=           -
smallinvDAXr3b100-110      -       -    294.00-  250.00-   -    4792.00-        -   137.00-     1.00=   274.00-   140.00-    1.00=       -  60842.00-       1.00=   1.00=      -      8.00-  190891.00-   75989.00-           -
smallinvDAXr3b150-165      -       -    134.00-   24.00-   -    2434.00-        -   327.00-     1.00=   507.00-   417.00-    1.00=       -  59813.00-       1.00=   1.00=      -      5.00-  187549.00-    8456.00-           -
smallinvDAXr3b200-220      -       -     52.00-   41.00-   -    4587.00-        -   141.00-     1.00=   273.00-   175.00-    1.00=       -  59693.00-       1.00=   1.00=      -      6.00-  156207.00-  615213.00-           -
smallinvDAXr4b010-011      -       -   1241.00-   52.00-   -    4293.00-        -   119.00-    89.00-   178.00-   156.00-    1.00=       -  43128.00-       1.00=   1.00=      -      1.00=    6544.00-    6101.00-           -
smallinvDAXr4b100-110      -       -    447.00-  192.00-   -    4396.00-        -   137.00-     1.00=   274.00-   140.00-    1.00=       -  61088.00-       1.00=   1.00=      -      9.00-  193651.00-  191499.00-           -
smallinvDAXr4b150-165      -       -     62.00-   56.00-   -    3575.00-        -   327.00-     1.00=   507.00-   417.00-    1.00=       -  60160.00-       1.00=   1.00=      -      5.00-  186495.00-  372109.00-           -
smallinvDAXr4b200-220      -       -     41.00-   41.00-   -    3848.00-        -   141.00-     1.00=   273.00-   175.00-    1.00=       -  61055.00-       1.00=   1.00=      -      6.00-  155366.00-   98860.00-           -
smallinvDAXr5b010-011      -       -   1171.00-   52.00-   -    4435.00-        -   119.00-    92.00-   180.00-   156.00-    1.00=       -  61899.00-       1.00=   1.00=      -     11.00-    5548.00-    9601.00-           -
smallinvDAXr5b020-022      -       -    970.00-   83.00-   -    3844.00-        -    67.00-   111.00-    57.00-    67.00-    1.00=       -  59695.00-       1.00=   1.00=      -     12.00-   23668.00-   45201.00-           -
smallinvDAXr5b050-055      -       -   1092.00-  117.00-   -    3847.00-        -   161.00-    82.00-   288.00-   152.00-    1.00=       -  59489.00-       1.00=   1.00=      -      6.00-  100901.00-  429901.00-           -
smallinvDAXr5b100-110      -       -    736.00-   29.00-   -    5939.00-        -   137.00-     1.00=   274.00-   140.00-    1.00=       -  60500.00-       1.00=   1.00=      -      7.00-  195711.00-  719857.00-           -
smallinvDAXr5b150-165      -       -     54.00-   27.00-   -    5614.00-        -   327.00-     1.00=   505.00-   417.00-    1.00=       -  60274.00-       1.00=   1.00=      -      8.00-  199055.00-   88836.00-           -
smallinvDAXr5b200-220      -       -     21.00-   44.00-   -    6216.00-        -   141.00-     1.00=   330.00-   175.00-    1.00=       -  61512.00-       1.00=   1.00=      -     12.00-  154676.00-  536997.00-           -
squfl010-025               -       -      1.00=   43.00-   -    1234.00-        -   185.00-   118.00-    94.00-   151.00-    1.00=       -    480.00-       1.00=   1.00=      -     61.00-     274.00-       1.00=           -
st_test1                   -       -      1.00=    1.00=   -      24.00-        -    15.00-     1.00=    14.00-    14.00-    1.00=       -      1.00=       1.00=   1.00=      -      1.00=       1.00=       1.00=           -
