                          count         mean         std          min  \
Direction                   151     0.417219    0.911831           -1   
NumberOfDiscreteVariables   151      97.5033     115.262            3   
NumberOfEquations           151      2017.08       12314            2   
NumberOfNonZeros            151      4842.38     24349.3            7   
NumberOfNonlinearNonZeros   151      224.695     747.722            2   
NumberOfVariables           151      1774.09     12242.7            4   
KnownPrimalBound            150          inf         NaN         -110   
KnownDualBound              151          inf         NaN         -110   
JulianDate                 2430      37936.6       14159            0   
TerminationStatus          2580     0.547287     1.32989            0   
PrimalBound                2574          NaN         NaN         -inf   
DualBound                  2557          NaN         NaN         -inf   
SolverTime                 2568      306.641      400.54            0   
NumberOfIterations         2258  3.73832e+06  2.6008e+07            0   
NumberOfDomainViolations   2115            0           0            0   
NumberOfNodes              1820      69719.2      410829            0   
Fail                       2718          NaN         NaN          NaN   
FailReason                 2718          NaN         NaN          NaN   
Gap                        2579          inf         NaN -1.88289e-08   
PrimalGap                  2646          inf         NaN     -3.26623   
DualGap                    2646          inf         NaN -2.69696e+17   

                                   25%          50%        75%          max  
Direction                           -1            1          1            1  
NumberOfDiscreteVariables           30           50        120          668  
NumberOfEquations                   99          270        735       108218  
NumberOfNonZeros                 498.5         1061       2101       213766  
NumberOfNonlinearNonZeros           14           20         62         4521  
NumberOfVariables                  113          162        416       107223  
KnownPrimalBound               75.3407       391.96    3396.81          inf  
KnownDualBound                 67.8615      388.772    3382.77          inf  
JulianDate                     43203.7      43208.5    43224.9      43254.5  
TerminationStatus                    0            0          1            8  
PrimalBound                    97.9044      754.961    26669.1          inf  
DualBound                      24.8398      214.111    3411.01          inf  
SolverTime                     1.50418      29.7085    900.003      1515.09  
NumberOfIterations                   0            7     116260   6.1773e+08  
NumberOfDomainViolations             0            0          0            0  
NumberOfNodes                        0          120    15981.5  1.23197e+07  
Fail                               NaN          NaN        NaN          NaN  
FailReason                         NaN          NaN        NaN          NaN  
Gap                                  0  1.19041e-05   0.547404          inf  
PrimalGap                 -1.11191e-10  1.67168e-11  0.0728792          inf  
DualGap                    3.71328e-11  8.06701e-05   0.338554          inf  
