                          count         mean          std          min  \
Direction                   120            1            0            1   
NumberOfDiscreteVariables   120      60.1667      105.181            2   
NumberOfEquations           120      110.667        516.4            1   
NumberOfNonZeros            120      636.083      2577.35            5   
NumberOfNonlinearNonZeros   120      32.8417      46.4988            1   
NumberOfVariables           120      78.9167        134.9            3   
KnownPrimalBound            119          inf          NaN       -29605   
KnownDualBound              120          inf          NaN       -29605   
JulianDate                 2131      38550.6      13607.8            0   
TerminationStatus          2371     0.232391     0.841175            0   
PrimalBound                2364          NaN          NaN         -inf   
DualBound                  2358          NaN          NaN         -inf   
SolverTime                 2362      159.373      326.034            0   
NumberOfIterations         2109  2.33392e+06  2.64767e+07            0   
NumberOfDomainViolations   1997            0            0            0   
NumberOfNodes              1642      59886.5       243343            0   
Fail                       2400          NaN          NaN          NaN   
FailReason                 2400          NaN          NaN          NaN   
Gap                        2369          inf          NaN -2.52102e-07   
PrimalGap                  2300          inf          NaN    -0.419312   
DualGap                    2300          inf          NaN     -24.8761   

                                25%          50%          75%          max  
Direction                         1            1            1            1  
NumberOfDiscreteVariables        13           30        56.25          720  
NumberOfEquations                 4            5           67         5330  
NumberOfNonZeros              45.75          121          331        24395  
NumberOfNonlinearNonZeros        12           24           30          330  
NumberOfVariables                21           31        86.25          961  
KnownPrimalBound            1.57153      64.4981      40917.8          inf  
KnownDualBound              1.57153      56.6174      40590.1          inf  
JulianDate                  43358.7      43362.4      43382.1      43405.2  
TerminationStatus                 0            0            0            8  
PrimalBound                 1.57153      66.9328      85004.1          inf  
DualBound                  0.398788      39.1476      22664.7          inf  
SolverTime                 0.146664         1.29       27.689      989.923  
NumberOfIterations                0            4         2145  7.54385e+08  
NumberOfDomainViolations          0            0            0            0  
NumberOfNodes                     0           56      3902.75  4.19133e+06  
Fail                            NaN          NaN          NaN          NaN  
FailReason                      NaN          NaN          NaN          NaN  
Gap                               0   8.9535e-05   0.00099713          inf  
PrimalGap                         0            0  0.000231756          inf  
DualGap                           0  7.16476e-05  0.000957708          inf  
