                         couenneNCcbc  SHOTcpx1910  baronNC    gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
genpooling_lee1                 74601            1      936      1484          3037           26        5573    10135         1484           1        74601
genpooling_lee2                 20101            1     3803      5596        152251           12        2485     2473         4709           1       152251
genpooling_meyer04              86781            1   118821   4785341        337842          134        7659     2457      4335572           1      4785341
hydroenergy1                    94514          388    60149     82090        652822         7472       13685     2653       110455         388       652822
hydroenergy3                    12703       156331    12039         1        146496       178802         350      490       873925           1       873925
portfol_robust050_34            79051         1755        1       312             1           26           1        1           77           1        79051
portfol_shortfall050_68         83270       854792       43      1260            58       194198           1        1         1117           1       854792
portfol_shortfall100_04         24936       971258     7643     69895         39726       148319           1        1        64167           1       971258
portfol_shortfall200_05          4042       525371     3046     67416          6112        76912           1        1        71619           1       525371
prob02                              1            1        1         1             1            1           1        1            1           1            1
prob03                              1            1        1         1             1            1           1        1            1           1            1
product2                         1016         4734        1      6238             1        25002           1        3        93669           1        93669
ringpack_10_1                   37309          658    28982    432499        674965         1547       10501      671       441469         658       674965
ringpack_10_2                   34473        11870    32850    463661        474275         1472        7064      380       388622         380       474275
sep1                                4            1        5       254            13            1           1       27          679           1          679
smallinvSNPr1b100-110            7697            1      155         1         19044           12          27        1            1           1        19044
smallinvSNPr1b200-220            7627            1       65        76         96166           53          34        1            1           1        96166
smallinvSNPr2b010-011             259            1        7         1           310            1           2        1            1           1          310
smallinvSNPr2b020-022             738            1       13         1          5664            9           7        1            1           1         5664
smallinvSNPr2b050-055            1992            1       13         1         24614           33          10        1            1           1        24614
smallinvSNPr2b100-110            1856            1      157         1         11275          162          28        1            1           1        11275
smallinvSNPr2b200-220            4701            1      107        43         12469           28          43        1            1           1        12469
smallinvSNPr3b010-011             534            1        7         1           392            2           2        1            1           1          534
smallinvSNPr3b020-022             862            1        5         1          1130            1           3        1            1           1         1130
smallinvSNPr3b050-055            2624            1       43         1         83201            8          13        1            1           1        83201
smallinvSNPr3b100-110            3945            1      437        34         17598           55          20        1            1           1        17598
smallinvSNPr3b150-165            3876            1      555         1         11137           20          19        1            1           1        11137
smallinvSNPr3b200-220            5280            1       45         1          9519           46          15        1            1           1         9519
smallinvSNPr4b010-011             827            1       35         1           219          106           1        1            1           1          827
smallinvSNPr4b020-022             885            1        5         1           182            1           3        1            1           1          885
smallinvSNPr4b050-055            2186            1       91         1          1361           40          12        1            1           1         2186
smallinvSNPr4b200-220            2747            1       55         1          6129            6           7        1            1           1         6129
smallinvSNPr5b010-011             496            1       29        52           172           55           6        1            1           1          496
smallinvSNPr5b020-022             540            1       11         1           158            4           2        1            1           1          540
smallinvSNPr5b050-055            1550            1       25         1           843            4           3        1            1           1         1550
smallinvSNPr5b100-110            1147            1       79         1         18950           18           8        1            1           1        18950
smallinvSNPr5b200-220            3379            1       11         1         11727            1           9        1            1           1        11727
sonet17v4                        4411            1        1      5768          4717          373           5        1            1           1         5768
sonet18v6                        1491            1        1      5601          4486          136           2        1            1           1         5601
sonet21v6                         651            1        1      1970          1997           23           1        1            1           1         1997
sporttournament06                   6            1        1         1             1            1           1        1            1           1            6
sporttournament08                  58            1        1         1           119            1           1        1            1           1          119
sporttournament10                 675            1        1        23           451            1           1        1            1           1          675
sporttournament12                3100            1        1        17           939            7           1        1            1           1         3100
sporttournament18               64126            1        1      2807        216006          465           3        1            1           1       216006
sporttournament20               41382            1       11      1500        260481       216560           1        1            1           1       260481
sporttournament22               29203            1      319      1506        130004        16297           1        1            1           1       130004
sporttournament24               20444            1      341      1711         54458        83100           1        1            1           1        83100
sporttournament26               13644            1      338      4040         32424        60655           1        1            1           1        60655
sporttournament28               16152            1      309      3475         13179        30732           1        1            1           1        30732
squfl010-025persp                 338            1    30331         1             1           16           1        1          155           1        30331
squfl010-040persp                 265            1    15316         1             1           14           1        1            1           1        15316
squfl010-080persp                 393            1     2816         5             3          170           1        1            5           1         2816
squfl015-060persp                 106            1     4194         3             1          145           1        1            5           1         4194
squfl015-080persp                  25           38      802         3             5          235           1        1            5           1          802
squfl020-040persp                 388            1    11588         1             1           40           2        1            3           1        11588
squfl020-050persp                 334           17     6694         3             1           51           1        1            3           1         6694
squfl020-150persp                   8          784      205         7             3          580           1        1            7           1          784
squfl025-025persp                2753           34    15860       108             1          128           1        1          637           1        15860
squfl025-030persp                3955            1     8656       131             1          224           1        1          600           1         8656
squfl025-040persp                 905           38     7626        19             9          377           1        1           30           1         7626
squfl030-100persp                 744          263      160         1             1          997           1        1            1           1          997
squfl030-150persp                 482         9690      158         5             1          298           1        1            7           1         9690
squfl040-080persp                 746        83910      367         1             1          730           1        1            5           1        83910
sssd08-04persp                  58301        11350    55602     55153         18291            1         672        1        48741           1        58301
sssd25-04persp                 263484     39052797   121653  31455528        402227        62671          33        1     20328265           1     39052797
st_e13                              1            1        1         1             1            1           1        1            1           1            1
st_e31                            558            1      169      1089          1501            1          35      209          973           1         1501
supplychain                         6            1        3       170           256            1           1      101          170           1          256
telecomsp_njlata                    1            1        1      4456            35            1           1        1            1           1         4456
telecomsp_pacbell                   1            1        1     13986            74          170           1        1            1           1        13986
tln12                           93229            1     4711    812037         26734      1162588           4        1      4197550           1      4197550
tln2                                2            1        1         7             1            1           1        1            7           1            7
tln4                           240501            1       32       249          3072       489184          20        1          284           1       489184
tln5                           741233            1       32       738         57872      2123605          30        1         3683           1      2123605
tln6                           598185            1      361       619         58396      1612453           9        1        29289           1      1612453
tln7                           418524            1    54659   4491804         85366      1059682         495        1       418940           1      4491804
tloss                            2074            1      216         1            67           28           1        1            1           1         2074
tltr                             4084            1        1        21             1           60           2        1           26           1         4084
util                               28          625        1         7             1            7           1        1            1           1          625
