                                  Instance                                   |                                 SHOTcbc1910@1                                  |                                 SHOTcpx1910@1                                  |                                 SHOTgur2310@1                                  |                                  antigoneNC@0                                  |                                   baronNC@0                                    |                                 couenneNCcbc@0                                 |                                    gurobi@1                                    |                                   lglobal@0                                    |                                 scipNCsoplex@1                                 |
name                      #Vars #Disc #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sssd12-05persp               96    75    53 min  2.814086e+05  2.814086e+05  |normal      2.403826e+03   Large  3.135058e+05   11.41  Large   21.10    47974  |normal      2.403826e+03   Large  3.400588e+05   20.84  Large   13.89    81145  |timelim             -inf     inf  2.814086e+05   -0.00    inf  907.16 26283244  |timelim     2.461784e+05   14.31  2.817174e+05    0.11  14.44  900.00      319  |timelim     1.728513e+05   62.80  2.818642e+05    0.16  63.07  900.00   136857  |timelim     1.977439e+05   42.31  2.826405e+05    0.44  42.93  901.86   286326  |error               -inf     inf           inf     inf    inf      --       -- !|normal      2.812250e+05    0.07  2.814610e+05    0.02   0.08  100.89        0  |timelim     2.608470e+05    7.88  2.814086e+05   -0.00   7.88  900.01  1318702  |
sssd15-04persp               89    72    48 min  2.043431e+05  2.050545e+05  |iterlim     3.087838e+03      --  3.572999e+05      --  Large    4.51    32298  |normal      3.087838e+03      --  2.050545e+05      --  Large   28.78   326926  |timelim             -inf      --  2.051286e+05      --    inf  907.42 18519179  |timelim     1.986752e+05      --  2.050545e+05      --   3.21  900.00      221  |timelim     1.294909e+05      --  2.051610e+05      --  58.44  900.00   174873  |timelim     1.420739e+05      --  2.057173e+05      --  44.80  902.10   321652  |error               -inf      --           inf      --    inf      --       -- !|normal      2.049349e+05      --  2.050545e+05      --   0.06   11.73        0  |timelim     1.832534e+05      --  2.054049e+05      --  12.09  900.02   510464  |
sssd20-04persp              109    92    53 min  3.363966e+05  3.476914e+05  |normal      4.013689e+03      --  5.098154e+05      --  Large    9.00    18103  |timelim     4.013689e+03      --  3.806277e+05      --  Large  904.08  7643118  |timelim             -inf      --  3.479324e+05      --    inf  917.55 28671678  |timelim     2.801237e+05      --  3.480864e+05      --  24.26  900.00       35  |timelim     1.978657e+05      --  3.486623e+05      --  76.21  900.00   144155  |timelim     2.172691e+05      --  3.484049e+05      --  60.36  902.26   301986  |error               -inf      --           inf      --    inf      --       -- !|normal      3.476763e+05      --  3.480209e+05      --   0.10  180.76        0  |timelim     2.979549e+05      --  3.479012e+05      --  16.76  900.04   366117  |
sssd25-04persp              129   112    58 min  2.872316e+05  3.001766e+05  |normal      5.314199e+03      --  4.718068e+05      --  Large   15.61    62671  |timelim     5.314199e+03      --  4.066613e+05      --  Large  904.41 39052797  |timelim             -inf      --  3.004092e+05      --    inf  915.48 20328265  |timelim     2.404077e+05      --  3.004582e+05      --  24.98  900.00       33  |timelim     1.627505e+05      --  3.016166e+05      --  85.32  900.00   121653  |timelim     1.707311e+05      --  3.017575e+05      --  76.74  902.28   263484  |timelim     1.834905e+05      --  3.007452e+05      --  63.90  924.52 31455528  |timelim     3.001273e+05      --  3.003951e+05      --   0.09  900.06        0  |timelim     2.473955e+05      --  3.005627e+05      --  21.49  900.03   402227  |
st_e13                        3     1     3 min  2.000000e+00  2.000000e+00  |iterlim     1.000000e+00  100.00  2.236068e+00   11.80 123.61    0.18        0  |iterlim     1.000000e+00  100.00  2.000000e+00    0.00 100.00    0.11        0  |normal      2.000000e+00    0.00  2.000000e+00    0.00   0.00    0.08        1  |normal      1.998000e+00    0.10  2.000000e+00    0.00   0.10    0.00        0  |normal      1.998002e+00    0.10  2.000000e+00    0.00   0.10    0.02        0  |normal      2.000000e+00    0.00  2.000000e+00    0.00   0.00    0.00        0  |normal      2.000000e+00    0.00  2.000000e+00    0.00   0.00    0.03        1  |normal      2.000000e+00    0.00  2.000000e+00    0.00   0.00    0.02        0  |normal      2.000000e+00    0.00  2.000000e+00   -0.00   0.00    0.00        1  |
st_e31                      113    24   136 min -2.000000e+00 -2.000000e+00  |iterlim    -3.000000e+00   50.00 -2.000000e+00    0.00  50.00    0.70        0  |normal     -3.000000e+00   50.00            --     inf     --    0.10        0  |normal     -2.000001e+00    0.00 -2.000001e+00   -0.00   0.00    0.13      973  |normal     -2.002000e+00    0.10 -2.000000e+00    0.00   0.10    2.00       35  |normal     -2.002002e+00    0.10 -2.000000e+00    0.00   0.10    0.47      169  |normal     -2.000000e+00    0.00 -2.000000e+00    0.00   0.00    2.79      558  |normal     -2.000000e+00   -0.00 -2.000000e+00    0.00   0.00    0.06     1089  |normal     -2.000939e+00    0.05 -2.000000e+00    0.00   0.05    7.84      209  |normal     -2.001839e+00    0.09 -2.000001e+00   -0.00   0.09    1.62     1501  |
supplychain                  28     3    31 min  2.260257e+03  2.260257e+03  |normal      9.476000e+02  138.52  2.287908e+03    1.22 141.44    0.10        0  |normal      9.476000e+02  138.52            --     inf     --    0.10        0  |normal      2.260257e+03    0.00  2.260257e+03   -0.00   0.00    0.09      170  |normal      2.257996e+03    0.10  2.260257e+03   -0.00   0.10    0.00        0  |normal      2.257999e+03    0.10  2.260257e+03   -0.00   0.10    0.07        3  |normal      2.260257e+03    0.00  2.260257e+03   -0.00   0.00    0.11        6  |normal      2.260070e+03    0.01  2.260257e+03   -0.00   0.01    0.02      170  |normal      2.258096e+03    0.10  2.260257e+03    0.00   0.10    0.28      101  |normal      2.260256e+03    0.00  2.260424e+03    0.01   0.01    0.60      256  |
telecomsp_njlata           5199  5152  3467 min  8.568587e+05  9.157700e+05  |timelim     7.111023e+05      --           inf      --    inf  903.26        0  |timelim     8.577592e+05      --  9.145000e+05      --   6.62  900.99        0  |timelim     8.741703e+05      --  9.085100e+05      --   3.93  900.34        0  |timelim     8.402530e+05      --  9.127000e+05      --   8.62  901.15        0  |timelim     8.441900e+05      --  9.649000e+05      --  14.30  900.07        0  |timelim     7.111023e+05      --           inf      --    inf  911.28        0  |timelim     0.000000e+00      --  1.012950e+06      --    inf  900.40     4456  |timelim     8.485492e+05      --  9.753100e+05      --  14.94  901.24        0  |timelim     8.570752e+05      --  9.703000e+05      --  13.21  900.01       35  |
telecomsp_pacbell          3571  3528  2941 min  2.999113e+05  3.103400e+05  |iterlim     2.260000e+05      --           inf      --    inf  412.05      170  |timelim     3.050274e+05      --  3.115200e+05      --   2.13  900.34        0  |normal      3.103400e+05      --  3.103400e+05      --   0.00  372.54        0  |timelim     2.646853e+05      --           inf      --    inf  904.00        0  |timelim     2.992400e+05      --  3.200600e+05      --   6.96  900.06        1  |timelim     2.260000e+05      --           inf      --    inf  942.86        0  |timelim     0.000000e+00      --  3.392700e+05      --    inf  900.17    13986  |timelim     3.031566e+05      --  3.222400e+05      --   6.29  900.57        0  |timelim     3.020827e+05      --  3.132300e+05      --   3.69  900.00       74  |
tln12                       169   168    73 min  8.580000e+01  9.050000e+01  |iterlim     0.000000e+00      --  9.440000e+01      --    inf  275.86  1162588  |timelim     8.400000e+00      --  9.080000e+01      -- 980.95  901.18        0  |timelim             -inf      --  9.080000e+01      --    inf  904.87  4197550  |timelim     8.720000e+01      --  5.308000e+02      -- 508.72  900.00        4  |timelim     8.593240e+01      --  1.168000e+02      --  35.92  900.00     4711  |timelim     1.763584e+01      --           inf      --    inf  901.43    93229  |timelim     8.610000e+01      --  9.110000e+01      --   5.81  900.64   812037  |timelim     1.660000e+01      --  9.240000e+01      -- 456.63  900.02        0  |timelim     8.100000e+00      --  1.024000e+02      --  Large  900.04    26734  |
