                          count         mean          std          min  \
Direction                   182     0.373626     0.930138           -1   
NumberOfDiscreteVariables   182      221.374       683.19            1   
NumberOfEquations           182      2482.58      7971.52            1   
NumberOfNonZeros            182      12556.4      32540.8            5   
NumberOfNonlinearNonZeros   182       2684.1      12299.1            1   
NumberOfVariables           182      1253.52      3700.37            3   
KnownPrimalBound            182  1.10743e+06  8.29501e+06     -32445.4   
KnownDualBound              182  1.07809e+06  8.24855e+06     -32445.4   
JulianDate                 1635      43945.2      128.431      43838.5   
TerminationStatus          1635     0.466055      0.93316            0   
PrimalBound                1619          NaN          NaN         -inf   
DualBound                  1635          NaN          NaN         -inf   
SolverTime                 1620      315.875      400.286            0   
NumberOfIterations         1618       782150  5.46496e+07 -2.14747e+09   
NumberOfDomainViolations   1271            0            0            0   
NumberOfNodes              1620       161142  1.75101e+06            0   
Fail                       1638          NaN          NaN          NaN   
FailReason                 1638          NaN          NaN          NaN   
Gap                        1619          inf          NaN  -0.00560619   
PrimalGap                  1062          inf          NaN -2.07071e-05   
DualGap                    1062          inf          NaN     -0.74825   

                               25%          50%          75%          max  
Direction                       -1            1            1            1  
NumberOfDiscreteVariables    45.75          100          126         5152  
NumberOfEquations               16          481       2441.5        77777  
NumberOfNonZeros               401         1778        11013       239464  
NumberOfNonlinearNonZeros    97.25          186         1127       118496  
NumberOfVariables              101          183      1134.75        35371  
KnownPrimalBound           8.75665      84.7245       497.03  1.01567e+08  
KnownDualBound             8.75665      84.7245       497.03  1.02377e+08  
JulianDate                 43845.7      43853.4      44123.3      44127.6  
TerminationStatus                0            0            1            7  
PrimalBound                5.97772        79.75        507.5          inf  
DualBound                    3.032           52      404.744          inf  
SolverTime                  1.5985      29.8478          900      1011.05  
NumberOfIterations               0            4      72563.5  3.43993e+08  
NumberOfDomainViolations         0            0            0            0  
NumberOfNodes                    0           34      2384.75  3.90528e+07  
Fail                           NaN          NaN          NaN          NaN  
FailReason                     NaN          NaN          NaN          NaN  
Gap                              0        0.001      0.14895          inf  
PrimalGap                        0            0  1.78648e-08          inf  
DualGap                          0  6.74019e-10     0.001001          inf  
