                            couenneNCcbc  SHOTcpx1910  baronNC  gurobi  scipNCsoplex  SHOTcbc1910  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
portfol_robust050_34                 1.0            -        -       -             -          3.0           -        -            -         1.0            -
portfol_robust100_09                 1.0            -        -       -             -          1.0         1.0        -            -         1.0            -
portfol_robust200_03                 1.0          1.0      1.0       -           1.0          1.0         1.0      1.0          1.0         1.0            -
portfol_shortfall050_68              1.0            -        -       -             -          3.0           -        -            -         1.0            -
portfol_shortfall100_04              1.0          1.0      1.0       -           1.0          1.0         1.0      1.0            -         1.0            -
portfol_shortfall200_05              1.0          1.0      1.0     1.0           1.0          1.0         1.0      1.0          1.0         1.0          1.0
product2                             1.0            -        -       -             -            -           -        -            -         1.0            -
product                                -            -        -       -             -            -           -        -          3.0         3.0            -
radar-3000-10-a-8_lat_7                -          3.0      1.0       -             -          1.0         1.0      1.0          1.0         1.0            -
ringpack_10_1                        1.0            -      1.0     1.0           1.0            -         1.0      1.0          1.0         1.0            -
ringpack_10_2                        1.0            -      1.0     1.0           1.0          3.0         1.0      1.0          1.0         1.0            -
sep1                                   -            -        -       -             -          3.0           -        -            -         3.0            -
sjup2                                1.0            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr1b020-022                  -            -        -       -             -            -         1.0        -            -         1.0            -
smallinvSNPr1b100-110                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr1b150-165                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr1b200-220                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr2b010-011                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr2b020-022                  -            -        -       -             -            -         1.0      1.0            -         1.0            -
smallinvSNPr2b050-055                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr2b100-110                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr2b150-165                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr2b200-220                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr3b010-011                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr3b020-022                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr3b050-055                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr3b100-110                  -            -        -       -           1.0            -         1.0      1.0            -         1.0            -
smallinvSNPr3b150-165                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr3b200-220                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr4b010-011                  -            -        -       -             -            -         1.0      1.0            -         1.0            -
smallinvSNPr4b020-022                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr4b050-055                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr4b100-110                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr4b150-165                  -            -        -       -           1.0            -           -      1.0            -         1.0            -
smallinvSNPr4b200-220                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr5b010-011                  -            -        -       -             -            -         1.0        -            -         1.0            -
smallinvSNPr5b020-022                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr5b050-055                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr5b100-110                  -            -        -       -             -            -         1.0      1.0            -         1.0            -
smallinvSNPr5b150-165                  -            -        -       -             -            -           -      1.0            -         1.0            -
smallinvSNPr5b200-220                  -            -        -       -             -            -           -      1.0            -         1.0            -
sonet17v4                            1.0            -        -       -           1.0          3.0           -      1.0            -         1.0            -
sonet18v6                            1.0            -        -       -           1.0          3.0         1.0      1.0            -         1.0            -
sonet20v6                            1.0            -        -       -           1.0          3.0         1.0      1.0          1.0         1.0            -
sonet21v6                            1.0          1.0      1.0     1.0           1.0          3.0         1.0      1.0          1.0         1.0          3.0
sonet22v4                            1.0          1.0      1.0       -           1.0          3.0         1.0      1.0          1.0         1.0            -
sonet24v2                            1.0            -        -       -             -          3.0         1.0      1.0            -         1.0            -
sonet25v5                            1.0          1.0      1.0       -           1.0          3.0         1.0      1.0          1.0         1.0            -
spectra2                             1.0            -        -       -             -            -           -        -            -         1.0            -
sporttournament14                      -            -        -       -           1.0            -           -      1.0            -         1.0            -
sporttournament16                    1.0            -        -       -             -            -           -        -            -         1.0            -
sporttournament18                    1.0            -        -       -             -            -           -        -            -         1.0            -
sporttournament20                    1.0            -        -       -           1.0          3.0         1.0        -            -         1.0            -
sporttournament22                    1.0            -        -       -           1.0            -         1.0      1.0            -         1.0            -
